"gene","module","kME"
"MT-CO2",3,NA
"GM15726",2,NA
"MMP19",2,NA
"ABI3BP",3,NA
"EPHA1",4,NA
"GM11974",1,NA
"POSTN",2,NA
"ERBB3",10,NA
"RSAD2",2,NA
"NR4A3",3,NA
"GM16310",4,NA
"GJB1",2,NA
"GM25813",5,NA
"OGN",1,NA
"PLEKHO2",2,NA
"MED26",1,NA
"FAM167A",4,NA
"NR4A1",1,NA
"NLRP3",2,NA
"NUAK2",2,NA
"GALNT15",4,NA
"GH",4,NA
"OCA2",9,NA
"ANGPT2",2,NA
"RECQL4",1,NA
"STK40",1,NA
"DUSP16",4,NA
"COL1A1",9,NA
"CD63",2,NA
"ATP10D",4,NA
"GM24447",5,NA
"DUSP1",12,NA
"GBP3",1,NA
"ADCY10",2,NA
"CXCL2",2,NA
"ZFP597",1,NA
"RASL11B",4,NA
"GPNMB",1,NA
"PLAGL2",1,NA
"CDH23",1,NA
"DGKK",8,NA
"APOLD1",1,NA
"GPR17",2,NA
"GBP7",2,NA
"GM25791",5,NA
"DNAH17",1,NA
"SOSTDC1",9,NA
"PLA2G4A",2,NA
"CDH1",4,NA
"EMILIN1",1,NA
"TNPO1",1,NA
"GLDN",1,NA
"IFI204",2,NA
"PHF13",4,NA
"BDKRB2",4,NA
"FAM83H",4,NA
"KLF4",2,NA
"EGR1",3,NA
"ITGAX",2,NA
"GM22973",3,NA
"CYTH4",2,NA
"COL8A2",9,NA
"EMCN",2,NA
"THBD",2,NA
"SFRP4",4,NA
"CREB5",4,NA
"DYSF",2,NA
"EPHA2",2,NA
"PTGES",2,NA
"SLCO2A1",1,NA
"A730049H05RIK",2,NA
"UCP2",2,NA
"MARVELD2",4,NA
"GM26461",5,NA
"DUOX2",1,NA
"ARL5C",1,NA
"SNORD8",5,NA
"ITGB2",2,NA
"RGS1",2,NA
"LY6A",2,NA
"NTSR1",3,NA
"SCRT2",1,NA
"PTBP1",2,NA
"FAM107B",2,NA
"HCAR2",2,NA
"PIGM",1,NA
"ADAMTSL3",2,NA
"1700007B14RIK",1,NA
"SDC1",4,NA
"RGS9BP",1,NA
"GM24514",5,NA
"FAM115C",1,NA
"MEX3A",1,NA
"RNF125",2,NA
"PYCARD",2,NA
"FCER1G",2,NA
"VIPR2",13,NA
"SNORD118",5,NA
"ZFP36",2,NA
"DCN",2,NA
"IL31RA",4,NA
"CISH",4,NA
"IRF9",2,NA
"AIM1L",4,NA
"SLC2A5",1,NA
"SOX11",1,NA
"ANO2",1,NA
"PRKCD",8,NA
"RHBDF2",2,NA
"FGL2",2,NA
"VAV1",2,NA
"GPR88",11,NA
"RARA",4,NA
"PLSCR2",1,NA
"FAM129A",1,NA
"GTF2IRD1",1,NA
"HCK",2,NA
"XDH",12,NA
"MT-ATP8",1,NA
"MT-CO3",5,NA
"LITAF",2,NA
"ARPC1B",2,NA
"NTRK1",11,NA
"SOX9",2,NA
"SLC30A1",4,NA
"NCKAP1L",2,NA
"PLIN4",10,NA
"DDX20",1,NA
"MILR1",2,NA
"CDKN2AIP",1,NA
"CCDC86",4,NA
"IER2",4,NA
"FIBIN",1,NA
"CLEC7A",2,NA
"WNT10B",1,NA
"ENPP2",9,NA
"TAP1",2,NA
"SNORA47",5,NA
"GNL3",1,NA
"PIK3AP1",2,NA
"KDR",2,NA
"PRTN3",1,NA
"SNORA33",5,NA
"MYC",2,NA
"MSLN",2,NA
"TNFAIP6",4,NA
"BCOR",4,NA
"4932418E24RIK",11,NA
"GM15737",2,NA
"ARL4D",12,NA
"CCDC117",1,NA
"3110035E14RIK",2,NA
"SWT1",1,NA
"TMEM106A",4,NA
"FMOD",3,NA
"ENG",2,NA
"AMIGO3",4,NA
"CEBPB",1,NA
"SLCO1A4",12,NA
"TGIF1",2,NA
"GM26316",5,NA
"CD86",2,NA
"MLPH",2,NA
"CDC25A",1,NA
"XIRP1",2,NA
"2410006H16RIK",1,NA
"GM10557",1,NA
"TXNRD1",1,NA
"SIGLECH",1,NA
"TUBA1C",2,NA
"SELP",2,NA
"MID1",5,NA
"GM11223",5,NA
"COL3A1",1,NA
"DNAJB4",1,NA
"FN1",2,NA
"NECAP2",1,NA
"PTPRC",2,NA
"RXRG",11,NA
"VPS37B",1,NA
"SNORA28",5,NA
"MS4A15",13,NA
"CYBA",2,NA
"GM13341",5,NA
"PPL",4,NA
"PLEKHH3",1,NA
"DUSP14",1,NA
"GNG4",3,NA
"ETV3",1,NA
"FHDC1",4,NA
"BIRC3",2,NA
"DOC2G",13,NA
"CP",2,NA
"TNFRSF1B",2,NA
"COL4A2",2,NA
"PABPC1L",2,NA
"FREM3",8,NA
