names,scores,logfoldchanges,pvals,pvals_adj,cell_type
JUN,18.399809,3.8220022,1.318267788086416e-75,7.507649353827408e-74,Endothelial
UBE2D3,18.371649,0.73643786,2.2158031717507476e-75,1.2582824639581694e-73,Endothelial
ACADL,18.330433,0.97663814,4.731247975586038e-75,2.6790011884747956e-73,Endothelial
GLTP,18.306961,0.74633723,7.282251836537018e-75,4.111655370743895e-73,Endothelial
DDX39,18.27796,1.5054078,1.2397689108262931e-74,6.979898967952031e-73,Endothelial
RPS18,18.241749,2.5195487,2.4063649435442397e-74,1.3509236812689243e-72,Endothelial
RPL36AL,18.212765,1.010323,4.087730591035796e-74,2.288316230010238e-72,Endothelial
SYNM,18.199007,1.1085163,5.255214694848832e-74,2.933541234050885e-72,Endothelial
SERBP1,18.194912,0.89031565,5.66301437944363e-74,3.152251365732676e-72,Endothelial
CD93,18.157393,1.0491695,1.1223039581265353e-73,6.229577322502359e-72,Endothelial
SPOP,18.156902,0.84046483,1.13235553447692e-73,6.267715114288683e-72,Endothelial
LPL,18.120659,4.0848756,2.189561621000943e-73,1.2051763056375304e-71,Endothelial
AP2M1,18.072126,0.7427455,5.2836994033397104e-73,2.9001475415824232e-71,Endothelial
ZFP36L1,18.04428,0.6255297,8.750022482866435e-73,4.789422028468975e-71,Endothelial
DUSP1,18.038572,1.2824005,9.701822049769982e-73,5.295689847388296e-71,Endothelial
PSMB2,18.02809,0.7616846,1.1727507277740423e-72,6.366130328040635e-71,Endothelial
TMOD3,17.940649,0.8322548,5.678758606243118e-72,3.0573753643721484e-70,Endothelial
HNRNPK,17.868975,0.7048205,2.0574206886978687e-71,1.0957155316430136e-69,Endothelial
CHMP4B,17.838474,0.9470251,3.5526260239433544e-71,1.8869136334718007e-69,Endothelial
CCNL1,17.820274,0.95580566,4.919388198554144e-71,2.6058210874330485e-69,Endothelial
TNFAIP1,17.790558,0.8872248,8.364397770241093e-71,4.418779036530851e-69,Endothelial
CCT8,17.782536,1.0190941,9.65149838774515e-71,5.085100955361449e-69,Endothelial
ALAS1,17.724693,0.8788125,2.7038273358852215e-70,1.420771137429821e-68,Endothelial
CARD19,17.645037,0.8158123,1.1110340180401091e-69,5.807141996148634e-68,Endothelial
SSR4,17.639757,0.9311668,1.2198200866283688e-69,6.358876933071959e-68,Endothelial
MT-CO1,17.609907,1.5179859,2.067860709700645e-69,1.0722946127539791e-67,Endothelial
RASSF1,17.54526,0.86865604,6.46577517071888e-69,3.344044612572586e-67,Endothelial
ADAM15,17.512215,0.92869836,1.1560796473255954e-68,5.963494620563051e-67,Endothelial
HSPD1,17.494682,1.2926555,1.5728798821231058e-68,8.071249499280155e-67,Endothelial
TRF,17.472324,1.0370623,2.3281468378746704e-68,1.191587881566763e-66,Endothelial
FAM101B,17.451845,1.1980361,3.332853366897778e-68,1.7013957407958734e-66,Endothelial
HINT1,17.44518,0.8323553,3.745357152899352e-68,1.907035211831569e-66,Endothelial
OSTC,17.441406,0.85984766,4.0010421057095165e-68,2.0319725436341758e-66,Endothelial
PSMA3,17.354338,0.75941175,1.8289955512970043e-67,9.264873351749992e-66,Endothelial
CCT3,17.337261,1.0687066,2.461931172388443e-67,1.2439065064593403e-65,Endothelial
BOLA2,17.330452,1.1022165,2.7714268464963105e-67,1.39669989795933e-65,Endothelial
PLP1,17.318264,0.66792476,3.425404434886402e-67,1.7218774078937897e-65,Endothelial
NDUFA12,17.317232,0.81818944,3.4873253647845825e-67,1.7485431631827022e-65,Endothelial
ESD,17.304426,1.2507045,4.356025827138119e-67,2.1785657087247878e-65,Endothelial
HNRNPA2B1,17.28776,0.69124377,5.816866369158074e-67,2.9018063747913886e-65,Endothelial
PSMA7,17.2631,0.76264906,8.919135260982115e-67,4.4269914437695865e-65,Endothelial
EIF6,17.257137,0.8514368,9.889338026468273e-67,4.896216226421038e-65,Endothelial
TCP1,17.25499,1.1237679,1.0263957056799155e-66,5.068954230682389e-65,Endothelial
CD68,17.24433,1.5168818,1.234379741664142e-66,6.065698954985516e-65,Endothelial
CTSA,17.216,0.84751153,2.0143741345043288e-66,9.873940875723333e-65,Endothelial
GJA1,17.176826,1.2640245,3.959850986188939e-66,1.931407516902303e-64,Endothelial
ATP5A1,17.131731,0.69526434,8.605697295710225e-66,4.18704358548074e-64,Endothelial
PNP,17.090454,0.971852,1.7480486459100935e-65,8.484063686615368e-64,Endothelial
H2AFJ,17.063938,0.9109574,2.7535219407085076e-65,1.333124074733689e-63,Endothelial
ENO1,17.033302,0.8466781,4.6504339735553655e-65,2.2460000355124625e-63,Endothelial
PSMB6,16.953535,0.73611,1.8122037650441666e-64,8.730923029387605e-63,Endothelial
MORF4L2,16.877789,0.86145735,6.555532320411428e-64,3.1429869677301024e-62,Endothelial
STT3B,16.862555,1.1711097,8.484150153017368e-64,4.0577713292526024e-62,Endothelial
SEC61B,16.842411,0.7895801,1.1927464835680437e-63,5.690815849566175e-62,Endothelial
WASF2,16.841108,0.6042653,1.2193264301979092e-63,5.803581475132802e-62,Endothelial
CTSS,16.787554,0.6611899,3.0099646943194113e-63,1.4291892602786507e-61,Endothelial
VCP,16.779976,0.78285486,3.4197518792542916e-63,1.619860836074659e-61,Endothelial
ATF3,16.735722,1.3789128,7.1978703620117e-63,3.401295814950613e-61,Endothelial
QSOX1,16.7145,0.9706172,1.0277693133131167e-62,4.845022564314585e-61,Endothelial
FNBP1L,16.694994,0.82404387,1.425324399971991e-62,6.703106754522217e-61,Endothelial
SERTAD1,16.682232,0.94018966,1.7649990499633996e-62,8.280787209411617e-61,Endothelial
RPL13,16.629086,2.5313928,4.290882855717957e-62,2.003598262367828e-60,Endothelial
ID2,16.626266,1.1907128,4.497544643833679e-62,2.0951327944856415e-60,Endothelial
ATP1B3,16.593325,0.8375482,7.788676182004784e-62,3.619713777509535e-60,Endothelial
HMOX1,16.584402,2.5570283,9.036003484101818e-62,4.189516438922973e-60,Endothelial
STAT3,16.576256,0.87445116,1.0347817823862919e-61,4.7864730098408175e-60,Endothelial
U2AF1,16.551878,0.7031025,1.5518297505064605e-61,7.144580662086402e-60,Endothelial
PSAP,16.533312,0.70812905,2.1121100557310684e-61,9.656410359206659e-60,Endothelial
IFRD1,16.492153,1.3110514,4.177889666025746e-61,1.9056786080795676e-59,Endothelial
PRKAR1A,16.48904,0.5885465,4.398865798696224e-61,2.001839504926307e-59,Endothelial
VIMP,16.484062,0.9942096,4.776440858547087e-61,2.16865822851775e-59,Endothelial
TUBB5,16.465816,1.119895,6.458426536512084e-61,2.925592986252198e-59,Endothelial
CTSC,16.45862,1.1841265,7.273935308678611e-61,3.2874517260897256e-59,Endothelial
