source,target,ligand_complex,receptor_complex,lr_means_mcao,cellphone_pvals_mcao,expr_prod_mcao,scaled_weight_mcao,lr_logfc_mcao,spec_weight_mcao,lrscore_mcao,specificity_rank_mcao,magnitude_rank_mcao,lr_means_sham,cellphone_pvals_sham,expr_prod_sham,scaled_weight_sham,lr_logfc_sham,spec_weight_sham,lrscore_sham,specificity_rank_sham,magnitude_rank_sham,magnitude_rank_diff,iron_aging_related
Endothelial,Endothelial,CCL2,ACKR1,0.8888184,1.0,0.71720344,-0.06348001276619393,-4.143401167335455,0.027874876,0.58430505,0.05813158567810517,0.19414376047344922,0.15270975,1.0,0.02328903,-0.6721687244068747,-inf,0.00028444445,0.24551065,1.0,1.0,-0.8058562395265507,True
Astrocyte,Microglia,TNF,VSIR,0.9827805,0.0,0.51574546,0.37388671241940497,-20.59987972661179,0.082277775,0.5437871,0.0005355927653915346,0.19624551162804804,0.15270975,1.0,0.02328903,-0.6721687244068747,-inf,0.00028444445,0.24551065,1.0,1.0,-0.803754488371952,True
Microglia,Pericyte,CXCL10,SDC4,0.8714271,0.0,0.75937384,0.12548173010442232,-5.915703839053059,0.1369784,0.59122664,0.0003524973799457399,0.2026093030064376,0.15270975,1.0,0.02328903,-0.6721687244068747,-inf,0.00028444445,0.24551065,1.0,1.0,-0.7973906969935625,True
Oligodendrocyte,Microglia,CCL2,CCR5,0.85815954,1.0,0.73486036,0.2327469108734778,-142.0293703224043,0.030884376,0.58725566,0.1297141567498468,0.20906047574587047,0.15270975,1.0,0.02328903,-0.6721687244068747,-inf,0.00028444445,0.24551065,1.0,1.0,-0.7909395242541295,True
Pericyte,Astrocyte,CCL2,CCR5,0.8618864,1.0,0.43058237,-0.10022371869802699,-73.91962669083304,0.018096318,0.52132726,0.07409175055170371,0.21450271628466427,0.15270975,1.0,0.02328903,-0.6721687244068747,-inf,0.00028444445,0.24551065,1.0,1.0,-0.7854972837153358,True
Microglia,Pericyte,TNF,FAS,0.9446259,0.0,0.42162207,0.21486636616236862,21.990506368990747,0.10986936,0.51870286,0.00011290295558360008,0.21559834717934429,0.15270975,1.0,0.02328903,-0.6721687244068747,-inf,0.00028444445,0.24551065,1.0,1.0,-0.7844016528206557,True
Oligodendrocyte,Astrocyte,CCL2,CCR2,0.8280626,1.0,0.6855951,0.18408075948713296,-137.02047764539645,0.04160507,0.578821,0.12817207669518432,0.22000473222745653,0.15270975,1.0,0.02328903,-0.6721687244068747,-inf,0.00028444445,0.24551065,1.0,1.0,-0.7799952677725435,True
Oligodendrocyte,Astrocyte,CCL2,CCR1,0.8156726,1.0,0.6653141,0.12773636916381872,-149.41627980091556,0.028658185,0.5751565,0.13126760373943222,0.22333452439633694,0.15270975,1.0,0.02328903,-0.6721687244068747,-inf,0.00028444445,0.24551065,1.0,1.0,-0.7766654756036631,True
Microglia,Endothelial,TNF,VSIR,0.92689705,0.0,0.36380127,0.18787452038144017,20.364096464247122,0.058037855,0.5002739,0.00016384,0.23118669474922565,0.15270975,1.0,0.02328903,-0.6721687244068747,-inf,0.00028444445,0.24551065,1.0,1.0,-0.7688133052507744,True
Oligodendrocyte,Endothelial,CXCL2,ACKR1,0.8031354,1.0,0.51865464,-0.019456989139316122,-52.91373132694244,0.032881558,0.54448473,0.04238531093610896,0.23118669474922565,0.15270975,1.0,0.02328903,-0.6721687244068747,-inf,0.00028444445,0.24551065,1.0,1.0,-0.7688133052507744,True
Microglia,Astrocyte,TNF,FAS,0.92312056,0.0,0.35148463,0.1914319404840917,21.43551368125248,0.09159242,0.4959687,0.0001531873785679012,0.23458713373867085,0.15270975,1.0,0.02328903,-0.6721687244068747,-inf,0.00028444445,0.24551065,1.0,1.0,-0.7654128662613291,True
Endothelial,Microglia,CCL2,CCR5,0.7584449,1.0,0.5557975,0.22453532509961002,-103.35611960785866,0.023358805,0.553048,0.0977161340115294,0.2426031665136017,0.15270975,1.0,0.02328903,-0.6721687244068747,-inf,0.00028444445,0.24551065,1.0,1.0,-0.7573968334863983,True
Pericyte,Endothelial,CXCL2,ACKR1,0.7492181,1.0,0.393715,-0.02437778692490325,-1.6668681138918373,0.02496066,0.5101499,0.04111837117512574,0.2472346786734126,0.15270975,1.0,0.02328903,-0.6721687244068747,-inf,0.00028444445,0.24551065,1.0,1.0,-0.7527653213265875,True
Microglia,Oligodendrocyte,TNF,VSIR,0.91189134,0.0,0.31486157,0.17525627989868348,20.452659505470177,0.050230414,0.482222,0.00023033196057674135,0.24839831665089773,0.15270975,1.0,0.02328903,-0.6721687244068747,-inf,0.00028444445,0.24551065,1.0,1.0,-0.7516016833491023,True
Endothelial,Astrocyte,CCL2,CCR2,0.72834796,1.0,0.5185367,0.1758691737132652,-98.34722693085082,0.031467196,0.54445654,0.08766644897655826,0.25190304314973294,0.15270975,1.0,0.02328903,-0.6721687244068747,-inf,0.00028444445,0.24551065,1.0,1.0,-0.7480969568502671,True
Endothelial,Astrocyte,CCL2,CCR1,0.71595794,1.0,0.50319755,0.11952478338995096,-110.74302908636992,0.021675069,0.5407303,0.10914746191430125,0.2566080190029147,0.15270975,1.0,0.02328903,-0.6721687244068747,-inf,0.00028444445,0.24551065,1.0,1.0,-0.7433919809970853,True
Endothelial,Endothelial,CXCL2,ACKR1,0.69261694,1.0,0.2625561,-0.0295436559233732,-67.39815933937908,0.016645476,0.4595943,0.06432217213670598,0.2806749071645639,0.15270975,1.0,0.02328903,-0.6721687244068747,-inf,0.00028444445,0.24551065,1.0,1.0,-0.7193250928354361,True
Astrocyte,Endothelial,TNF,FAS,0.63393813,0.0,0.2981539,0.1793886217634791,-21.784056380566327,0.07769512,0.47541896,0.0005631123394907072,0.28559526155587234,0.15270975,1.0,0.02328903,-0.6721687244068747,-inf,0.00028444445,0.24551065,1.0,1.0,-0.7144047384441277,True
Microglia,Pericyte,TNF,VSIR,0.89155453,0.0,0.24853529,0.1581552660338598,20.215818944550897,0.03964927,0.45278707,0.00047599387898186263,0.28559526155587234,0.15270975,1.0,0.02328903,-0.6721687244068747,-inf,0.00028444445,0.24551065,1.0,1.0,-0.7144047384441277,True
Oligodendrocyte,Microglia,CCL2,CCR1,0.6256871,1.0,0.35432965,-0.05340715135080318,-138.28296200370542,0.0152626345,0.4969764,0.1289416974586512,0.2893086766604004,0.15270975,1.0,0.02328903,-0.6721687244068747,-inf,0.00028444445,0.24551065,1.0,1.0,-0.7106913233395996,True
Oligodendrocyte,Microglia,TNF,VSIR,0.8921641,0.0,0.21604358,0.31679032591843137,-24.002099108133145,0.03446581,0.4354944,0.0006731766398838821,0.3081696007858642,0.15270975,1.0,0.02328903,-0.6721687244068747,-inf,0.00028444445,0.24551065,1.0,1.0,-0.6918303992141358,True
Microglia,Oligodendrocyte,CXCL10,SDC4,0.5718739,0.172,0.23931888,-0.022959092340916407,4.719043336415936,0.043169145,0.44811004,0.0015562460042164309,0.3081696007858642,0.15270975,1.0,0.02328903,-0.6721687244068747,-inf,0.00028444445,0.24551065,1.0,1.0,-0.6918303992141358,True
Oligodendrocyte,Astrocyte,CCL2,CCR5,0.5607608,1.0,0.24805272,-0.12502268622802223,-146.08556822978116,0.010425045,0.45254633,0.1304894577777778,0.3132810677829694,0.15270975,1.0,0.02328903,-0.6721687244068747,-inf,0.00028444445,0.24551065,1.0,1.0,-0.6867189322170306,True
Microglia,Oligodendrocyte,TNF,FAS,0.8797107,0.0,0.20990768,0.14412837091010205,21.176382483727497,0.054699276,0.43195617,0.00027564198140527364,0.3184266177470676,0.15270975,1.0,0.02328903,-0.6721687244068747,-inf,0.00028444445,0.24551065,1.0,1.0,-0.6815733822529324,True
Endothelial,Microglia,CCL2,CCR1,0.5259725,1.0,0.26799044,-0.06161873712467095,-99.60971128915979,0.011543601,0.46213943,0.09255400091449473,0.32620838393540674,0.15270975,1.0,0.02328903,-0.6721687244068747,-inf,0.00028444445,0.24551065,1.0,1.0,-0.6737916160645933,True
Endothelial,Astrocyte,CCL2,CCR5,0.46104616,1.0,0.1876099,-0.13323427200189,-107.41231751523553,0.007884783,0.41823432,0.11861902895711751,0.3526893826231753,0.15270975,1.0,0.02328903,-0.6721687244068747,-inf,0.00028444445,0.24551065,1.0,1.0,-0.6473106173768247,True
Microglia,Endothelial,CXCL10,SDC4,0.52291214,0.867,0.15431625,-0.04722156211401246,0.3327934899981795,0.027836084,0.39467418,0.002061240711901235,0.3607935949958389,0.15270975,1.0,0.02328903,-0.6721687244068747,-inf,0.00028444445,0.24551065,1.0,1.0,-0.639206405004161,True
Astrocyte,Astrocyte,TNF,VSIR,0.39215508,1.0,0.14734097,-0.12278197700984106,-24.19504197264264,0.023505563,0.38916257,0.08242646220800001,0.3855390429170319,0.15270975,1.0,0.02328903,-0.6721687244068747,-inf,0.00028444445,0.24551065,1.0,1.0,-0.6144609570829681,True
Oligodendrocyte,Endothelial,TNF,FAS,0.5433217,0.111,0.1248954,0.12229223526250549,-25.186275762087682,0.032546155,0.3697079,0.0008417129689299643,0.39252624541685344,0.15270975,1.0,0.02328903,-0.6721687244068747,-inf,0.00028444445,0.24551065,1.0,1.0,-0.6074737545831466,True
Astrocyte,Pericyte,TNF,FAS,0.28521478,1.0,0.08063662,-0.2006251409557101,-23.098936423321152,0.021012882,0.32033518,0.10276310732800001,0.4457154927983749,0.15270975,1.0,0.02328903,-0.6721687244068747,-inf,0.00028444445,0.24551065,1.0,1.0,-0.5542845072016251,True
Astrocyte,Endothelial,TNF,VSIR,0.26748595,1.0,0.06957821,-0.22761698673663855,-24.725346328064777,0.011099934,0.3044952,0.11934053925925926,0.4605269710198274,0.15270975,1.0,0.02328903,-0.6721687244068747,-inf,0.00028444445,0.24551065,1.0,1.0,-0.5394730289801726,True
Astrocyte,Astrocyte,TNF,FAS,0.26370946,1.0,0.0672226,-0.22405956663398702,-23.65392911105942,0.017517356,0.3008605,0.11647069061747418,0.4620180343939821,0.15270975,1.0,0.02328903,-0.6721687244068747,-inf,0.00028444445,0.24551065,1.0,1.0,-0.5379819656060179,True
