source,target,ligand_complex,receptor_complex,magnitude_rank_mcao,magnitude_rank_sham,magnitude_rank_diff
Oligodendrocyte,Endothelial,CXCL10,ACKR1,1.0,1.0,0.0
Oligodendrocyte,Endothelial,CXCL10,CCR3,1.0,1.0,0.0
Oligodendrocyte,Endothelial,CXCL10,SDC4,1.0,1.0,0.0
Microglia,Pericyte,CCL8,CCR3,1.0,1.0,0.0
Oligodendrocyte,Astrocyte,CXCL2,XCR1,1.0,1.0,0.0
Microglia,Pericyte,CCL8,ACKR1,1.0,1.0,0.0
Microglia,Pericyte,CCL8,CCR1,1.0,1.0,0.0
Oligodendrocyte,Astrocyte,CXCL2,ACKR1,1.0,1.0,0.0
Microglia,Microglia,CCL2,ACKR1,1.0,1.0,0.0
Microglia,Microglia,CCL2,CCR2,1.0,1.0,0.0
Microglia,Microglia,CCL2,CCR3,1.0,1.0,0.0
Oligodendrocyte,Astrocyte,CXCL2,CXCR2,1.0,1.0,0.0
Oligodendrocyte,Astrocyte,CXCL2,CXCR1,1.0,1.0,0.0
Microglia,Pericyte,CCL8,CCR2,1.0,1.0,0.0
Microglia,Pericyte,CXCL2,ACKR1,1.0,1.0,0.0
Microglia,Pericyte,CXCL2,CXCR2,1.0,1.0,0.0
Microglia,Pericyte,CXCL2,CXCR1,1.0,1.0,0.0
Oligodendrocyte,Endothelial,CXCL1,ACKR1,1.0,1.0,0.0
Oligodendrocyte,Endothelial,CXCL2,CXCR1,1.0,1.0,0.0
Oligodendrocyte,Endothelial,CXCL2,CXCR2,1.0,1.0,0.0
Microglia,Pericyte,IL6,F3,1.0,1.0,0.0
Oligodendrocyte,Endothelial,CSF2,CSF1R,1.0,1.0,0.0
Microglia,Pericyte,IL6,MUSK,1.0,1.0,0.0
Microglia,Pericyte,CCL8,CCR5,1.0,1.0,0.0
Oligodendrocyte,Endothelial,CXCL1,CXCR1,1.0,1.0,0.0
Oligodendrocyte,Endothelial,CXCL1,CXCR2,1.0,1.0,0.0
