,Endothelial_Sham,Endothelial_MCAO,Astrocyte_Sham,Astrocyte_MCAO,Microglia_Sham,Microglia_MCAO,Oligodendrocyte_Sham,Oligodendrocyte_MCAO,Pericyte_Sham,Pericyte_MCAO
CAR12,0.006182688472277629,0.0072545060204921045,0.22065063649222175,0.11363636363636431,0.007171987062297846,0.008212428141253756,0.012915129151291511,0.010566762728146013,0.0070880094506792675,0.004665629860031104
APH1B,0.016354208216992443,0.017650138359135516,0.08026874115982999,0.048826979472140465,0.015047110111095505,0.014234875444839836,0.05350553505535058,0.0365033621517771,0.04725339633786184,0.04860031104199073
GM10647,0.00019944156362185878,0.0005235210530252038,0.0007072135785007072,0.0011730205278592375,0.0001406271972999578,0.0009581166164796058,0.0018450184501845018,0.0,0.0011813349084465446,0.0015552099533437014
BC050972,0.0,7.47887218607434e-05,0.0021216407355021216,0.0013196480938416422,0.0,0.0,0.0,0.0,0.0,0.0
APH1C,0.00857598723573994,0.008301548126542517,0.16442715700141483,0.1004398826979478,0.03951624244128826,0.02805912948261712,0.014760147601476013,0.025936599423631107,0.02126402835203782,0.017884914463452573
GM17098,0.00013296104241457252,7.47887218607434e-05,0.0003536067892503536,0.0,0.0001406271972999578,0.0,0.0,0.0,0.0,0.00038880248833592535
RAB8B,0.04181624783938312,0.06992745493979557,0.08769448373408738,0.20278592375366883,0.1669244831950506,0.29797426772515156,0.07749077490774912,0.10758885686839563,0.10336680448907279,0.10692068429237922
RPS27L,0.9568541417363899,1.3195722085109518,2.2362093352192662,2.258211143695052,0.653635213050175,1.9612647139337531,1.3929889298892972,1.3967339097022162,1.3030124040165485,1.333592534992229
LACTB,0.10331072995611928,0.11771744820881103,0.10926449787835885,0.13372434017595458,0.1987062297848412,0.2339173282233752,0.09409594095940965,0.06532180595581165,0.05375073833431784,0.06842923794712295
TPM1,0.5690067810131167,0.530027671827036,0.32885431400282916,0.32258064516128876,0.13711151736745938,0.2099644128113855,0.5036900369003675,0.4582132564841492,6.332545776727772,4.6438569206842955
TLN2,0.05338385852945095,0.06282252636302489,0.021570014144271545,0.01686217008797655,0.0891576430881736,0.04297837393922806,0.02767527675276752,0.030739673390970196,0.03957471943295929,0.03421461897356142
M5C1000I18RIK,6.648052120728626e-05,7.47887218607434e-05,0.0,0.0001466275659824047,0.0,0.0,0.0,0.0009606147934678194,0.0,0.0
C2CD4B,0.0,7.47887218607434e-05,0.0010608203677510608,0.0011730205278592375,0.0001406271972999578,0.0,0.0,0.0,0.0,0.0
VPS13C,0.007046935247972353,0.01196619549771897,0.01272984441301273,0.01994134897360702,0.007312614259597803,0.02367916780728174,0.007380073800738007,0.01633045148895293,0.0070880094506792675,0.016329704510108876
RORA,0.19625049860389732,0.1653578640340988,0.19165487977369294,0.14413489736070548,0.031219237800590733,0.032575964960306715,0.1439114391143913,0.09894332372718526,0.24158298877731677,0.21734059097978092
ICE2,0.017816779683552744,0.01563084286889543,0.020155586987270137,0.018475073313782984,0.018984671635494346,0.02340542020257328,0.047970479704797064,0.019212295869356383,0.013585351447135269,0.015552099533437027
ANXA2,0.7854673580640245,1.9707576097525523,1.0505657708627965,2.1005865102639585,0.08198565602587571,0.35203941965506996,0.21586715867158693,0.5331412103746397,0.8163024217365633,1.396578538102644
GM16144,0.00039888312724371757,0.0002991548874429736,0.0003536067892503536,0.0,0.0,0.0001368738023542294,0.0,0.0,0.0005906674542232723,0.00038880248833592535
FOXB1,6.648052120728626e-05,0.00044873233116446036,0.0035360678925035363,0.003958944281524928,0.0,0.0001368738023542294,0.0018450184501845018,0.0,0.0,0.0
B230323A14RIK,0.0005983246908655763,0.0010470421060504076,0.0024752475247524753,0.0036656891495601193,0.0002812543945999156,0.0005474952094169176,0.0018450184501845018,0.0019212295869356388,0.0,0.0011664074650077762
GM28731,0.004254753357266325,0.0041133797023408915,0.0017680339462517681,0.0017595307917888563,0.004078188721698779,0.0058855735012318606,0.0036900369003690036,0.002881844380403458,0.0005906674542232723,0.0015552099533437014
BNIP2,0.47932455790449646,0.652980330566083,0.19554455445544675,0.31217008797653895,0.22753480523133268,0.3863947440459781,0.1937269372693729,0.2411143131604223,0.5103366804489012,0.5007776049766776
GTF2A2,0.39137082834726394,0.3958567048088784,0.4550919377652043,0.3862170087976479,0.2746449163268187,0.42704626334518225,0.6143911439114366,0.4947166186359262,0.5310100413467173,0.4665629860031163
FAM81A,0.006049727429863057,0.007852815795378052,0.19978783592645072,0.0948680351906161,0.005625087891998312,0.0078018067341910705,0.005535055350553505,0.01440922190201729,0.09155345540460731,0.050544323483670356
GM26849,0.0,0.0,0.0024752475247524753,0.0002932551319648094,0.0,0.0,0.0,0.0,0.0,0.00038880248833592535
MYO1E,0.058768780747241144,0.07800463690075593,0.0572842998585571,0.06759530791788829,0.02179721558149351,0.16082671776621965,0.09778597785977866,0.12776176753121982,0.1269935026580037,0.14735614307931505
