,Endothelial_Sham,Endothelial_MCAO,Astrocyte_Sham,Astrocyte_MCAO,Microglia_Sham,Microglia_MCAO,Oligodendrocyte_Sham,Oligodendrocyte_MCAO,Pericyte_Sham,Pericyte_MCAO
CNNM3,0.04662561,0.03473673,0.059211813,0.035762228,0.06142883,0.033997037,0.053659063,0.06130899,0.064495146,0.044423237
GM38033,0.00017715489,0.0002733891,0.0,0.0,0.0011207522,0.00018448044,0.0,0.0,0.0,0.0
ANKRD23,0.0023564121,0.0028720885,0.0014108862,0.0012987365,0.0015947779,0.0032416214,0.0,0.0015531419,0.007393396,0.008661037
GM43543,0.0,0.00036659473,0.00033086288,0.0007324222,0.00048927113,0.00021836499,0.0,0.0021355674,0.0007656163,0.0015684606
ANKRD39,0.068111084,0.06715754,0.06495076,0.048503283,0.07461506,0.07167913,0.11445478,0.11143016,0.18266912,0.20209894
SEMA4C,0.08181325,0.11302383,0.0255236,0.030117966,0.10930587,0.12683703,0.046111822,0.08311188,0.064917095,0.15407948
FAM178B,0.0029307064,0.003616145,0.00254711,0.0015264011,0.0061918236,0.0015258961,0.019114822,0.016586196,0.024131069,0.015989553
COX5B,1.170427,1.2177274,1.8415782,1.6500874,0.82461315,1.1518896,1.623514,1.4401934,1.4650398,1.3104348
ACTR1B,0.19893879,0.21850467,0.14277293,0.14587408,0.1337154,0.22130598,0.16586718,0.18047924,0.24336706,0.24945356
4933424G06RIK,0.00012259223,0.00029620758,0.0,0.0005484075,0.0009008383,0.0026599565,0.0,0.0011758481,0.0006555245,0.0
ZAP70,0.117980994,0.17036027,0.010766694,0.017183855,0.014602787,0.019577617,0.010729851,0.021837987,0.01991037,0.03110477
TMEM131,0.08205358,0.07632558,0.0762025,0.062350858,0.07175061,0.04149665,0.054931242,0.05091183,0.1450304,0.08650853
VWA3B,0.00044776243,0.0005360369,0.009325523,0.0042110584,0.00067251653,0.00097179494,0.0017471041,0.0,0.0058845794,0.0048954915
CNGA3,0.0,0.0,0.0010742546,0.0005011551,0.0,0.0,0.0,0.0,0.0,0.0
INPP4A,0.11361798,0.09692433,0.09467484,0.08023618,0.11296929,0.077564016,0.07174397,0.1150533,0.20984223,0.14098027
COA5,0.0635046,0.07789433,0.0822422,0.10405708,0.082029216,0.12280311,0.076735094,0.05383278,0.07703515,0.076256156
UNC50,0.5155832,0.46907756,0.37702462,0.35497355,0.48599184,0.37878752,0.8150824,0.68235624,0.4372026,0.4187654
MGAT4A,0.0423623,0.081134185,0.029237278,0.07014549,0.25304717,0.1920448,0.035724476,0.041669883,0.078204565,0.07327789
2010300C02RIK,0.0029981981,0.002409441,0.010462818,0.0074169748,0.005822217,0.0015651739,0.0,0.0,0.00242574,0.0013712759
TSGA10,0.019007416,0.017531201,0.040558368,0.03088317,0.033956666,0.031015623,0.021681085,0.020436047,0.056682315,0.03702964
GM26805,0.0,0.00029297802,0.0014942299,0.0005340965,0.00020865648,0.0,0.0,0.0,0.0,0.0
LIPT1,0.007968551,0.008608759,0.018992193,0.012604113,0.0074284696,0.013520759,0.020388503,0.008509729,0.017511562,0.0134161925
MITD1,0.3055857,0.27116403,0.12961438,0.14418642,0.14829263,0.16307402,0.07059795,0.12769203,0.09937795,0.11997849
MRPL30,0.47837636,0.45719755,0.58156407,0.5215729,0.31397855,0.4318922,0.6933676,0.5670771,0.5119789,0.46528247
LYG2,0.0,0.0,0.0016912856,0.00017557666,0.0,0.0,0.0,0.0,0.0,0.0
TXNDC9,0.46707913,0.4866294,0.4296512,0.46276692,0.368211,0.4988919,0.5346478,0.49204913,0.45008025,0.46867913
EIF5B,0.5595791,0.6160012,0.49807975,0.52499205,0.5012645,0.7545482,0.6457372,0.7306482,0.85081315,0.8019494
REV1,0.07109765,0.051180426,0.056783583,0.04319305,0.04509109,0.045083553,0.05387461,0.04966544,0.07287625,0.049921844
AFF3,0.0003794462,0.00097003905,0.016064279,0.006065027,0.00026193736,0.00044206614,0.006960989,0.0013333871,0.0056001693,0.0017480087
GM16150,0.00062935136,0.0010029979,0.014696692,0.004522677,0.0005905747,0.00014647043,0.0,0.0,0.0,0.00040242512
GM16152,0.00022979543,0.0004476179,0.0029599387,0.0017095141,0.00022485736,0.00016554994,0.0019500926,0.003762689,0.002060721,0.0013023841
LONRF2,0.00053409557,0.0005200094,0.008785975,0.0032735846,0.00023568886,0.0010326898,0.0,0.0,0.0008306392,0.0009018859
CHST10,0.0056585595,0.00875521,0.089707986,0.057583693,0.010011777,0.007471517,0.0069403485,0.006889995,0.0049850093,0.005922315
PDCL3,0.5324347,0.5556201,0.2824869,0.34418228,0.3606836,0.40575314,0.3298271,0.30747452,0.97404724,0.86876327
NPAS2,0.00081895525,0.0031608415,0.010291292,0.0143349245,0.00024120625,0.0018677511,0.0,0.0029836856,0.0035467315,0.015511984
RPL31,2.0789268,1.8485228,1.5578382,1.5177678,1.5127507,1.8878489,1.3881737,1.3323797,1.951871,1.5910777
TBC1D8,0.033257235,0.037808258,0.027039362,0.030241989,0.0694756,0.033234116,0.008410703,0.012048405,0.010470277,0.019621015
