source,target,ligand,receptor,weight
Pericyte,Microglia,ADM,GPR84,0.8359064030106078
Pericyte,Astrocyte,PTN,PTPRB,0.8338678986562018
Pericyte,Oligodendrocyte,PSAP,GPR37L1,0.8331859706158964
Pericyte,GABAergic,ANGPTL4,SDC4,0.8325027817659283
Pericyte,GABAergic,CCL2,CCR5,0.8318183660093192
Microglia,Microglia,CXCL10,SDC4,0.8311327244099466
Microglia,Pericyte,LGALS3,ENG,0.8290684884465598
Oligodendrocyte,Endothelial,PTN,SDC4,0.8290684884465598
Microglia,Endothelial,CXCL10,ACKR1,0.8276861993775276
GABAergic,Pericyte,THBS1,SDC4,0.8269932251217467
Endothelial,Oligodendrocyte,PSAP,GPR37L1,0.8256036224870413
Astrocyte,Endothelial,TIMP1,CD63,0.8256036224870413
Microglia,Astrocyte,TNF,VSIR,0.8221083836682977
Endothelial,Microglia,ANGPTL4,SDC4,0.820701824590432
Pericyte,Microglia,CCL2,CCR1,0.8199967143688686
Endothelial,Endothelial,CCL2,ACKR1,0.8192903963903024
Oligodendrocyte,GABAergic,CCL2,CCR1,0.8171642065513612
Astrocyte,GABAergic,CCL3,CCR5,0.8164531024875741
Microglia,GABAergic,LGALS3,LAG3,0.8157407617400831
Pericyte,Pericyte,ANGPTL4,SDC4,0.8150272196188023
Oligodendrocyte,Microglia,CCL2,CCR5,0.8143124771876087
Endothelial,GABAergic,CCL3,CCR1,0.812879395650993
GABAergic,Endothelial,PF4,ACKR1,0.811441560349693
Microglia,GABAergic,CXCL10,SDC4,0.810720832384666
Endothelial,Microglia,CCL3,CCR5,0.8099989104929392
Pericyte,Endothelial,CCL7,ACKR1,0.8092757957383898
Endothelial,Pericyte,FN1,C5AR1,0.8085514891848951
Astrocyte,Endothelial,CCL7,ACKR1,0.8070993399896645
Oligodendrocyte,GABAergic,CCL2,CCR2,0.8063714644798603
Pericyte,Microglia,LGALS3,LAG3,0.8049121518936677
Astrocyte,Microglia,CCL3,CCR1,0.8041807169450339
Oligodendrocyte,GABAergic,CCL3,CCR1,0.8034481329834255
Microglia,Pericyte,TNF,FAS,0.8034481329834255
GABAergic,Astrocyte,FN1,C5AR1,0.8027143304519646
Astrocyte,Microglia,ANGPTL4,SDC4,0.8005058337681805
Pericyte,GABAergic,CCL3,CCR1,0.7997673087233765
Microglia,Oligodendrocyte,LGALS3,ENG,0.7990276413900734
Pericyte,Microglia,CXCL12,SDC4,0.7982867615285599
Pericyte,Endothelial,PSAP,GPR37L1,0.7975447058261075
Oligodendrocyte,Microglia,CCL3,CCR5,0.7975447058261075
Pericyte,Microglia,CCL3,CCR5,0.7960570711538948
Pericyte,Astrocyte,ADM,RAMP1,0.7960570711538948
GABAergic,Endothelial,CCL5,SDC4,0.7945647819040144
Oligodendrocyte,Microglia,LGALS3,LAG3,0.7945647819040144
Astrocyte,GABAergic,CCL2,CCR5,0.7938168630114172
Endothelial,Endothelial,PSAP,GPR37L1,0.7930677746610937
Oligodendrocyte,Endothelial,CXCL2,ACKR1,0.7930677746610937
Endothelial,GABAergic,CCL2,CCR1,0.7900597843172151
Microglia,Pericyte,CXCL10,SDC4,0.7885487819932774
Endothelial,Microglia,CCL2,CCR5,0.7877915372834157
GABAergic,Oligodendrocyte,FN1,C5AR1,0.7870331316267949
Microglia,Endothelial,TNF,VSIR,0.7862735660872925
Oligodendrocyte,Endothelial,CCL7,ACKR1,0.7855128784216425
Astrocyte,Microglia,CCL2,CCR1,0.7847509963637842
Oligodendrocyte,Astrocyte,PTN,PTPRB,0.7839879576146251
Endothelial,Microglia,LGALS3,LAG3,0.7839879576146251
GABAergic,Endothelial,TNF,FAS,0.782458414297914
Pericyte,Endothelial,CXCL2,ACKR1,0.7809242940092631
Microglia,Microglia,LGALS3,ENG,0.7801554878172274
Astrocyte,Endothelial,CXCL2,ACKR1,0.7801554878172274
GABAergic,Microglia,PTN,SDC4,0.7793855313171036
Astrocyte,Microglia,TNF,VSIR,0.7786144255727693
Pericyte,GABAergic,CCL7,CCR1,0.7786144255727693
Microglia,GABAergic,LGALS3,ENG,0.7762942608720436
Endothelial,Oligodendrocyte,CXCL12,SDC4,0.7739637540795621
Endothelial,GABAergic,CCL2,CCR2,0.7739637540795621
Pericyte,Microglia,CCL7,CCR5,0.7731846334693238
Astrocyte,GABAergic,CCL7,CCR1,0.7700567921333199
Microglia,Oligodendrocyte,TNF,VSIR,0.7700567921333199
Oligodendrocyte,Microglia,CXCL12,SDC4,0.7692719785503879
GABAergic,Endothelial,FN1,C5AR1,0.7692719785503879
Pericyte,GABAergic,PSAP,GPR37L1,0.7669107675909513
Astrocyte,Microglia,CCL7,CCR5,0.7661214187901961
Endothelial,Oligodendrocyte,PTN,SDC4,0.7661214187901961
Endothelial,Endothelial,CCL7,ACKR1,0.7653309388309911
Microglia,Astrocyte,TNF,FAS,0.7645393287772134
Astrocyte,Pericyte,LGALS3,ENG,0.7645393287772134
Endothelial,GABAergic,ADM,GPR84,0.7637465896927406
Microglia,GABAergic,TNF,FAS,0.7613616472919544
Endothelial,GABAergic,PSAP,GPR37L1,0.7597660345520052
Pericyte,Microglia,THBS1,SDC4,0.7581659698365887
Pericyte,GABAergic,CCL7,CCR2,0.7581659698365887
GABAergic,Pericyte,FN1,C5AR1,0.7557574137652927
Pericyte,GABAergic,PGLYRP1,TREM1,0.7549523256667302
Astrocyte,GABAergic,CCL7,CCR2,0.754146121303898
Endothelial,Pericyte,EDN1,EDNRB,0.7533388406782471
Pericyte,Microglia,PSAP,GPR37L1,0.7525304070321802
Oligodendrocyte,GABAergic,PGLYRP1,TREM1,0.7492855523597961
Astrocyte,GABAergic,LGALS3,LAG3,0.7492855523597961
Microglia,Astrocyte,LGALS3,ENG,0.7460229960313185
GABAergic,GABAergic,PGLYRP1,TREM1,0.7435644873375047
Oligodendrocyte,GABAergic,CCL7,CCR1,0.742742767141189
Endothelial,Microglia,PSAP,GPR37L1,0.742742767141189
Pericyte,Pericyte,PSAP,GPR37L1,0.7419199466386099
GABAergic,Microglia,HP,CD163,0.7410960268936446
Microglia,Microglia,PTN,SDC4,0.7402710089701704
Oligodendrocyte,Microglia,CCL7,CCR5,0.7394448939320647
Oligodendrocyte,GABAergic,CCL2,CCR5,0.7386177227390374
Pericyte,GABAergic,THBS1,SDC4,0.7369600167700129
GABAergic,Oligodendrocyte,THBS1,SDC4,0.7344652640323686
Microglia,Pericyte,TNF,VSIR,0.7336315392444615
Endothelial,GABAergic,CCL3,CCR5,0.7336315392444615
Endothelial,Pericyte,PSAP,GPR37L1,0.7319607446032449
Endothelial,GABAergic,CCL7,CCR1,0.7311237170367568
Endothelial,Microglia,FN1,MAG,0.7294464067314079
Astrocyte,Oligodendrocyte,LGALS3,ENG,0.7277648038663209
Endothelial,Endothelial,CXCL2,ACKR1,0.7277648038663209
Endothelial,Microglia,CCL7,CCR5,0.7260788359014763
Oligodendrocyte,GABAergic,CCL7,CCR2,0.7252342328438094
GABAergic,GABAergic,TNF,VSIR,0.723541834734851
GABAergic,GABAergic,S100A4,CCR5,0.7218450925430627
Oligodendrocyte,Microglia,CCL2,CCR1,0.7209951103509271
Oligodendrocyte,GABAergic,CCL3,CCR5,0.7201440555131335
Oligodendrocyte,Microglia,TNF,VSIR,0.7184387733037498
Astrocyte,Microglia,LGALS3,ENG,0.7184387733037498
Astrocyte,GABAergic,LGALS3,ENG,0.7175845069637659
Pericyte,GABAergic,CCL3,CCR5,0.716729172233582
Endothelial,Astrocyte,FN1,MAG,0.716729172233582
Microglia,Oligodendrocyte,TNF,FAS,0.7124365514725957
Endothelial,Microglia,CCL3,CCR1,0.7124365514725957
Endothelial,GABAergic,CCL7,CCR2,0.7107120451718889
Microglia,Astrocyte,LGALS3,LAG3,0.7107120451718889
Pericyte,Oligodendrocyte,ANGPTL4,SDC4,0.7098482016707482
Endothelial,Endothelial,CXCL12,SDC4,0.7098482016707482
Endothelial,GABAergic,FN1,MAG,0.7063822920156748
Pericyte,Pericyte,THBS1,SDC4,0.7063822920156748
Endothelial,Endothelial,PTN,SDC4,0.7046429847429724
Pericyte,GABAergic,ADM,GPR84,0.7028995098088631
Endothelial,GABAergic,CCL2,CCR5,0.7011517916911818
Oligodendrocyte,Microglia,CCL3,CCR1,0.698522355849221
Astrocyte,Astrocyte,LGALS3,ENG,0.698522355849221
Pericyte,Microglia,CCL3,CCR1,0.6976438282165953
Pericyte,Pericyte,LGALS3,ENG,0.6950018590879834
Astrocyte,Endothelial,TNF,FAS,0.6932353409144754
Pericyte,GABAergic,CCL7,CCR5,0.6905778195709502
Oligodendrocyte,Microglia,SNCA,LAG3,0.6888009314369123
Astrocyte,Microglia,CXCL12,SDC4,0.6879109369141985
GABAergic,Microglia,CXCL12,SDC4,0.6870199531429019
Oligodendrocyte,Microglia,VWF,SIRPA,0.6861278952964851
Oligodendrocyte,Pericyte,LGALS3,ENG,0.685234807359145
Astrocyte,GABAergic,CCL7,CCR5,0.6843406903947589
Endothelial,Microglia,CCL2,CCR1,0.6834455454672038
Pericyte,Microglia,VWF,SIRPA,0.6825493736403575
GABAergic,Microglia,FN1,MAG,0.6816522192454095
GABAergic,Endothelial,THBS1,SDC4,0.679854750768836
Pericyte,Astrocyte,FN1,C5AR1,0.6789544820328604
Astrocyte,GABAergic,PGLYRP1,TREM1,0.6780531917169288
Microglia,Oligodendrocyte,CXCL10,SDC4,0.6771508808849187
Pericyte,GABAergic,LGALS3,LAG3,0.6744378795919895
Oligodendrocyte,Endothelial,PF4,ACKR1,0.6735314973833936
Pericyte,Microglia,CCL7,CCR1,0.6726240999780542
Microglia,GABAergic,PGLYRP1,TREM1,0.671715688439849
Microglia,Astrocyte,FN1,C5AR1,0.6698958711254126
Oligodendrocyte,Astrocyte,FN1,C5AR1,0.6680719662383249
Endothelial,Pericyte,LGALS3,ENG,0.6662440260971151
Astrocyte,Microglia,CCL7,CCR1,0.6653285896139507
GABAergic,Astrocyte,FN1,MAG,0.6653285896139507
Oligodendrocyte,GABAergic,LGALS3,LAG3,0.663494612646552
Astrocyte,Astrocyte,LGALS3,LAG3,0.6625761183896212
Endothelial,Oligodendrocyte,ANGPTL4,SDC4,0.6616566217023726
Pericyte,Astrocyte,ADM,RAMP2,0.6598146697303595
Pericyte,Endothelial,ANGPTL4,SDC4,0.6598146697303595
Pericyte,Oligodendrocyte,FN1,C5AR1,0.657044183629249
Endothelial,Astrocyte,PTN,PTPRB,0.657044183629249
Endothelial,Astrocyte,ADM,GPR84,0.656118694749499
Astrocyte,Astrocyte,FN1,C5AR1,0.6551922108865212
Microglia,Microglia,CXCL12,SDC4,0.6533363072401864
Oligodendrocyte,GABAergic,CCL7,CCR5,0.6533363072401864
GABAergic,GABAergic,FN1,MAG,0.6505449489758925
GABAergic,Astrocyte,TNF,VSIR,0.6496125176025949
Pericyte,Oligodendrocyte,LGALS3,ENG,0.6468093476285336
Microglia,Oligodendrocyte,FN1,C5AR1,0.6411764145637645
Astrocyte,GABAergic,TNF,VSIR,0.6402341557977895
GABAergic,Pericyte,TNF,FAS,0.6392909201343476
Oligodendrocyte,Oligodendrocyte,FN1,C5AR1,0.6383467086373164
Endothelial,GABAergic,LGALS3,LAG3,0.6374015679495815
Oligodendrocyte,Oligodendrocyte,LGALS3,ENG,0.6364554080239077
Pericyte,Microglia,LGALS3,ENG,0.6326610525398977
Pericyte,Endothelial,FN1,C5AR1,0.6307581061296477
Oligodendrocyte,Endothelial,TNF,FAS,0.6298051600978819
Endothelial,GABAergic,CCL7,CCR5,0.6288512488711975
Pericyte,GABAergic,LGALS3,ENG,0.6278963735134715
Microglia,Endothelial,CXCL10,SDC4,0.6240672982807018
Oligodendrocyte,Microglia,CCL7,CCR1,0.6231076182721158
GABAergic,Endothelial,TNF,VSIR,0.6231076182721158
Astrocyte,Oligodendrocyte,FN1,C5AR1,0.622146980515701
Endothelial,Microglia,EDN1,ADGRL4,0.6192593778596772
Oligodendrocyte,Microglia,LGALS3,ENG,0.6192593778596772
Astrocyte,Oligodendrocyte,ANGPTL4,SDC4,0.6182949197966516
Oligodendrocyte,GABAergic,LGALS3,ENG,0.6144276205889448
Pericyte,Oligodendrocyte,CXCL12,SDC4,0.6124882544376977
Microglia,Endothelial,FN1,C5AR1,0.6115171517622148
Pericyte,Astrocyte,LGALS3,ENG,0.6105451041053286
Oligodendrocyte,Endothelial,FN1,C5AR1,0.6095721125309166
Endothelial,Endothelial,ANGPTL4,SDC4,0.6076233488942175
Pericyte,Pericyte,ADM,RAMP2,0.6056707754353288
GABAergic,Oligodendrocyte,TNF,VSIR,0.6056707754353288
Pericyte,Pericyte,FN1,C5AR1,0.6046930802766601
GABAergic,Astrocyte,TNF,FAS,0.6037144475836782
Endothelial,Oligodendrocyte,ADM,GPR84,0.6027349256555135
Endothelial,Oligodendrocyte,LGALS3,ENG,0.6017544211305961
GABAergic,GABAergic,TNF,FAS,0.6007729822629462
Oligodendrocyte,Astrocyte,LGALS3,ENG,0.5988073057549589
Oligodendrocyte,GABAergic,VWF,SIRPA,0.5958518575690024
Endothelial,Microglia,CCL7,CCR1,0.5958518575690024
Astrocyte,Endothelial,FN1,C5AR1,0.5909075343343181
Pericyte,GABAergic,VWF,SIRPA,0.5899158880014029
Microglia,Pericyte,FN1,C5AR1,0.5899158880014029
Oligodendrocyte,Pericyte,FN1,C5AR1,0.5869354238003257
Endothelial,Microglia,LGALS3,ENG,0.5819496781274383
Pericyte,Astrocyte,LGALS3,LAG3,0.5799490100323715
Endothelial,GABAergic,LGALS3,ENG,0.5799490100323715
Oligodendrocyte,GABAergic,TNF,VSIR,0.5789472849610925
GABAergic,Pericyte,TNF,VSIR,0.5749312965771626
Astrocyte,Endothelial,ANGPTL4,SDC4,0.572917912984885
Oligodendrocyte,Astrocyte,VWF,SIRPA,0.5719098411822393
Pericyte,Oligodendrocyte,ADM,RAMP2,0.5709008669529247
Astrocyte,Pericyte,FN1,C5AR1,0.569890991360819
Oligodendrocyte,Astrocyte,LGALS3,LAG3,0.5688802154697989
Pericyte,Endothelial,CXCL12,SDC4,0.5678685891255223
Pericyte,Astrocyte,VWF,SIRPA,0.5668560158715703
GABAergic,Oligodendrocyte,PTN,SDC4,0.5668560158715703
Endothelial,Astrocyte,LGALS3,ENG,0.562796762421203
Oligodendrocyte,Oligodendrocyte,CXCL12,SDC4,0.5597429927921587
GABAergic,Oligodendrocyte,TNF,FAS,0.5587232725109599
Oligodendrocyte,GABAergic,SNCA,LAG3,0.5577026636333948
Pericyte,Microglia,FN1,MAG,0.5556588336422349
Pericyte,Oligodendrocyte,THBS1,SDC4,0.5536114128198273
Endothelial,Astrocyte,LGALS3,LAG3,0.5495060299143437
Pericyte,Astrocyte,ADM,GPR84,0.5484774716286479
Pericyte,Astrocyte,FN1,MAG,0.5474480353852571
Pericyte,GABAergic,ADM,RAMP2,0.5453865332808997
Microglia,Oligodendrocyte,PTN,SDC4,0.5443544695476877
Microglia,Microglia,FN1,MAG,0.5412530902804152
Oligodendrocyte,Microglia,FN1,MAG,0.540217538163655
Pericyte,Pericyte,ADM,RAMP1,0.5391811166001673
Astrocyte,Astrocyte,TNF,VSIR,0.535026807297268
Pericyte,GABAergic,FN1,MAG,0.535026807297268
Microglia,Astrocyte,FN1,MAG,0.533986054499925
GABAergic,Endothelial,PTN,SDC4,0.533986054499925
Oligodendrocyte,Astrocyte,FN1,MAG,0.5329444386390673
Pericyte,Microglia,COL3A1,MAG,0.5277235010488253
Oligodendrocyte,Endothelial,CXCL12,SDC4,0.5266767291895663
Endothelial,Pericyte,S100A9,CD68,0.5266767291895663
Astrocyte,Microglia,FN1,MAG,0.5245806196856507
Astrocyte,Pericyte,TNF,FAS,0.5245806196856507
Microglia,GABAergic,FN1,MAG,0.5235312841687492
Pericyte,Microglia,ADM,RAMP2,0.5224810962270547
Oligodendrocyte,GABAergic,FN1,MAG,0.5224810962270547
Pericyte,Endothelial,THBS1,SDC4,0.5193255300114648
Pericyte,Astrocyte,COL3A1,MAG,0.5182719430910803
Pericyte,Oligodendrocyte,ADM,GPR84,0.5151061039523835
Astrocyte,Astrocyte,FN1,MAG,0.5140491349932281
Astrocyte,Oligodendrocyte,CXCL12,SDC4,0.5129913231840735
GABAergic,Oligodendrocyte,CXCL12,SDC4,0.5119326695887967
Pericyte,GABAergic,COL3A1,MAG,0.5087517710569404
Astrocyte,Endothelial,TNF,VSIR,0.5087517710569404
Astrocyte,GABAergic,FN1,MAG,0.5076897610366312
GABAergic,Astrocyte,PTN,PTPRB,0.506626914549484
Microglia,Endothelial,PTN,SDC4,0.506626914549484
Oligodendrocyte,Astrocyte,TNF,VSIR,0.5044987164301854
Astrocyte,Oligodendrocyte,TNF,VSIR,0.5034333669257887
Astrocyte,Astrocyte,TNF,FAS,0.5023671852100632
Microglia,Oligodendrocyte,CXCL12,SDC4,0.5013001723468866
Astrocyte,GABAergic,TNF,FAS,0.5002323294001362
Oligodendrocyte,Pericyte,TNF,FAS,0.5002323294001362
Astrocyte,Pericyte,TNF,VSIR,0.4980941575114227
Microglia,Astrocyte,PTN,PTPRB,0.4980941575114227
Oligodendrocyte,Endothelial,TNF,VSIR,0.4970238306972147
Oligodendrocyte,Astrocyte,SNCA,LAG3,0.495952781348287
Astrocyte,Endothelial,CXCL12,SDC4,0.4938080029938582
GABAergic,Endothelial,CXCL12,SDC4,0.4927343793299025
Astrocyte,Oligodendrocyte,TNF,FAS,0.4927343793299025
Oligodendrocyte,Oligodendrocyte,TNF,VSIR,0.491659934093289
Oligodendrocyte,Astrocyte,TNF,FAS,0.49058466834789516
Oligodendrocyte,GABAergic,TNF,FAS,0.48950858315759815
Oligodendrocyte,Oligodendrocyte,VWF,SIRPA,0.48843167958627554
Pericyte,Oligodendrocyte,VWF,SIRPA,0.4873539586978042
Microglia,Endothelial,CXCL12,SDC4,0.48627542155606207
Oligodendrocyte,Pericyte,TNF,VSIR,0.4851960692249261
GABAergic,GABAergic,CCL2,CCR1,0.135021373367116
GABAergic,Microglia,CCL2,CCR1,0.12542014167380255
GABAergic,GABAergic,CCL3,CCR1,0.1126852676614698
GABAergic,GABAergic,CCL4,CCR1,0.11192630078952846
GABAergic,Microglia,CCL4,CCR1,0.10612944256649896
GABAergic,Microglia,CCL3,CCR1,0.10310194638722572
Oligodendrocyte,GABAergic,CCL4,CCR1,0.09046392447212587
GABAergic,GABAergic,CCL2,CCR2,0.08588610137860302
Microglia,GABAergic,CCL2,CCR1,0.08404221693310662
GABAergic,Microglia,CCL4,CCR5,0.0805101181073669
GABAergic,Microglia,CCL2,CCR5,0.07998442401584702
Oligodendrocyte,GABAergic,FN1,C5AR1,0.07891882998954787
Microglia,GABAergic,CCL3,CCR1,0.0775695483809641
GABAergic,GABAergic,FN1,C5AR1,0.07703935046360426
Oligodendrocyte,Microglia,CCL4,CCR1,0.07552549420197988
Microglia,Microglia,CCL2,CCR1,0.07111462307966948
GABAergic,Microglia,FN1,C5AR1,0.07082738416560341
GABAergic,Microglia,CCL3,CCR5,0.06847485510482515
Pericyte,GABAergic,FN1,C5AR1,0.06840031999196133
Microglia,Microglia,CCL4,CCR1,0.06796605527588807
Microglia,GABAergic,CCL4,CCR1,0.067830426476053
Microglia,Microglia,CCL3,CCR1,0.06655872314951967
Oligodendrocyte,Microglia,FN1,C5AR1,0.06550537592389302
