isp_index,cell_type,condition,glutathione_metabolism,fatty_acid_elongation,iron_metabolism
-0.3785959514855708,Endothelial,Sham,-0.07630522088353414,-0.07258064516129033,1.1400000000000001
-0.5145003720380006,Endothelial,Sham,0.25301204819277107,-0.07258064516129033,1.408
-0.835888421109788,Endothelial,Sham,-0.0783132530120482,-0.06048387096774194,1.0759999999999998
-0.12203816363527488,Pericyte,Sham,-0.44779116465863456,0.23655913978494622,3.9720000000000004
-0.6948028936154766,Microglia,Sham,-0.16265060240963855,-0.04435483870967742,2.416
-0.7089911557024752,Endothelial,Sham,0.03815261044176704,-0.04435483870967742,1.5
-0.7357203535667457,Endothelial,Sham,-0.17068273092369476,-0.05241935483870968,0.25999999999999995
-0.5743355147719346,Endothelial,Sham,-0.15461847389558234,-0.04032258064516129,1.48
-0.8605186064181168,Endothelial,Sham,0.0,-0.04032258064516129,1.0639999999999998
-0.8652480271137831,Endothelial,Sham,0.04417670682730923,-0.04838709677419355,0.5
-0.682580795188474,Microglia,Sham,-0.07429718875502009,-0.05241935483870968,1.472
-0.6863271340541423,Endothelial,Sham,0.04417670682730923,-0.028225806451612902,1.192
-0.935073406822832,Endothelial,Sham,0.36144578313253006,-0.05241935483870968,0.08800000000000002
-0.6401488578234242,Endothelial,Sham,-0.16265060240963855,-0.036290322580645164,1.2520000000000002
-0.7511573952756336,Microglia,Sham,-0.024096385542168697,-0.05241935483870968,2.132
-0.6134196599591534,Microglia,Sham,-0.13052208835341364,-0.056451612903225805,2.9000000000000004
-0.4023759038598473,Microglia,Sham,0.15863453815261042,-0.04838709677419355,5.212
-0.45814587037784354,Endothelial,Sham,0.03815261044176704,-0.05241935483870968,2.0
-0.7275102917973029,Endothelial,Sham,0.27108433734939763,-0.04032258064516129,0.976
-0.8489607524708428,Microglia,Sham,-0.40160642570281124,-0.04838709677419355,1.008
-0.3167946450916408,Endothelial,Sham,0.40160642570281124,-0.0846774193548387,3.5040000000000004
-0.813622946149292,Endothelial,Sham,0.34538152610441764,-0.024193548387096774,0.26399999999999996
-0.870110296705395,Microglia,Sham,-0.21686746987951808,0.14247311827956988,0.772
-1.017999769417267,Microglia,Sham,-0.28112449799196787,-0.07258064516129033,1.316
-0.2373775750953136,Endothelial,Sham,0.08634538152610444,-0.05241935483870968,3.7640000000000002
-0.37734717186368133,Endothelial,Sham,-0.16265060240963855,-0.03225806451612903,4.68
-0.8702431456013406,Endothelial,Sham,0.06626506024096385,-0.03225806451612903,0.828
-0.4200448070206227,Endothelial,Sham,-0.43373493975903615,-0.07661290322580645,2.712
-0.6685253819974212,Endothelial,Sham,0.12650602409638556,-0.04838709677419355,0.72
0.19572669945016022,Microglia,Sham,-0.4979919678714859,-0.10887096774193548,11.44
-0.758412099575594,Microglia,Sham,0.054216867469879526,-0.06451612903225806,3.724
-0.6533540380804246,Microglia,Sham,0.5963855421686748,-0.04838709677419355,2.3160000000000003
-0.2961764964408715,Pericyte,Sham,0.35542168674698804,-0.13306451612903225,4.1
-0.8340551063457375,Endothelial,Sham,-0.024096385542168752,-0.04838709677419355,1.6600000000000001
-1.1748006069176145,Oligodendrocyte,Sham,-0.9297188755020078,0.1639784946236559,23.988
-0.9005858334353337,Endothelial,Sham,-0.21285140562248997,-0.024193548387096774,0.76
-0.7595003059410224,Microglia,Sham,-0.00803212851405627,-0.06451612903225806,1.6560000000000001
0.344181751796492,Endothelial,Sham,-0.2068273092369478,0.07795698924731181,8.372
-0.9360564886528301,Endothelial,Sham,-0.04216867469879518,-0.024193548387096774,0.736
-1.0968346899686194,Astrocyte,Sham,0.09638554216867468,-0.06451612903225806,1.296
-0.6369416897835862,Endothelial,Sham,-0.19477911646586346,-0.03225806451612903,2.184
-0.5165993845939424,Endothelial,Sham,0.0,0.293010752688172,3.052
-0.03587236972490748,Endothelial,Sham,0.21485943775100413,0.05779569892473117,5.328
-0.07126331560483652,Microglia,Sham,0.178714859437751,-0.05241935483870968,7.34
-0.5330195081328283,Endothelial,Sham,-0.13052208835341364,-0.036290322580645164,3.648
-0.5295388670590516,Endothelial,Sham,0.042168674698795205,-0.036290322580645164,0.62
-1.0276131217683449,Microglia,Sham,-0.004016064257028107,-0.04435483870967742,1.6520000000000001
-0.7131891808143586,Endothelial,Sham,-0.2570281124497992,-0.03225806451612903,1.9960000000000002
-0.9258039184796711,Microglia,Sham,-0.1566265060240964,-0.056451612903225805,2.112
-1.0108848024229666,Microglia,Sham,-0.3815261044176707,-0.028225806451612902,0.8959999999999999
-0.6213640239367052,Endothelial,Sham,-0.040160642570281124,-0.03225806451612903,0.704
-0.9680465027965498,Microglia,Sham,-0.12650602409638553,-0.04032258064516129,0.44000000000000006
-0.7482081497856395,Endothelial,Sham,0.11646586345381527,-0.07661290322580645,1.584
0.4212341114449858,GABAergic,Sham,-0.002008032128514081,0.1303763440860215,1.68
-0.724029650723526,Microglia,Sham,-0.3293172690763052,-0.020161290322580645,0.84
-0.9256409803042293,Oligodendrocyte,Sham,0.40160642570281124,-0.06048387096774194,2.024
-1.1282817578289248,Microglia,Sham,-0.3614457831325301,-0.05241935483870968,1.3760000000000001
-0.9381555012087719,Pericyte,Sham,-0.030120481927710857,-0.04032258064516129,-0.03999999999999998
-0.2654884014774193,Endothelial,Sham,-0.024096385542168697,-0.04435483870967742,3.044
-0.28908236539737214,Endothelial,Sham,-0.5,-0.07258064516129033,5.06
-0.7769035113099063,Endothelial,Sham,-0.04618473895582331,-0.04838709677419355,1.76
-0.8499438343008409,Microglia,Sham,-0.1927710843373494,-0.008064516129032258,1.532
-1.0420699076174822,Endothelial,Sham,-0.24497991967871485,0.13844086021505375,0.5840000000000001
