source,target,ligand_complex,receptor_complex,magnitude_rank_mcao,magnitude_rank_sham,magnitude_rank_diff
Microglia,Pericyte,PSAP,GPR37L1,0.1168102840833882,1.0,-0.8831897159166118
Endothelial,Microglia,CCL4,CCR1,0.11856290842903527,1.0,-0.8814370915709647
Endothelial,Microglia,CXCL12,SDC4,0.11914974028894101,1.0,-0.880850259711059
Microglia,Microglia,LGALS3,LAG3,0.12091806392497789,1.0,-0.8790819360750222
Microglia,GABAergic,TNF,VSIR,0.12269812849379427,1.0,-0.8773018715062058
Pericyte,Endothelial,PTN,SDC4,0.12329409227414151,1.0,-0.8767059077258585
Endothelial,Microglia,PTN,SDC4,0.12448990527139431,1.0,-0.8755100947286056
Astrocyte,GABAergic,PSAP,GPR37L1,0.12508976676952305,1.0,-0.874910233230477
GABAergic,Microglia,TNF,VSIR,0.12569091088684042,1.0,-0.8743090891131595
Pericyte,GABAergic,CCL2,CCR1,0.12871610876642714,1.0,-0.8712838912335729
Astrocyte,Astrocyte,PTN,PTPRB,0.13054671881995802,1.0,-0.869453281180042
Pericyte,Microglia,CCL2,CCR5,0.13115950357011452,1.0,-0.8688404964298855
Pericyte,Endothelial,LGALS3,ENG,0.13177354517589887,1.0,-0.8682264548241011
Astrocyte,Endothelial,CCL2,ACKR1,0.1330055427131921,1.0,-0.8669944572868079
Oligodendrocyte,Endothelial,LGALS3,ENG,0.1348631610470253,1.0,-0.8651368389529747
Pericyte,GABAergic,CCL2,CCR2,0.13548489877847011,1.0,-0.8645151012215299
Endothelial,Astrocyte,FN1,C5AR1,0.13924229694521545,1.0,-0.8607577030547846
Astrocyte,GABAergic,CCL3,CCR1,0.13987299546422105,1.0,-0.860127004535779
Astrocyte,Microglia,PSAP,GPR37L1,0.13987299546422105,1.0,-0.860127004535779
Pericyte,Microglia,APOE,LSR,0.14050496557235673,1.0,-0.8594950344276433
Astrocyte,Microglia,CCL3,CCR5,0.1411382062057452,1.0,-0.8588617937942549
Endothelial,Microglia,APOE,LSR,0.14240849479277098,1.0,-0.857591505207229
GABAergic,Microglia,THBS1,SDC4,0.14240849479277098,1.0,-0.857591505207229
Pericyte,GABAergic,CCL4,CCR5,0.14432339915932713,1.0,-0.8556766008406729
Endothelial,Oligodendrocyte,FN1,C5AR1,0.14496424054190535,1.0,-0.8550357594580946
Astrocyte,GABAergic,CCL2,CCR1,0.1462497114776725,1.0,-0.8537502885223275
GABAergic,Oligodendrocyte,CCL5,SDC4,0.14689430780336146,1.0,-0.8531056921966386
Astrocyte,Microglia,CCL2,CCR5,0.14883574496139987,1.0,-0.8511642550386002
Endothelial,Endothelial,LGALS3,ENG,0.14948540548914907,1.0,-0.850514594510851
Pericyte,Microglia,CCL4,CCR1,0.1501363216479708,1.0,-0.8498636783520293
Pericyte,Microglia,ANGPTL4,SDC4,0.1501363216479708,1.0,-0.8498636783520293
Astrocyte,Microglia,LGALS3,LAG3,0.15078846091082876,1.0,-0.8492115390891712
Astrocyte,Pericyte,PSAP,GPR37L1,0.15209656168821065,1.0,-0.8479034383117894
Pericyte,Endothelial,ADM,RAMP2,0.15340966796805072,1.0,-0.8465903320319492
Pericyte,Endothelial,TIMP1,CD63,0.15406809551169923,1.0,-0.8459319044883008
GABAergic,GABAergic,THBS1,SDC4,0.15472773941460333,1.0,-0.8452722605853966
Pericyte,Astrocyte,THBS1,SDC4,0.15472773941460333,1.0,-0.8452722605853966
Astrocyte,GABAergic,CCL2,CCR2,0.15605083104619036,1.0,-0.8439491689538097
Oligodendrocyte,Endothelial,CCL2,ACKR1,0.15871191352271846,1.0,-0.8412880864772816
Endothelial,Endothelial,FN1,C5AR1,0.16004991941057306,1.0,-0.8399500805894269
Pericyte,Microglia,ADM,GPR84,0.16409359698939213,1.0,-0.8359064030106078
Pericyte,Astrocyte,PTN,PTPRB,0.16613210134379824,1.0,-0.8338678986562018
Pericyte,Oligodendrocyte,PSAP,GPR37L1,0.16681402938410364,1.0,-0.8331859706158964
Pericyte,GABAergic,ANGPTL4,SDC4,0.1674972182340717,1.0,-0.8325027817659283
Pericyte,GABAergic,CCL2,CCR5,0.1681816339906808,1.0,-0.8318183660093192
Microglia,Microglia,CXCL10,SDC4,0.16886727559005343,1.0,-0.8311327244099466
Microglia,Pericyte,LGALS3,ENG,0.17093151155344025,1.0,-0.8290684884465598
Oligodendrocyte,Endothelial,PTN,SDC4,0.17093151155344025,1.0,-0.8290684884465598
Microglia,Endothelial,CXCL10,ACKR1,0.17231380062247237,1.0,-0.8276861993775276
GABAergic,Pericyte,THBS1,SDC4,0.1730067748782534,1.0,-0.8269932251217467
Endothelial,Oligodendrocyte,PSAP,GPR37L1,0.1743963775129587,1.0,-0.8256036224870413
Astrocyte,Endothelial,TIMP1,CD63,0.1743963775129587,1.0,-0.8256036224870413
Microglia,Astrocyte,TNF,VSIR,0.17789161633170225,1.0,-0.8221083836682977
Endothelial,Microglia,ANGPTL4,SDC4,0.17929817540956805,1.0,-0.820701824590432
Pericyte,Microglia,CCL2,CCR1,0.18000328563113144,1.0,-0.8199967143688686
Endothelial,Endothelial,CCL2,ACKR1,0.18070960360969754,1.0,-0.8192903963903024
Oligodendrocyte,GABAergic,CCL2,CCR1,0.1828357934486388,1.0,-0.8171642065513612
Astrocyte,GABAergic,CCL3,CCR5,0.18354689751242587,1.0,-0.8164531024875741
Microglia,GABAergic,LGALS3,LAG3,0.18425923825991683,1.0,-0.8157407617400831
Pericyte,Pericyte,ANGPTL4,SDC4,0.18497278038119772,1.0,-0.8150272196188023
Oligodendrocyte,Microglia,CCL2,CCR5,0.18568752281239126,1.0,-0.8143124771876087
Endothelial,GABAergic,CCL3,CCR1,0.18712060434900696,1.0,-0.812879395650993
GABAergic,Endothelial,PF4,ACKR1,0.18855843965030705,1.0,-0.811441560349693
Microglia,GABAergic,CXCL10,SDC4,0.18927916761533398,1.0,-0.810720832384666
Endothelial,Microglia,CCL3,CCR5,0.19000108950706085,1.0,-0.8099989104929392
Pericyte,Endothelial,CCL7,ACKR1,0.19072420426161024,1.0,-0.8092757957383898
Endothelial,Pericyte,FN1,C5AR1,0.19144851081510494,1.0,-0.8085514891848951
Astrocyte,Endothelial,CCL7,ACKR1,0.19290066001033546,1.0,-0.8070993399896645
Oligodendrocyte,GABAergic,CCL2,CCR2,0.1936285355201397,1.0,-0.8063714644798603
Pericyte,Microglia,LGALS3,LAG3,0.19508784810633228,1.0,-0.8049121518936677
Astrocyte,Microglia,CCL3,CCR1,0.19581928305496604,1.0,-0.8041807169450339
Oligodendrocyte,GABAergic,CCL3,CCR1,0.1965518670165744,1.0,-0.8034481329834255
Microglia,Pericyte,TNF,FAS,0.1965518670165744,1.0,-0.8034481329834255
GABAergic,Astrocyte,FN1,C5AR1,0.1972856695480354,1.0,-0.8027143304519646
Astrocyte,Microglia,ANGPTL4,SDC4,0.19949416623181954,1.0,-0.8005058337681805
Pericyte,GABAergic,CCL3,CCR1,0.20023269127662352,1.0,-0.7997673087233765
Microglia,Oligodendrocyte,LGALS3,ENG,0.2009723586099266,1.0,-0.7990276413900734
Pericyte,Microglia,CXCL12,SDC4,0.20171323847144007,1.0,-0.7982867615285599
Pericyte,Endothelial,PSAP,GPR37L1,0.20245529417389252,1.0,-0.7975447058261075
Oligodendrocyte,Microglia,CCL3,CCR5,0.20245529417389252,1.0,-0.7975447058261075
Pericyte,Microglia,CCL3,CCR5,0.20394292884610518,1.0,-0.7960570711538948
Pericyte,Astrocyte,ADM,RAMP1,0.20394292884610518,1.0,-0.7960570711538948
GABAergic,Endothelial,CCL5,SDC4,0.20543521809598564,1.0,-0.7945647819040144
Oligodendrocyte,Microglia,LGALS3,LAG3,0.20543521809598564,1.0,-0.7945647819040144
Astrocyte,GABAergic,CCL2,CCR5,0.20618313698858282,1.0,-0.7938168630114172
Endothelial,Endothelial,PSAP,GPR37L1,0.20693222533890626,1.0,-0.7930677746610937
