,ferroptosis_score,senescence_score,mg_activation,consensus_senescence,isp_index,condition
GSM5319987_sham1_1-68-0,0.6251926040061633,0.5850124069478908,3.4155555555555557,-0.07917357864575478,-0.6639390710101262,Sham
GSM5319987_sham1_1-69-0,1.1328967642526964,0.9106699751861042,23.633333333333333,-0.13554216867469882,-0.1201622282065872,Sham
GSM5319987_sham1_1-72-0,0.27267224301122606,0.29622828784119104,4.746666666666667,-0.05481827778615593,-1.1408446221860826,Sham
GSM5319987_sham1_1-75-0,0.24130530486462692,0.1519106699751861,1.7666666666666666,-0.07163323782234957,-1.4800810677021383,Sham
GSM5319987_sham1_1-76-0,0.520856262381686,0.5558312655086849,4.002222222222223,-0.07057759010707285,-0.7756885717640293,Sham
GSM5319987_sham1_1-82-0,2.2131300902487343,1.9149875930521094,20.424444444444443,-0.01726738048559795,1.0368223181009644,Sham
GSM5319987_sham1_1-83-0,1.0679066696015846,1.4404962779156327,20.99111111111111,-0.07525260141758408,-0.18976990773736768,Sham
GSM5319987_sham1_1-84-0,0.7803764032577593,0.5727047146401985,14.357777777777779,-0.10028653295128939,-0.49772937052172583,Sham
GSM5319987_sham1_1-89-0,0.44045784723750825,0.5342928039702234,2.731111111111111,-0.0963655557231187,-0.861799342123445,Sham
GSM5319987_sham1_1-96-0,1.4700088047545674,0.4697270471464019,26.473333333333333,-0.1332378223495702,-0.7330142874116224,Sham
GSM5319987_sham1_1-99-0,0.49801893022232013,0.3392555831265509,3.7377777777777776,-0.1361031518624642,-1.0397036324122102,Sham
GSM5319987_sham1_1-101-0,0.6005392912172574,0.7001488833746898,4.144444444444445,-0.09063489669733071,-0.6903440163359428,Sham
GSM5319987_sham1_1-102-0,0.2526414263702399,0.5127543424317618,4.355555555555555,0.06296184587543355,-1.062960231402491,Sham
GSM5319987_sham1_1-104-0,0.19045784723750828,0.5051612903225806,2.3822222222222225,-0.09025787965616046,-1.1295619908180556,Sham
GSM5319987_sham1_1-107-0,0.3286924939467313,0.2885359801488834,4.5888888888888895,0.14257028112449796,-1.1589263446946756,Sham
GSM5319987_sham1_1-109-0,0.2711314109619194,1.0473945409429282,4.304444444444445,-0.14183381088825214,-1.0431565224081285,Sham
GSM5319987_sham1_1-114-0,0.41371340523882894,0.30401985111662533,2.18,-0.08739255014326648,-1.1225295871289915,Sham
GSM5319987_sham1_1-116-0,0.31944750165089153,0.9966253101736973,5.113333333333333,-0.09923088523601267,-0.9914075447383357,Sham
GSM5319987_sham1_1-120-0,0.6159476117103235,1.6925062034739453,7.846666666666666,0.05331020962147488,-0.6738409255073075,Sham
GSM5319987_sham1_1-124-0,0.5011005943209333,0.512803970223325,3.1644444444444444,0.03898356205700497,-0.7968478917907439,Sham
GSM5319987_sham1_1-129-0,0.49466211754347345,0.23022332506203474,4.144444444444445,-0.07344291961996682,-1.295997466937236,Sham
GSM5319987_sham1_1-134-0,0.25517279330838655,0.38228287841191066,3.775555555555555,-0.07201025486351983,-1.0602490093377868,Sham
GSM5319987_sham1_1-138-0,0.23051948051948054,0.9137965260545905,2.8377777777777777,0.09738955823293172,-1.0866539546636034,Sham
GSM5319987_sham1_1-141-0,1.941283292978208,2.137816377171216,22.51777777777778,-0.08132530120481929,0.7456606441957525,Sham
GSM5319987_sham1_1-145-0,0.4746313009024873,0.5450620347394541,2.4866666666666664,-0.11174785100286533,-0.8251978442499357,Sham
GSM5319987_sham1_1-149-0,0.6033458067356372,0.8538461538461538,2.9511111111111106,0.03898356205700497,-0.6873380962207272,Sham
GSM5319987_sham1_1-154-0,0.5088047545674665,0.5357816377171216,3.42,-0.038003317749962295,-0.7885963463764261,Sham
GSM5319987_sham1_1-155-0,0.031917235307065805,0.4790570719602978,3.9288888888888893,-0.06341426632483789,-1.2993670075226942,Sham
GSM5319987_sham1_1-156-0,0.4191613471274488,0.3652605459057072,5.866666666666667,-0.022621022470215663,-0.9785757447057409,Sham
GSM5319987_sham1_1-167-0,0.5925599823904909,0.6955831265508685,4.5377777777777775,-0.07344291961996682,-0.6988902598007719,Sham
GSM5319987_sham1_1-171-0,0.4106317411402157,0.25478908188585603,2.031111111111111,-0.12034383954154727,-1.2382526111839873,Sham
GSM5319987_sham1_1-173-0,0.8145498569227383,1.053498759305211,3.6977777777777776,-0.044789624491027,-0.46112787264821653,Sham
