,sample,condition,leiden,cell_type,ferroptosis_score,senescence_score,consensus_senescence,isp_index,sene_senmayo,sene_cellage,sene_fridman,glutathione_metabolism,fatty_acid_elongation,iron_metabolism,isp_group,UMAP1,UMAP2
GSM5319988_sham2_1-334-1,GSM5319988_sham2,Sham,8,Astrocyte,0.4044684129429892,0.018263027295285353,-0.05481827778615593,-1.7942364142546614,0.018263027295285353,-0.08032128514056225,-0.05481827778615593,0.3433734939759036,0.12634408602150538,1.232,Low,-4.1566615,13.139043
GSM5319988_sham2_1-335-1,GSM5319988_sham2,Sham,2,Microglia,0.27393792648029935,0.4314640198511166,0.06333886291660382,-1.0401506022929128,0.4314640198511166,-0.04518072289156626,0.06333886291660382,-0.17269076305220885,-0.028225806451612902,1.0959999999999999,Mid,7.9270034,-4.588894
GSM5319988_sham2_1-336-1,GSM5319988_sham2,Sham,2,Microglia,0.39060092449922956,0.27171215880893296,-0.05481827778615593,-1.1984728216650824,0.27171215880893296,-0.19076305220883535,-0.05481827778615593,-0.23694779116465864,-0.05241935483870968,1.496,Low,9.65625,-5.0029845
GSM5319988_sham2_1-337-1,GSM5319988_sham2,Sham,2,Microglia,0.14214175654853622,0.5804466501240695,0.0,-1.1813109684878482,0.5804466501240695,0.0,-0.03476097119589806,-0.40562248995983935,0.11827956989247311,0.44400000000000006,Low,8.398056,-5.485902
GSM5319988_sham2_1-338-1,GSM5319988_sham2,Sham,2,Microglia,0.48051948051948046,0.4636724565756824,-0.05911627205549691,-0.8188913059689928,0.4636724565756824,-0.18473895582329317,-0.05911627205549691,-0.27309236947791166,-0.036290322580645164,1.2080000000000002,Mid,9.662142,-4.3588257
GSM5319988_sham2_1-339-1,GSM5319988_sham2,Sham,10,Microglia,0.3970394012766894,1.273151364764268,-0.0050520283516815034,-0.9083026944941358,1.273151364764268,-0.24096385542168675,-0.0050520283516815034,-0.2570281124497992,0.1021505376344086,1.608,Mid,3.1586077,-7.079657
GSM5319988_sham2_1-340-1,GSM5319988_sham2,Sham,4,Endothelial,0.7344265903587938,0.4483870967741935,-0.0021866988387875125,-0.7831764853386869,0.4483870967741935,-0.0672690763052209,-0.0021866988387875125,-0.14658634538152612,-0.020161290322580645,2.8640000000000003,Mid,10.710212,5.222584
GSM5319988_sham2_1-341-1,GSM5319988_sham2,Sham,3,Endothelial,0.5777019590578912,0.4575186104218363,-0.0050520283516815034,-0.761711730876873,0.4575186104218363,-0.1214859437751004,-0.0050520283516815034,0.3052208835341365,-0.04032258064516129,1.8160000000000003,Mid,8.602243,9.823711
GSM5319988_sham2_1-342-1,GSM5319988_sham2,Sham,6,Astrocyte,0.4687431212854942,0.027344913151364753,-0.10458452722063037,-1.7728883160670967,0.027344913151364753,-0.21084337349397592,-0.10458452722063037,0.6666666666666667,-0.07258064516129033,0.8879999999999999,Low,-8.759413,7.8868217
GSM5319988_sham2_1-343-1,GSM5319988_sham2,Sham,2,Microglia,0.9942218798151001,0.7092307692307692,0.08188810134218066,-0.26869004566430643,0.7092307692307692,-0.3002008032128514,0.08188810134218066,0.2269076305220884,0.22446236559139782,2.952,High,8.169446,-5.4541306
GSM5319988_sham2_1-344-1,GSM5319988_sham2,Sham,4,Endothelial,0.6879264802993617,0.9398511166253101,-0.07487558437641381,-0.5967479154935388,0.9398511166253101,-0.13755020080321284,-0.07487558437641381,-0.23493975903614459,0.0900537634408602,2.572,Mid,8.499302,4.067574
GSM5319988_sham2_1-345-1,GSM5319988_sham2,Sham,10,Microglia,0.4291217257318952,0.15344913151364764,-0.008973005579852214,-1.4764647232004195,0.15344913151364764,-0.14457831325301204,-0.008973005579852214,0.3353413654618474,-0.008064516129032258,1.36,Low,3.8663096,-6.696871
GSM5319988_sham2_1-346-1,GSM5319988_sham2,Sham,0,Endothelial,0.3138344706141316,0.591166253101737,0.03898356205700497,-0.9974193849687674,0.591166253101737,-0.15060240963855423,0.03898356205700497,0.3052208835341365,0.1303763440860215,0.688,Mid,9.368176,9.834107
GSM5319988_sham2_1-347-1,GSM5319988_sham2,Sham,10,Microglia,0.9607638124587278,0.7094292803970224,0.06425702811244977,-0.30452532860648623,0.7094292803970224,0.06425702811244977,0.027522244005429047,-0.08032128514056225,-0.04032258064516129,4.08,High,3.5880883,-6.889394
GSM5319988_sham2_1-348-1,GSM5319988_sham2,Sham,2,Microglia,0.8412942989214176,1.5541935483870968,-0.1293168451213995,-0.4324832221385135,1.5541935483870968,-0.13052208835341364,-0.1293168451213995,0.042168674698795205,0.13440860215053763,2.116,Mid,9.202949,-5.487694
GSM5319988_sham2_1-349-1,GSM5319988_sham2,Sham,2,Microglia,0.3810807836231565,0.13042183622828785,-0.06341426632483789,-1.5305932344519497,0.13042183622828785,-0.13453815261044177,-0.06341426632483789,-0.09839357429718879,-0.04435483870967742,1.148,Low,8.340134,-4.2285867
GSM5319988_sham2_1-350-1,GSM5319988_sham2,Sham,0,Endothelial,1.338762931983271,0.2823821339950372,-0.10496154426180063,-1.1733917227015502,0.2823821339950372,-0.13955823293172692,-0.10496154426180063,0.2771084337349397,-0.04838709677419355,5.924,Low,12.435772,6.2506394
GSM5319988_sham2_1-351-1,GSM5319988_sham2,Sham,0,Endothelial,0.4188861985472154,0.34699751861042183,0.07480018096817975,-1.0215052536293683,0.34699751861042183,0.04417670682730923,0.07480018096817975,-0.09036144578313252,-0.04838709677419355,0.964,Mid,9.736948,5.549143
GSM5319988_sham2_1-352-1,GSM5319988_sham2,Sham,10,Microglia,1.3423948932423508,1.2022828784119106,-0.13218217463429346,0.1042208674527531,1.2022828784119106,-0.33634538152610444,-0.13218217463429346,0.3493975903614458,-0.07258064516129033,4.716,High,2.7062073,5.875034
GSM5319988_sham2_1-353-1,GSM5319988_sham2,Sham,4,Endothelial,0.7143957737178077,0.5220347394540943,-0.1318051575931232,-0.6100585743531894,0.5220347394540943,-0.23293172690763053,-0.1318051575931232,-0.17670682730923698,-0.036290322580645164,0.752,Mid,9.934109,3.6724064
GSM5319988_sham2_1-354-1,GSM5319988_sham2,Sham,2,Microglia,0.6285494166850099,1.142531017369727,-0.15080681646810437,-0.6603437547938877,1.142531017369727,-0.25301204819277107,-0.15080681646810437,-0.08032128514056225,-0.056451612903225805,1.7719999999999998,Mid,8.778336,-5.6242166
GSM5319988_sham2_1-355-1,GSM5319988_sham2,Sham,0,Endothelial,0.6069777679947171,0.5435235732009926,-0.03370532348062133,-0.6834480819539773,0.5435235732009926,-0.1706827309236948,-0.03370532348062133,0.142570281124498,-0.07258064516129033,0.36800000000000005,Mid,8.852492,6.5592823
GSM5319988_sham2_1-356-1,GSM5319988_sham2,Sham,7,Pericyte,1.7108738718908212,0.5188585607940447,-0.017946011159704428,-0.6175245759051246,0.5188585607940447,-0.15562248995983935,-0.017946011159704428,0.22891566265060237,0.10618279569892472,6.324,Mid,0.64877534,9.126959
GSM5319988_sham2_1-357-1,GSM5319988_sham2,Sham,10,Microglia,1.7232005282852743,4.189826302729529,0.03317749962298294,0.5120829693604587,4.189826302729529,-0.04016064257028118,0.03317749962298294,0.7008032128514057,-0.09274193548387097,7.367999999999999,High,3.9944782,-5.697514
GSM5319988_sham2_1-358-1,GSM5319988_sham2,Sham,10,Microglia,1.1442328857583095,1.8414888337468982,-0.05232996531443221,-0.10802066852551956,1.8414888337468982,-0.3413654618473896,-0.05232996531443221,0.2730923694779116,-0.08064516129032258,4.376,High,2.281769,-7.266569
GSM5319988_sham2_1-359-1,GSM5319988_sham2,Sham,2,Microglia,0.4543253356812679,0.42223325062034733,-0.015080681646810437,-0.8469465603776731,0.42223325062034733,-0.1746987951807229,-0.015080681646810437,-0.17469879518072293,-0.04838709677419355,0.836,Mid,6.94082,-3.659121
GSM5319988_sham2_1-360-1,GSM5319988_sham2,Sham,4,Endothelial,1.1177635923398637,0.5680893300248139,-0.0566279595837732,-0.5018015518501291,0.5680893300248139,-0.14357429718875503,-0.0566279595837732,0.07429718875502006,-0.06451612903225806,4.032,Mid,8.733824,5.0196905
GSM5319988_sham2_1-361-1,GSM5319988_sham2,Sham,7,Pericyte,0.4926810477657935,0.2255086848635236,-0.015080681646810437,-1.3070798129908896,0.2255086848635236,-0.26506024096385544,-0.015080681646810437,-0.1606425702811245,-0.07661290322580645,1.972,Low,-1.1118734,10.826192
GSM5319988_sham2_1-362-1,GSM5319988_sham2,Sham,8,Astrocyte,0.35053929121725735,0.028982630272952836,-0.049087618760367976,-1.7690386590168805,0.028982630272952836,-0.13855421686746988,-0.049087618760367976,0.4979919678714859,0.1021505376344086,0.788,Low,-4.2747884,13.172966
GSM5319988_sham2_1-363-1,GSM5319988_sham2,Sham,4,Endothelial,0.5820493066255779,0.5067493796526055,-0.1017191977077364,-0.7101477253303053,0.5067493796526055,-0.13855421686746988,-0.1017191977077364,0.12248995983935745,-0.04032258064516129,0.504,Mid,8.855955,4.601137
GSM5319988_sham2_1-364-1,GSM5319988_sham2,Sham,0,Endothelial,0.7648029936165529,0.5879900744416873,-0.05806062434022019,-0.5144092801806682,0.5879900744416873,-0.26706827309236947,-0.05806062434022019,-0.4076305220883535,-0.06451612903225806,2.612,Mid,11.016561,7.5248857
GSM5319988_sham2_1-365-1,GSM5319988_sham2,Sham,0,Endothelial,0.2649680827646929,0.36084367245657567,0.06477152767305082,-1.0497577587395825,0.36084367245657567,-0.11646586345381527,0.06477152767305082,0.07228915662650598,-0.020161290322580645,0.6040000000000001,Mid,12.318629,6.8625603
GSM5319988_sham2_1-366-1,GSM5319988_sham2,Sham,0,Endothelial,0.7996918335901386,0.4114143920595534,-0.01221535213391646,-0.8700854096541825,0.4114143920595534,-0.13052208835341367,-0.01221535213391646,0.020080321285140534,-0.06854838709677419,2.432,Mid,12.537591,7.5667715
GSM5319988_sham2_1-367-1,GSM5319988_sham2,Sham,16,Astrocyte,0.9146489104116222,0.3802481389578164,0.056100135726134814,-0.9433455498825467,0.3802481389578164,-0.11244979919678716,0.056100135726134814,-0.0943775100401606,-0.15725806451612903,3.7239999999999998,Mid,-0.56888384,5.6781483
GSM5319988_sham2_1-368-1,GSM5319988_sham2,Sham,0,Endothelial,0.7023442659035879,0.448287841191067,-0.07487558437641381,-0.7834097978871848,0.448287841191067,-0.23694779116465864,-0.07487558437641381,0.2449799196787148,-0.03225806451612903,0.8079999999999999,Mid,8.951119,8.77659
GSM5319988_sham2_1-369-1,GSM5319988_sham2,Sham,7,Pericyte,0.8786594761171032,0.5003473945409429,-0.03264967576534461,-0.661037366199997,0.5003473945409429,-0.29518072289156627,-0.03264967576534461,-0.08232931726907633,-0.0846774193548387,3.456,Mid,0.79077125,9.657626
GSM5319988_sham2_1-370-1,GSM5319988_sham2,Sham,4,Endothelial,0.7017939687431214,0.36992555831265506,-0.05089730055798522,-0.9676100549263362,0.36992555831265506,-0.26104417670682734,-0.05089730055798522,-0.08433734939759036,-0.06854838709677419,3.436,Mid,9.560678,4.141815
GSM5319988_sham2_1-371-1,GSM5319988_sham2,Sham,19,Endothelial,0.05712084525643846,1.8753846153846154,1.5240963855421688,-1.2723726660958548,1.8753846153846154,1.5240963855421688,-0.08166189111747851,-0.17469879518072293,-0.028225806451612902,0.124,Low,6.513333,17.357424
GSM5319988_sham2_1-372-1,GSM5319988_sham2,Sham,0,Endothelial,0.12827426810477657,0.3224317617866005,-0.10315186246418338,-1.1961637502336202,0.3224317617866005,-0.11244979919678715,-0.10315186246418338,-0.1345381526104418,-0.03225806451612903,0.14400000000000002,Low,12.095321,7.5098386
GSM5319988_sham2_1-373-1,GSM5319988_sham2,Sham,6,Astrocyte,0.37392692053709,0.19488833746898263,-0.04192429497813302,-1.379056734202515,0.19488833746898263,-0.08132530120481928,-0.04192429497813302,0.5481927710843374,-0.04838709677419355,1.324,Low,-9.232037,7.660039
GSM5319988_sham2_1-374-1,GSM5319988_sham2,Sham,4,Endothelial,0.5404468412942989,0.1579652605459057,-0.09923088523601267,-1.4658490022437618,0.1579652605459057,-0.11546184738955824,-0.09923088523601267,0.4196787148594378,-0.06048387096774194,0.5920000000000001,Low,8.7092,4.1654434
GSM5319988_sham2_1-375-1,GSM5319988_sham2,Sham,4,Endothelial,0.4931212854941668,0.29478908188585606,0.002111295430553453,-1.1442276541393033,0.29478908188585606,-0.05923694779116466,0.002111295430553453,-0.17871485943775103,-0.016129032258064516,2.096,Mid,8.619771,3.5644226
GSM5319988_sham2_1-376-1,GSM5319988_sham2,Sham,7,Pericyte,1.6394453004622496,1.2544913151364763,-0.20095008294374905,0.4223768827848042,1.2544913151364763,-0.4578313253012048,-0.20095008294374905,0.22088353413654616,0.2204301075268817,5.588,High,-0.41104016,11.670493
GSM5319988_sham2_1-377-1,GSM5319988_sham2,Sham,0,Endothelial,0.5260290556900726,0.4007444168734491,0.017870607751470355,-0.895166508617715,0.4007444168734491,0.004016064257028107,0.017870607751470355,-0.09437751004016068,-0.04435483870967742,1.148,Mid,10.237629,8.245407
GSM5319988_sham2_1-378-1,GSM5319988_sham2,Sham,1,Endothelial,0.47055910191503414,0.4513151364764268,0.08301915246569144,-0.8295593753975036,0.4513151364764268,-0.1275100401606426,0.08301915246569144,0.3052208835341365,-0.036290322580645164,1.1920000000000002,Mid,8.606799,9.093132
GSM5319988_sham2_1-379-1,GSM5319988_sham2,Sham,0,Endothelial,0.40655954215276247,0.4237717121588089,-0.04192429497813302,-0.8981061419464431,0.4237717121588089,-0.1606425702811245,-0.04192429497813302,0.07630522088353414,-0.04838709677419355,1.496,Mid,12.138463,8.645789
GSM5319988_sham2_1-380-1,GSM5319988_sham2,Sham,8,Astrocyte,0.2695905789126128,0.04893300248138957,0.04893300248138957,-1.7221428367687874,0.04893300248138957,-0.06124497991967871,0.09734580003016136,0.10040160642570278,0.24059139784946235,0.6799999999999999,Low,-3.5723102,13.007434
GSM5319988_sham2_1-381-1,GSM5319988_sham2,Sham,2,Microglia,0.21846797270526086,0.641786600496278,-0.05625094254260293,-1.0995617292760005,0.641786600496278,-0.24497991967871485,-0.05625094254260293,-0.3453815261044177,-0.06048387096774194,0.34400000000000003,Mid,8.069794,-5.1547174
GSM5319988_sham2_1-382-1,GSM5319988_sham2,Sham,2,Microglia,0.5088047545674665,0.3515136476426799,-0.12607449856733524,-1.0108895326727105,0.3515136476426799,-0.2469879518072289,-0.12607449856733524,-0.21485943775100405,-0.056451612903225805,1.996,Mid,7.555883,-4.25916
GSM5319988_sham2_1-383-1,GSM5319988_sham2,Sham,17,Endothelial,0.22254017169271406,0.045905707196029766,-0.02043432363142815,-1.7292588694979754,0.045905707196029766,-0.1686746987951807,-0.02043432363142815,0.06827309236947787,-0.03225806451612903,0.188,Low,16.338203,9.774747
GSM5319988_sham2_1-384-1,GSM5319988_sham2,Sham,10,Microglia,0.5516729033678186,0.12124069478908188,-0.08022922636103152,-1.5521746451880127,0.12124069478908188,-0.142570281124498,-0.08022922636103152,0.08835341365461846,-0.04032258064516129,1.596,Low,4.2919755,-6.169157
GSM5319988_sham2_1-385-1,GSM5319988_sham2,Sham,0,Endothelial,0.38906009244992296,0.2579156327543425,-0.050520283516814965,-1.2309032659063008,0.2579156327543425,-0.1566265060240964,-0.050520283516814965,0.41365461847389556,0.12231182795698924,0.548,Low,12.358447,6.9547195
GSM5319988_sham2_1-386-1,GSM5319988_sham2,Sham,0,Endothelial,0.3859784283513097,0.34084367245657565,-0.03762630070879204,-1.035970631636243,0.34084367245657565,-0.04919678714859439,-0.03762630070879204,0.3975903614457831,0.14247311827956988,0.296,Mid,11.146367,7.4794955
