protein_A,protein_B,score
RPS6KB1,MAPK3,0
MAPK3,RPS6KB1,0
STAT3,MAPK3,0
MAPK3,STAT3,0
MTOR,MAPK3,0
MAPK3,MTOR,0
MAPK3,JAK2,0
PRKAA1,JUN,0
TFAM,PRKAA1,0
JAK2,MAPK1,0
PRKAA1,TSC2,0
IL18,JAK2,0
NFE2L2,JAK2,0
JAK2,NFE2L2,0
SIRT1,JAK2,0
JAK2,SIRT1,0
STAT3,S100A8,0
S100A8,STAT3,0
TSC2,PRKAA1,0
PRKAA1,MTOR,0
PRKAA1,SQSTM1,0
MTOR,PRKAA1,0
PRKAA1,PPARGC1A,0
PPARGC1A,PRKAA1,0
TSC1,PRKAA1,0
PRKAA1,TSC1,0
SIRT1,PRKAA1,0
PRKAA1,SIRT1,0
SQSTM1,PRKAA1,0
JAK2,MAPK3,0
VEGFA,MAPK3,0
MAPK3,VEGFA,0
SNAI1,MTOR,0
SNAI1,MAPK3,0
MAPK3,SNAI1,0
VEGFA,SNAI1,0
SNAI1,VEGFA,0
TIMP1,SNAI1,0
SNAI1,TIMP1,0
SNAI1,JAK2,0
JAK2,SNAI1,0
MTOR,SNAI1,0
NFE2L2,MAPK3,0
SNAI1,SIRT1,0
SIRT1,SNAI1,0
SNAI1,PRNP,0
PRNP,SNAI1,0
SQSTM1,SNAI1,0
SNAI1,SQSTM1,0
SNAI1,RPS6KB1,0
RPS6KB1,SNAI1,0
SNAI1,STAT3,0
STAT3,SNAI1,0
JUN,SNAI1,0
SNAI1,JUN,0
MAPK3,NFE2L2,0
SQSTM1,MAPK3,0
MAPK3,SQSTM1,0
SIRT1,MAPK3,0
MAPK3,SIRT1,0
TIMP1,MAPK3,0
MAPK3,TIMP1,0
PPARGC1A,MAPK3,0
MAPK3,PPARGC1A,0
MAPK3,KEAP1,0
KEAP1,MAPK3,0
MAPK3,IL18,0
IL18,MAPK3,0
MAPK3,LPIN1,0
LPIN1,MAPK3,0
PRNP,MAPK3,0
MAPK3,PRNP,0
JAK2,IL18,0
MAPK1,JAK2,0
SIRT1,SIRT6,0
SIRT1,PRNP,0
TFAM,SQSTM1,0
SQSTM1,TFAM,0
STAT3,PRNP,0
PRNP,STAT3,0
PRNP,JUN,0
JUN,PRNP,0
SQSTM1,PRNP,0
PRNP,SQSTM1,0
PRNP,SIRT1,0
TFAM,KEAP1,0
PPARGC1A,LPIN1,0
LPIN1,PPARGC1A,0
MTOR,LPIN1,0
LPIN1,MTOR,0
LPIN2,LPIN1,0
LPIN1,LPIN2,0
PNPLA2,LPIN1,0
LPIN1,PNPLA2,0
KEAP1,TFAM,0
RPS6KB1,TFAM,0
JAK2,JUN,0
TFAM,PPARGC1A,0
MTOR,LIG4,0
LIG4,MTOR,0
TERF1,LIG4,0
LIG4,TERF1,0
LIG4,LIG3,0
LIG3,LIG4,0
TERF2,LIG4,0
LIG4,TERF2,0
PPARGC1A,TFAM,0
TFAM,RPS6KB1,0
TFAM,SIRT1,0
SIRT1,TFAM,0
TFAM,NFE2L2,0
NFE2L2,TFAM,0
TFAM,STAT3,0
STAT3,TFAM,0
TFAM,MTOR,0
MTOR,TFAM,0
SIRT1,LPIN1,0
LPIN1,SIRT1,0
RPS6KB1,LPIN1,0
JAK2,STAT1,0
MAPK1,STAT3,0
SQSTM1,MAPK1,0
MAPK1,SQSTM1,0
MTOR,MAPK1,0
MAPK1,MTOR,0
PPARGC1A,MAPK1,0
MAPK1,PPARGC1A,0
STAT1,JAK2,0
STAT3,JAK2,0
LPIN1,RPS6KB1,0
JAK2,STAT3,0
MTOR,JAK2,0
JAK2,MTOR,0
VEGFA,JAK2,0
