,S1,S2,S3,I1_3hr,I2_3hr,I3_3hr,I1_6hr,I2_6hr,I3_6hr,I1_12hr,I2_12hr,I3_12hr,I1_24hr,I2_24hr,I3_24hr,S1,S2,S3
1110008P14RIK,5.896725044638516,5.657234154918971,5.750961138971443,5.53963586524068,5.634540894631177,5.857371082054119,5.172344339223952,5.450571080128409,5.595568712319875,4.953665554453306,5.387223687998258,5.116154088527584,4.394822288206099,5.048069290735874,4.893805496118075,5.896725044638516,5.657234154918971,5.750961138971443
1110012L19RIK,2.799303520311835,2.610550689188537,2.56277399094072,2.551609736173736,2.5743143600398155,2.3769888439431095,2.411672793179026,2.4614419129337906,2.3357479944664847,2.5870130409024754,2.717597697841588,2.1148773018322378,2.4077409484396646,2.8102174789505736,2.3039121483110074,2.799303520311835,2.610550689188537,2.56277399094072
1110017D15RIK,0.831488981443025,0.5353156333507807,0.6638787825596748,0.37464126174604556,1.017167854898209,0.6525821420600902,0.8839298753341563,1.16282232054705,1.2093314983162322,0.8423898801152873,0.8064203619983236,1.072347246727965,0.805558898702792,0.9724900965574361,1.321412015015801,0.831488981443025,0.5353156333507807,0.6638787825596748
1110018N20RIK,2.0176735464316917,1.8388828198173452,2.0033622343317985,2.1310281072732633,1.8727298306489817,2.188711644001902,2.07628500549436,1.9337948164329655,2.243892027306501,1.8261944865287711,2.053252088177476,1.9184266252234263,1.9968554903057936,2.0660439160240265,2.1524125476969114,2.0176735464316917,1.8388828198173452,2.0033622343317985
1110028F11RIK,0.06468171286244247,0.24994498097402087,0.159457782405914,0.1994475414939296,0.1406401857774799,0.17262383184919045,0.3581694058440737,0.17862311281802917,0.03173741035066748,0.05899218160098478,0.14181462158383346,0.06481687017863925,0.47176481703735396,0.23929671331668462,0.12366468346098046,0.06468171286244247,0.24994498097402087,0.159457782405914
1110032A03RIK,3.83771235870311,3.5671993595471467,3.439100480051941,3.6097960057047636,3.7208156274725854,3.5218404348081958,3.447567479177155,3.312702416009721,3.4102029221009746,3.4116198561008138,3.660628492118515,3.2995071555724103,3.344030552704538,3.4768257770337776,3.3179205636505773,3.83771235870311,3.5671993595471467,3.439100480051941
1110032F04RIK,3.5772743069555064,3.815145725740546,3.617967761725642,3.9375117352588815,3.85549891942676,4.01979107426475,3.99202817919798,3.8418205058836747,3.730947860217037,4.095073361985914,4.1336076824308225,4.043158884298338,3.5644436072798125,4.043152012632345,3.772317300490046,3.5772743069555064,3.815145725740546,3.617967761725642
1110034G24RIK,2.4993226812041747,2.4574871017280993,2.4820845386994295,2.2705501441202562,2.693286128650216,2.6275110188114073,2.084296276413854,2.1718360876688205,2.486505240383885,2.3118197042482547,1.9315718793284393,2.239436280656403,1.968617985757295,2.5313322703891097,2.316927469691137,2.4993226812041747,2.4574871017280993,2.4820845386994295
1110037F02RIK,5.878849052798417,5.90049800316011,5.961764892808525,5.818110483914682,5.736697667211118,5.879343836104784,6.026868103806604,6.087089023709327,5.909783599430096,6.594891862157667,6.277337030433698,6.242568518173973,5.975322200391111,6.359266068347167,6.485489119959519,5.878849052798417,5.90049800316011,5.961764892808525
1110038B12RIK,2.1797568030163648,2.1621608536894583,2.0033622343317985,2.4690294819512175,2.209376696647743,2.7068912996145835,2.4306489359299155,2.542009580093128,2.8973006639104293,3.0171065006484765,2.7894089513809015,2.972117704961155,2.7327795843943954,2.990239317883714,3.248290640281543,2.1797568030163648,2.1621608536894583,2.0033622343317985
