,GSM2571735,GSM2571736,GSM2571737,GSM2571738,GSM2571739,GSM2571740,GSM2571741,GSM2571742,GSM2571743,GSM2571744,GSM2571745,GSM2571746
CASP8,6.700903904,6.717246078,6.810026976,6.644677578,6.878840614,6.895951374,6.730160002,6.627756129,6.633401736,6.620805014,6.627383374,6.632396575
CASP8AP2,7.620912699,7.620630664,7.620828832,7.620514381,7.62065368,7.620698714,7.620340995,7.62045479,7.620424236,7.620464196,7.620178693,7.620595313
CASP9,7.887356273,7.887390886,7.887198319,7.887510375,7.88733076,7.887345344,7.887404199,7.887581101,7.887555928,7.88763583,7.887566999,7.887549729
CASQ1,6.288408793,6.288280584,6.288305492,6.28827192,6.28841553,6.288487508,6.288409955,6.288561999,6.288378792,6.288137081,6.288024183,6.288571115
CASQ2,6.939794556,6.94068463,6.939804599,6.940230597,6.940201122,6.939545307,6.940386842,6.940877843,6.941120884,6.940878347,6.940408598,6.940526694
CASR,6.511210956,6.511769508,6.510631247,6.511845118,6.511764164,6.510854151,6.51203472,6.511775991,6.511355213,6.511464105,6.510934222,6.511843455
CAST,8.594025245,8.523238125,8.907339428,8.649076637,8.867390267,8.941424284,8.592541835,8.43700428,8.564159231,8.623907405,8.614256839,8.528423062
CASZ1,6.908642188,6.908650095,6.908446265,6.908713157,6.90830723,6.908574264,6.908593947,6.908408745,6.908466592,6.908467294,6.908527097,6.908567612
CAT,9.873196906,9.872885918,9.873283291,9.873040227,9.873138871,9.872890791,9.873001991,9.873326211,9.873086649,9.873117786,9.873011978,9.873373004
CATSPER2,6.456187924,6.456109085,6.456088636,6.456193173,6.456227929,6.455879087,6.456194174,6.45605509,6.456202278,6.456271921,6.456215481,6.456006275
CAV1,8.563688304,8.527442285,8.833455041,8.780813079,8.701038659,8.861679153,8.665746037,8.667249303,8.660794098,8.682635753,8.750054453,8.753910372
