,GSM1509427,GSM1509428,GSM1509429,GSM1509430,GSM1509431,GSM1509422,GSM1509423,GSM1509424,GSM1509425,GSM1509426
CXXC1,10.1709,10.122,10.0223,10.0339,10.2117,9.7009,9.776,9.8926,9.874,9.8275
CXXC4,7.3298,8.2454,8.4004,8.3002,7.2595,8.6484,8.1474,7.4877,8.4385,8.0723
CXXC5,12.174,12.4395,12.3612,12.1853,12.3988,12.3836,12.6339,12.5812,12.7183,12.3174
CYB561,10.491,11.3314,11.2656,11.7094,11.2895,12.0789,11.9963,11.8417,11.8133,12.4559
CYB561A3,10.7623,10.4105,11.5076,10.2059,11.1332,9.036,8.7788,9.0061,9.031,9.3107
CYB561D1,9.5294,9.1128,9.1008,9.4236,9.288,9.4249,9.7783,9.6346,9.3785,9.652
CYB561D2,10.8334,10.3145,10.6062,10.7165,10.5184,10.9164,10.5329,10.5352,10.5955,10.8983
CYB5A,12.885,12.5153,12.4733,12.7706,12.7963,12.4173,12.206,12.3732,12.4179,12.4959
CYB5B,10.7907,10.6537,10.8423,10.7565,10.8002,11.1327,10.9712,11.178,11.041,11.4509
CYB5R2,8.8847,9.1736,9.0394,9.1472,9.4221,8.8886,8.3078,8.8811,9.2153,8.9823
CYB5R3,11.3671,10.6126,10.6712,10.8648,10.9165,10.5167,10.0645,10.1744,10.298,10.664
CYB5R4,12.1747,11.9639,12.0414,12.1627,12.0265,11.8378,11.9413,11.8066,11.8911,11.5161
CYBA,13.5241,12.7534,12.7977,12.7953,12.7947,9.5215,9.3787,9.3313,9.5775,9.7552
CYBB,13.4251,12.4946,11.432,12.1727,12.7457,7.6703,6.7635,7.3152,7.9293,8.2003
CYBRD1,9.5583,9.2284,9.293,9.4642,9.0566,7.3376,7.3116,7.4261,8.1323,8.136
CYC1,13.4255,13.4054,13.6589,13.5399,13.4708,13.8087,13.7635,13.7088,13.7914,13.7209
CYCS,14.5432,14.5718,14.8612,14.6098,14.6312,14.8643,14.9401,14.9068,14.9059,14.8172
CYCT,6.6924,6.6025,6.0544,5.3455,6.4293,6.4629,5.4908,5.864,6.0507,6.8699
CYFIP1,14.0245,13.6954,14.0176,13.4465,13.7377,13.1312,12.6548,12.9654,12.7098,13.2516
CYFIP2,11.7733,12.1764,12.725,12.8755,12.0302,13.2286,13.7345,13.2127,13.3222,13.0965
CYGB,8.452,9.223,8.948,8.8271,8.5882,8.7691,9.2851,8.8842,9.3556,9.2935
CYHR1,11.1189,11.2145,11.4188,11.535,11.4245,11.6872,11.5092,11.5542,11.6639,11.6848
CYLD,9.8212,9.4468,9.6012,9.5722,9.671,10.0323,10.123,10.1362,10.154,10.7131
CYM,7.5979,6.3958,6.4927,7.5533,6.3365,7.1442,7.3673,6.7384,7.046,6.137
CYP11A1,6.9779,7.1034,6.7538,6.7535,6.9013,6.7861,7.5486,7.417,7.3115,7.1526
CYP11B1,6.3864,8.1354,8.3938,8.3844,7.8117,9.1644,9.8242,9.5544,10.1485,8.394
CYP17A1,1.3074,1.9126,2.6884,1.3029,2.7362,2.0176,2.4238,2.311,2.7528,5.1122
CYP19A1,6.7944,8.1092,6.9444,6.9124,7.4253,7.7008,7.646,7.0721,7.4378,7.1547
CYP1A1,1.8174,2.6703,5.4031,2.4319,2.6135,2.4694,2.6108,3.2178,2.2947,5.8162
CYP1A2,5.8704,6.486,5.9946,3.618,4.4492,4.6132,3.4803,5.8416,4.8409,5.1488
CYP1B1,13.1923,11.7898,11.6353,12.1713,11.8386,8.3182,7.4875,8.4834,8.735,8.3724
CYP20A1,12.3487,11.5966,11.6178,11.5328,11.5676,10.9176,10.8254,10.9832,10.854,10.971
CYP21A1,3.1429,3.3869,5.6093,3.5524,4.3425,4.0669,3.1375,3.4088,5.1807,3.8568
CYP26A1,6.0166,7.3947,6.6183,6.309,6.9295,8.2233,7.4717,7.4883,7.8371,7.8916
CYP26B1,14.6594,12.6332,12.0048,13.202,13.2822,11.6562,11.3445,11.5108,11.2426,12.1767
CYP27A1,10.5674,9.5363,8.9319,9.4795,9.5729,9.4222,9.5136,9.7468,9.3874,8.7603
CYP27B1,7.2065,7.4593,7.9625,7.3111,7.1992,7.1858,8.1098,7.4672,7.2806,7.7341
CYP2A1,5.5826,6.742,3.8506,6.6907,6.1659,6.7602,5.8818,6.3429,5.9082,7.2898
CYP2A2,1.1588,2.1912,3.3779,2.0335,2.6163,1.7893,2.0663,1.7304,1.277,2.2556
CYP2A3,6.0676,5.9757,6.3598,5.555,5.8277,5.9985,6.3474,6.8337,4.8405,7.1476
CYP2B1,5.0721,5.5351,6.2359,6.3776,5.8844,6.2836,6.5893,5.274,6.0378,5.3436
CYP2B12,4.1348,2.8815,2.1237,0.9561,2.6872,2.8288,4.4109,4.4965,3.1073,4.8553
CYP2B21,4.5199,2.5952,4.1764,4.3797,4.2126,2.5224,4.6459,4.9207,5.2064,4.5222
CYP2B3,5.691,6.4956,3.008,3.778,5.1445,4.8769,6.8287,6.759,4.1775,5.8511
CYP2C11,6.3316,7.0202,6.4572,6.3913,6.9157,7.0299,6.8186,7.3544,6.8633,5.7023
CYP2C12,4.9528,3.5232,1.4307,2.4493,4.7331,3.3369,4.1944,2.8007,2.6227,3.2291
CYP2C13,2.5937,5.8644,4.9013,3.1748,5.71,3.803,3.3453,5.7832,5.5068,5.1091
CYP2C22,2.9507,4.886,2.4067,2.6849,3.1489,2.9006,3.3434,2.0881,1.6987,2.426
CYP2C23,6.2515,5.476,6.7024,6.2416,6.0652,5.8335,4.7284,4.4226,6.777,5.6683
CYP2C6V1,0.5121,1.5209,2.9204,3.8442,4.188,4.1946,0.794,2.8171,3.3806,6.3083
CYP2C7,5.6578,7.0127,5.5431,5.8591,6.1321,6.0717,6.3654,6.1008,6.6981,5.9476
CYP2D1,10.3006,9.8713,10.1891,9.4107,9.6793,5.5791,3.3757,6.3917,4.5437,6.7053
CYP2D2,5.3466,3.9828,3.6643,3.1338,5.1293,4.6695,7.3047,3.5344,5.5022,4.6629
CYP2D3,3.1847,4.4707,5.1587,4.3476,5.3733,4.2707,6.7354,4.4431,3.8061,4.2305
CYP2D4,9.9798,10.0663,9.1457,9.7704,10.0116,9.6261,10.0811,9.8437,10.1282,10.5495
CYP2E1,6.2101,7.1768,6.1635,7.2455,6.5371,7.004,6.6152,6.8243,6.8369,7.2517
CYP2F4,3.329,4.4842,5.11,4.1323,6.0029,4.6841,4.304,2.1145,6.1478,5.4882
CYP2G1,6.6013,5.7475,6.5035,6.105,5.8176,5.636,6.2126,5.7683,5.8897,6.2286
CYP2J10,9.1484,9.0917,10.144,9.2772,10.2335,9.2402,9.3575,9.8672,9.4231,8.9927
CYP2J3,8.9589,9.4277,9.4706,9.3276,9.5285,9.2371,9.3207,9.8275,9.5206,9.3465
CYP2J4,9.2391,8.6009,8.9051,9.1255,9.1155,8.2656,7.9119,8.4053,7.9927,8.489
CYP2S1,6.9273,7.346,7.203,7.3711,6.8997,7.1817,6.3283,6.2655,6.9819,6.6723
CYP2T1,7.8131,7.6136,7.0919,7.2239,7.5464,6.4149,6.6488,6.5184,6.7388,6.6127
CYP2U1,10.6881,10.231,10.4792,10.2199,10.4866,9.7117,9.3492,9.6423,9.785,9.5024
CYP39A1,6.3481,5.4259,5.7304,6.9238,6.2963,6.6601,6.7087,6.6391,6.4129,6.3392
CYP3A18,4.246,3.4824,1.6876,5.0527,2.5415,4.5109,3.0268,6.3887,5.0692,5.9711
CYP3A2,4.2512,0.127,2.3773,1.2151,3.9093,2.5353,1.4858,4.4301,1.9372,5.1536
CYP3A23/3A1,7.654,6.6109,7.168,7.2415,7.1238,6.8585,7.0724,6.5011,6.624,6.6715
CYP3A9,9.368,9.6739,9.5988,9.0956,10.0009,9.2165,9.2758,9.424,9.6478,9.1064
CYP46A1,10.0741,11.2498,11.41,11.195,11.4822,12.252,11.8281,12.0364,11.7935,12.302
CYP4A1,4.1087,5.4886,5.7334,5.9278,6.9732,3.1722,5.9561,6.5076,5.2777,5.2971
CYP4A2,1.1352,1.8333,1.1563,1.5733,3.9275,4.0899,1.3254,1.106,1.9878,1.3179
CYP4A3,6.8262,6.5114,7.3564,7.0337,6.993,7.9806,7.7569,8.5578,7.6101,8.2342
CYP4A8,4.8857,6.5103,5.9004,4.1606,5.7609,6.0488,6.0402,5.4567,5.6116,4.2123
CYP4B1,7.4903,7.7822,7.1043,7.0525,7.544,7.5513,6.3982,7.3491,8.2445,7.0594
CYP4F1,8.5912,8.5676,9.4802,8.9449,9.366,9.0389,8.7744,8.8278,8.5854,8.8752
CYP4F17,7.6349,7.9758,8.3424,8.0387,7.8093,8.0872,7.5316,7.1944,7.1928,7.4081
CYP4F4,8.2168,8.1898,8.6258,8.8938,8.6564,8.7661,8.9655,8.8436,9.0861,8.3091
CYP4F5,9.1481,8.3467,8.5006,8.3419,8.7341,7.9628,7.0793,7.6029,7.7488,7.7305
CYP4F6,10.3609,9.0534,9.0958,9.3843,9.6952,8.5618,8.3924,8.1906,8.7843,9.0275
CYP4V3,12.541,11.8151,11.9971,12.0251,11.9197,10.5364,9.8548,9.805,10.3496,9.004
CYP51,11.9261,12.1021,12.23,11.6455,12.374,13.3281,13.2504,13.4096,13.229,13.0666
CYP7A1,6.8376,6.2946,7.1245,6.5928,6.8234,7.2891,6.69,6.3707,6.045,6.6127
CYP7B1,8.1897,8.5512,8.6677,8.5694,8.8293,8.2857,8.0465,8.4574,7.8632,8.1099
CYP8B1,6.4495,5.9176,6.353,6.9446,6.6303,6.6961,6.6183,6.634,6.0532,7.0832
CYR61,9.2355,8.1255,8.9775,9.1871,8.5221,7.5264,8.5039,7.7666,8.0747,8.0731
CYS1,8.1649,9.332,8.435,9.0018,8.4803,9.3918,9.5129,9.1048,9.2848,8.6456
CYSLTR1,5.6269,6.6404,5.5262,4.2629,6.1241,2.155,6.6203,6.6979,6.4439,6.8548
CYSLTR2,4.5565,5.56,2.4838,2.7177,2.3791,4.3091,3.196,5.3378,4.7514,5.7279
CYSRT1,7.6085,7.8556,7.0039,7.3283,7.6644,7.4508,7.7523,7.7806,7.6198,7.6704
CYSS,6.313,3.8773,5.3538,5.3642,6.0565,5.9563,6.3903,5.8541,1.9845,2.5785
CYSTM1,11.9101,11.7622,11.5273,12.0421,11.7329,12.1525,12.0102,12.151,12.1609,12.2487
CYTB,15.6303,15.5905,16.2392,15.7265,15.713,15.5599,15.734,15.6071,15.6888,15.4532
CYTH1,9.7104,9.9218,9.7049,9.9948,9.7712,9.9877,10.0011,9.9499,9.9505,9.8985
CYTH2,11.6169,11.5735,11.6628,11.6306,11.5173,11.7167,11.8782,11.7753,11.9944,11.7816
CYTH3,11.4009,11.0364,11.1517,11.1682,10.8974,11.1648,11.3201,11.2711,11.361,10.8314
CYTIP,9.0479,8.6549,8.0768,7.9174,8.2522,2.5034,4.7757,6.266,6.451,5.414
CYTL1,8.6429,7.1415,7.0348,8.8102,7.957,7.4923,8.1726,6.4433,7.0645,7.6926
CYYR1,11.2243,9.9043,10.4261,9.9993,10.5019,10.3673,10.3213,9.8382,10.1565,10.0736
D2HGDH,7.8298,8.3595,7.8617,7.9428,8.2066,8.2349,8.4458,8.2099,8.1688,8.2267
DAAM1,12.3612,12.5143,12.6656,12.5752,12.6122,13.0871,13.0228,12.9315,13.1409,12.8327
DAAM2,8.5455,9.0478,8.7219,8.7874,8.9417,9.6253,9.4192,9.5053,9.5525,9.1156
DAB1,10.2823,11.0565,11.3056,11.3287,10.9985,12.1039,11.9091,11.7825,11.7606,11.9196
DAB2,14.2821,12.7185,11.8841,13.0698,12.8423,10.0131,10.0794,9.3467,10.3142,10.5502
DAB2IP,9.8285,9.9763,9.1746,9.5758,9.7916,10.3283,10.4718,10.3032,10.0449,10.4871
DACH1,8.8252,8.3133,8.6961,8.5636,8.8084,9.1536,8.2161,8.4652,8.4708,11.0788
DACT1,8.217,8.7037,7.7044,8.2658,8.6025,8.0333,7.6424,8.0322,7.9272,7.9468
DACT2,9.3185,10.919,11.0723,11.3274,10.4633,11.4748,12.1304,11.5632,12.0849,10.9244
DACT3,11.3059,11.9944,12.0808,11.8982,11.6055,12.716,12.7652,12.5325,12.5547,12.6583
DAD1,13.2139,12.8195,12.8945,12.9257,12.91,12.9458,12.7968,13.0212,12.9117,12.9034
DAG1,12.3257,11.6857,11.7919,11.7889,11.911,11.6376,11.5128,11.3932,11.5511,11.7723
DAGLB,11.6752,11.7396,11.7787,10.7507,11.5668,10.4247,10.5184,10.436,10.5878,10.5509
DAK,8.2929,7.9632,7.4706,8.2497,8.3365,7.0794,7.6495,7.8937,7.4786,7.8895
DAO,0.3924,3.0048,0.8434,2.693,1.7575,1.8163,1.3815,0.6898,0.8005,2.5996
DAP,12.1894,11.0571,10.9018,11.1738,11.2092,8.8646,8.7399,8.899,9.0172,9.3075
DAP3,11.0125,10.8348,11.1048,11.1407,10.9629,10.9408,10.9282,10.957,10.8255,11.1521
DAPK1,11.1266,11.4883,11.3542,11.4677,11.2964,11.7534,11.7597,11.7897,11.6965,12.0178
DAPK2,7.7579,6.8273,7.9228,7.2648,8.3233,7.9669,7.3417,8.5222,7.6878,7.4715
DAPK3,11.1738,11.0214,10.9047,11.0194,11.1316,11.2733,11.2061,11.0968,11.1216,11.1482
DAPL1,5.6121,5.6585,6.0774,6.3242,3.4886,6.1636,5.0695,4.1616,4.9573,5.8975
DAPP1,10.0943,10.1563,10.2084,9.3483,9.827,6.6969,7.2848,5.637,6.8752,7.1608
DARS,12.6684,12.463,12.3986,12.4153,12.6992,12.3307,12.0736,12.1867,12.1587,12.381
DARS2,9.4701,9.4625,9.3497,9.4717,9.3137,9.2024,9.3991,9.3313,9.0752,9.4688
DAXX,8.9521,9.8041,9.2768,9.0621,9.8133,9.7933,9.1821,9.8718,9.6331,9.5561
DAZAP1,10.2879,10.2963,10.2436,9.9639,9.9608,10.121,10.1271,10.0155,10.2894,9.7303
DAZAP2,13.974,13.7133,14.1108,13.7849,13.9137,13.5759,13.5812,13.6376,13.6109,13.4994
DBH,6.2592,6.1456,5.6748,5.7854,5.2893,6.7052,6.0771,4.8109,6.5806,6.4738
DBI,14.4406,14.2872,14.5147,14.3492,14.4426,13.91,13.5465,13.9318,13.7895,13.9563
DBIL5,6.7684,6.7442,6.6984,6.8723,7.2708,4.9536,5.0587,6.3851,5.7315,5.6178
DBN1,11.753,11.8348,11.7553,11.8548,11.8315,12.5309,12.4397,12.3679,12.4757,12.6779
DBNDD1,8.7226,9.5986,9.6365,9.6511,9.5794,10.3225,10.4579,10.0146,10.4604,10.2275
DBNDD2,12.1983,12.6318,12.8424,12.6326,12.9364,13.0651,13.0373,13.3266,13.2399,12.9441
DBNL,12.2297,12.2045,12.0579,12.0052,12.2223,11.7239,11.3105,11.3504,11.3683,11.6037
DBP,10.0559,11.3615,11.1718,10.8311,10.7738,11.56,10.5352,11.1375,11.1573,11.8504
DBR1,9.6727,9.4479,9.6213,9.7382,9.0771,9.209,9.5186,9.0797,9.2638,9.3341
DBT,11.5377,11.2684,11.4125,11.3369,11.4379,10.8948,10.9324,10.9541,10.8983,11.0857
DCAF10,8.9373,8.8529,8.6225,8.9785,8.8332,8.6367,8.5994,8.6483,8.815,8.5914
DCAF11,12.3367,12.4323,12.4022,12.0124,12.1876,12.1349,12.0907,12.1435,12.2215,12.0265
DCAF12,10.6899,11.2499,11.2893,11.4286,11.2202,12.2305,11.7607,11.6646,11.7179,12.4483
DCAF13,12.0376,11.4571,11.7361,11.4623,11.4298,11.3522,11.1793,11.3966,11.0849,11.3782
DCAF15,9.3692,9.1892,8.828,9.1826,9.5243,8.9201,9.0641,8.8685,8.8225,9.2831
DCAF17,10.6184,10.5939,10.2445,10.7254,10.6511,10.3467,10.434,10.1479,10.4704,10.4675
DCAF4,9.4672,9.3281,9.2562,9.3855,9.4925,9.4461,8.8479,9.3276,9.3144,9.1279
DCAF5,9.883,9.5042,9.613,9.8859,9.7885,10.3494,9.9504,10.1622,10.2629,10.4783
DCAF6,10.4135,10.6072,10.5186,10.7107,10.379,11.1139,11.2793,10.8995,10.9482,11.481
DCAF7,12.4259,12.6088,12.8673,12.5002,12.5518,12.7239,12.4639,12.3636,12.5701,12.9819
DCAF8,11.6802,11.5272,11.4537,11.5718,11.5356,11.7021,11.7197,11.697,11.7047,11.6995
DCAKD,9.3996,9.4962,9.7517,9.4222,9.7004,9.1776,9.6408,9.2771,9.1837,9.3175
DCBLD2,5.0234,2.6816,2.3031,3.0478,2.7958,4.0312,3.0672,3.3449,2.585,2.1283
DCC,5.1501,5.8799,3.9456,4.2696,2.0217,5.7724,4.4782,3.8274,5.0496,3.9137
DCDC2,9.0142,8.302,7.5943,8.5103,7.9592,8.1181,7.3038,7.6128,7.7649,8.1632
DCHS1,9.4066,9.0834,8.4939,8.8357,9.0173,8.8485,8.7547,8.321,8.2704,8.5731
DCK,10.6518,10.7526,10.9288,11.262,10.82,11.1614,11.3647,11.6766,11.5408,10.7436
DCLK1,12.8033,13.3209,13.7225,13.6223,13.3194,14.0414,14.2889,14.0017,14.1747,14.1129
DCLK2,11.3756,11.5291,11.1089,11.2736,11.4786,11.686,11.5418,11.857,11.591,12.0234
DCLK3,7.6366,8.5905,8.5705,8.9801,8.5733,9.7017,9.8467,9.7565,10.3709,10.1293
DCLRE1A,9.5108,9.8334,9.6002,9.941,9.7423,9.4527,9.8147,9.7401,9.7156,9.6024
DCLRE1B,9.8612,8.9188,8.8177,9.3439,9.2495,9.0239,9.1363,9.1433,9.0744,9.3713
DCLRE1C,7.7989,7.4506,7.8436,7.0852,7.6553,6.6314,7.1084,6.5412,7.2822,6.9288
DCM5,4.328,6.3443,4.6213,3.3442,4.6316,3.777,3.3046,3.0982,4.961,5.9439
DCN,14.2229,13.0312,13.107,13.4543,13.3849,11.6194,9.2381,10.1002,10.4,10.2394
DCP1B,10.4551,10.3725,10.531,10.5564,10.458,10.4748,10.4344,10.6981,10.5608,10.7012
DCPS,9.8072,9.9647,9.9797,10.0046,10.1434,10.161,9.8653,9.6265,9.9589,9.961
DCT,7.3156,7.3306,6.9353,6.6358,7.332,6.2402,6.6853,6.6258,6.4641,7.1248
DCTD,10.6609,10.6443,10.6924,9.8986,10.829,8.1435,8.0694,8.2683,8.2772,8.37
DCTN1,12.2794,12.4087,12.2909,12.5857,12.5162,13.0459,13.0188,13.0227,12.8864,13.097
DCTN2,12.0993,12.0028,11.9344,11.7926,11.8575,12.1886,11.9371,11.8282,11.9068,12.2688
DCTN3,13.0272,13.0806,13.2297,13.31,13.202,13.6358,13.5093,13.5059,13.5166,13.5616
DCTN4,9.4585,8.7746,9.0043,8.7922,8.818,9.0936,9.1033,8.6756,8.6365,8.8337
DCTN5,12.6132,12.4138,12.5018,12.5044,12.4764,12.761,12.5721,12.7151,12.6868,12.8041
DCTN6,12.5642,12.6577,12.8949,12.7448,12.6446,13.0818,12.8339,12.9263,12.9483,13.1089
DCTPP1,10.6894,10.5314,10.5366,10.8449,10.6028,10.48,10.1954,10.402,10.3588,10.4797
DCUN1D1,10.7095,10.7698,10.6333,10.7313,10.584,10.9415,10.9688,11.1206,11.1134,10.8607
DCUN1D2,10.3702,10.6579,10.6653,10.556,10.3971,11.0101,11.1747,11.0664,11.1209,10.8596
DCUN1D4,11.3098,11.5771,11.8198,11.5049,11.6204,12.0285,12.2178,11.924,11.9989,12.1162
DCUN1D5,12.2891,11.8439,11.9493,11.9937,11.9451,12.2437,12.0083,12.1383,11.8758,12.3886
DCX,8.965,9.0625,9.4734,9.6033,9.2404,9.9181,9.7772,9.9037,9.6703,10.2188
DCXR,10.4856,9.987,9.9813,9.9812,10.1577,9.017,9.0637,9.2716,8.9621,8.7656
DDA1,10.5209,10.7177,10.5495,10.4241,11.1088,11.0162,10.8207,10.8636,11.1625,11.1449
DDAH1,10.3034,10.9049,11.0402,10.4339,10.7899,10.9272,10.9651,10.9007,10.9071,11.3216
DDAH2,10.5662,10.1673,9.8306,10.0519,10.0497,9.7983,9.7077,10.1325,10.1857,9.9484
DDB1,12.6627,12.473,12.6085,12.498,12.7057,12.4235,12.2862,12.346,12.4316,12.671
DDB2,8.5884,8.5397,8.1827,8.4522,8.567,7.9226,7.8491,7.9248,8.3134,8.2994
DDC,7.8219,8.2142,8.7383,8.9929,8.8032,9.6448,9.7729,8.3606,8.9316,9.4901
DDC8,5.9143,6.6381,6.386,6.1149,6.5799,6.7007,6.8787,6.3701,6.3523,6.5007
DDHD1,10.8567,11.1099,10.9013,11.2467,11.3309,11.6787,11.4865,11.5057,11.4557,11.3732
DDHD2,12.4018,12.3856,12.3716,12.3302,12.2698,12.53,12.5938,12.6633,12.6188,12.6037
DDI2,10.5571,10.6055,10.3581,10.5441,10.6958,10.9526,11.1669,10.8107,10.9648,11.1046
DDIAS,6.952,6.8565,6.0852,6.8539,6.3375,2.9684,4.2409,5.7463,3.6744,3.426
DDIT3,10.0899,10.4068,10.5871,10.5663,10.5602,10.9188,10.8626,11.1134,10.9968,10.9005
DDIT4,12.9001,11.7082,12.7641,12.0473,11.8421,13.1154,12.494,12.2975,12.1138,12.4609
DDIT4L,8.4548,8.7907,9.1472,8.7173,9.0681,8.8826,9.1457,9.1563,9.4553,8.5767
DDN,12.058,12.683,12.5873,12.5575,12.605,13.3838,13.0753,13.2778,13.1586,13.555
DDOST,12.6047,12.2184,12.2061,11.8979,12.1644,11.771,11.4984,11.5469,11.507,11.6791
DDR1,7.9369,7.872,6.725,7.169,7.7575,7.6622,7.5263,7.7126,7.3475,6.9622
DDR2,11.3182,10.404,9.9284,10.3742,10.7594,9.3287,9.9368,8.9151,9.727,9.2382
DDRGK1,11.4375,11.2375,11.532,11.493,11.6418,11.789,11.4845,11.6874,11.8092,11.6941
DDT,12.9235,12.6206,12.9428,13.0223,12.9654,13.0837,12.8806,13.0241,13.1067,12.8565
DDX1,13.0933,13.105,13.3503,13.2478,13.2172,13.5032,13.5463,13.4513,13.4708,13.5779
DDX10,10.1821,10.0539,10.002,9.8805,9.7838,10.5834,10.3856,10.2771,10.1872,10.22
DDX17,9.0252,9.0161,8.907,8.7663,9.2105,8.9278,8.562,9.0089,8.6965,8.9432
DDX18,10.0754,9.8079,9.879,9.6386,9.8772,9.3798,9.58,9.4522,9.374,9.2981
DDX19A,11.7827,11.4481,11.4417,11.2131,11.6206,10.9517,10.6711,10.6807,10.7734,10.6737
DDX19B,10.0668,9.5682,9.7945,9.5476,9.7362,9.7206,9.7199,9.6944,9.7408,9.9301
DDX20,10.1276,9.5272,9.6278,9.6814,9.9563,9.9778,9.7885,9.7852,10.0376,10.0026
DDX21,12.1364,11.7729,11.8216,11.6751,11.9362,11.4362,11.2212,11.3333,11.2678,11.5547
DDX23,11.6437,11.4715,11.518,11.5098,11.4386,11.469,11.4795,11.532,11.6363,11.5222
DDX24,11.2896,11.7159,11.9215,11.7791,11.6667,12.1467,11.9718,12.0428,12.0532,12.1581
DDX25,9.5049,9.7276,10.293,9.9582,10.0986,10.7673,10.4081,10.3542,10.522,10.6511
DDX26B,11.6013,11.5554,11.962,11.5901,11.6543,11.6571,11.8176,11.76,11.7057,11.6051
DDX27,9.468,9.6355,9.2442,9.3369,9.4184,9.3818,9.3079,8.9664,10.1552,10.1626
DDX28,9.3947,8.9208,9.4334,9.4899,9.6625,9.7643,9.4006,9.7247,9.5076,9.5283
DDX31,8.9557,8.5968,8.8687,8.7821,8.8897,8.7169,8.4557,8.8527,8.8257,8.6143
DDX39A,11.6227,10.6722,10.7696,10.5806,10.8786,9.9682,9.9692,10.1523,9.9295,10.107
DDX39B,11.4854,11.2843,11.3692,11.4538,11.452,11.2333,11.3559,11.3863,11.285,11.525
DDX3X,14.4756,14.1695,14.2958,14.0817,14.5246,13.9211,13.9605,13.8888,14.0877,13.9468
DDX41,9.9456,9.606,9.3399,9.4939,9.1143,8.9467,9.1202,8.9951,8.927,8.6213
DDX42,11.6709,11.6869,11.6944,11.8502,11.569,11.7863,11.6096,11.6637,11.7703,11.91
DDX46,11.4778,10.9919,11.2828,11.0014,11.2037,11.003,11.0117,10.9435,11.0277,11.1733
DDX47,11.6259,11.3377,11.5016,11.4546,11.1726,11.061,11.1482,11.0899,11.1286,11.0943
DDX49,9.7849,9.905,10.1648,9.7381,10.1162,10.013,10.316,10.1286,10.075,10.1567
DDX5,14.5925,14.3317,14.4427,14.4111,14.4457,14.2319,14.3227,14.23,14.1356,14.3377
DDX50,11.644,11.6138,11.6168,11.7541,11.5495,11.8699,11.8902,11.9046,11.7197,12.0293
DDX51,10.6705,10.7613,10.6558,10.8654,10.8752,10.8571,10.9085,10.8503,10.793,10.8467
DDX52,9.7835,9.2751,9.2578,9.1267,9.3479,8.8226,8.6631,9.1459,9.0087,8.891
DDX54,9.4796,9.509,9.2869,9.1978,9.6684,9.0507,8.7705,9.3087,9.0589,9.0227
DDX55,8.6175,8.9149,8.9074,8.6505,8.651,8.3035,8.4649,8.3255,8.2919,8.9382
DDX56,9.5084,9.2213,8.9458,9.3263,9.4993,8.8151,9.3145,9.1641,8.8738,9.3155
DDX58,10.451,10.8643,10.2638,9.873,10.094,9.0892,8.5411,9.7271,8.5775,8.878
DDX59,10.5613,10.1897,10.1167,10.1846,10.2298,9.9146,9.7081,10.0316,9.7284,9.9768
DDX6,12.3271,12.4214,12.5669,12.528,12.5372,12.5989,12.3302,12.2246,12.3488,12.4903
DDX60,11.6281,11.8395,10.7007,11.0805,11.4893,8.0376,6.1549,9.5647,6.7057,7.4775
DEAF1,10.2678,10.2951,9.7518,10.1877,10.0967,10.2377,10.1967,10.2995,10.1936,10.2707
DECR1,12.8382,12.3819,12.6303,12.5998,12.4643,11.6325,11.4825,11.5008,11.5884,11.8081
DECR2,8.8412,8.8907,8.6117,9.4151,9.0942,9.032,9.0333,8.7985,8.973,9.0336
DEDD,10.8106,10.9041,10.8865,10.9075,10.9172,11.0298,11.0328,11.0496,10.8233,10.8827
DEDD2,8.5246,8.5645,8.3387,8.5058,8.6031,9.0236,8.9241,8.7782,8.8374,8.9145
DEF8,11.3048,11.218,11.1929,11.151,11.2799,11.3107,11.1621,11.122,11.2536,11.2142
DEFA24,6.4686,5.1245,4.0971,7.8397,6.6027,7.4545,7.166,7.3957,7.0789,7.2315
DEFA5,5.9575,4.1448,1.3649,4.6509,3.4179,1.9478,3.7858,2.4997,3.4959,3.7011
DEFA7,3.0982,5.6819,2.9379,2.3993,2.2007,3.5801,5.3601,5.1419,1.8928,3.2107
DEFAL1,3.2414,6.3894,5.7205,6.5199,3.8927,6.1316,2.6536,5.5811,5.3363,6.3685
DEFB1,7.6796,8.1801,6.9024,7.1305,7.507,7.8992,5.6819,2.6134,7.1184,7.9145
DEFB22,6.9028,7.494,6.867,7.0213,7.1732,6.7802,6.8397,6.8414,6.9501,6.9809
DEFB24,3.2984,2.4428,2.1835,2.4946,3.9169,4.7791,2.8105,4.4086,3.5432,3.7597
DEFB4,6.0794,3.2254,4.9158,4.6535,3.1926,3.9491,6.1505,5.7257,6.2137,3.2927
DEGS1,13.4454,12.8425,12.8292,12.7485,12.9191,12.612,12.2906,12.4595,12.425,12.7109
DEGS2,7.8727,7.7249,7.016,8.6818,7.7407,7.9989,7.8976,8.0038,8.0025,7.9945
DEK,13.5852,13.2315,13.6127,13.345,13.4643,12.7546,12.8757,12.8834,12.9612,12.862
DENND1A,9.4696,9.7521,9.513,9.8147,9.7291,10.0878,9.7524,9.7751,10.0529,10.0894
DENND1B,11.4004,10.715,10.8288,10.3973,11.0113,10.379,10.3124,10.2563,10.4068,10.2075
DENND1C,9.0138,8.8395,8.4392,8.1819,8.9926,6.7158,7.1358,7.7104,7.2158,7.4542
DENND2A,9.8195,9.3569,8.9269,9.2817,9.4872,9.0496,9.1116,9.3815,9.2965,9.2649
