,GSM1509427,GSM1509428,GSM1509429,GSM1509430,GSM1509431,GSM1509422,GSM1509423,GSM1509424,GSM1509425,GSM1509426
LOC680329,7.004,8.1473,6.5452,6.9818,7.7085,5.0038,5.5248,6.2395,5.1038,3.778
LOC680394,13.1608,12.6788,13.0346,12.8506,12.7593,12.2343,11.9143,12.1194,11.9697,12.3128
LOC680415,6.5766,7.3443,6.7052,7.2347,6.9,8.1587,8.084,7.4081,6.8071,7.7773
LOC680590,6.2544,6.1007,6.3399,5.6276,6.1365,5.5772,6.1788,4.9799,4.7173,5.4834
LOC680656,9.5636,9.9548,9.5306,10.132,9.6639,10.1519,9.9875,10.0403,10.2211,9.9747
LOC680724,8.8311,8.9198,8.6639,8.678,8.848,8.9078,8.2579,8.932,8.7962,8.9289
LOC680728,6.3886,5.5975,4.0954,5.3496,6.3127,5.5234,3.4516,5.0994,3.3206,3.8798
LOC680875,8.4779,8.2172,6.7155,7.9539,8.3413,6.0477,5.0717,6.5171,7.4547,6.4808
LOC680885,6.9224,7.6037,5.7177,7.9681,7.5513,7.4508,6.8818,7.628,7.8206,8.0794
LOC680928,3.4199,2.3039,2.7779,3.7177,2.9976,2.4935,3.3903,2.6078,0.6154,3.8397
LOC681066,6.2119,6.0288,5.4324,4.7856,5.6683,6.2141,5.3853,4.9983,5.9685,6.0273
LOC681186,9.1524,7.2217,7.4945,8.2044,7.9255,7.5924,7.6026,5.2203,7.3419,8.4481
LOC681282,10.8645,10.3502,10.3956,10.6028,10.5203,10.2372,10.0694,10.3193,10.1857,10.2195
LOC681309,8.7032,7.9557,7.7844,7.5034,8.4519,7.9079,7.3168,7.7151,7.4052,7.8231
LOC681367,11.2604,10.521,10.8925,10.8841,10.8056,10.3061,9.953,10.4105,10.1731,10.2914
LOC681383,9.4244,9.105,8.7687,8.8584,8.598,7.2862,6.6226,6.3662,6.1326,6.7601
LOC681410,14.2162,14.1835,14.4373,14.2538,14.2548,14.3098,14.326,14.2137,14.3329,14.3059
LOC681754,14.4615,14.2746,14.5303,14.3484,14.3026,14.4806,14.2776,14.2778,14.3393,14.3092
LOC681943,12.0552,12.1259,12.2267,12.1681,12.0777,12.4877,12.4296,12.3203,12.3638,12.5219
LOC681958,6.8973,7.2431,6.1793,5.939,7.5108,6.2319,7.0491,7.115,7.1701,6.0929
LOC682058,9.8435,9.6502,10.7461,9.4881,9.4637,10.7992,10.5803,9.4237,9.3951,9.1773
LOC682357,10.085,9.7569,10.3247,9.678,9.8867,10.4758,10.6012,10.0766,10.0168,10.6244
LOC682408,3.9631,2.1984,6.0502,3.7188,3.6665,2.668,5.7278,2.8512,5.7422,2.2875
LOC682793,15.1369,14.9721,15.7014,15.1974,15.1648,14.905,15.0995,15.1513,14.7898,14.7318
LOC682914,12.2061,12.0564,11.9511,12.107,11.9378,12.19,12.1013,12.0494,12.0579,12.0627
LOC682988,10.5614,10.5312,10.0507,10.4631,10.1452,9.6665,10.5961,9.8224,10.5832,9.9953
LOC683062,13.4938,13.3997,13.5215,13.4262,13.4742,13.8201,13.6585,13.7109,13.7192,13.847
LOC683071,10.9526,10.5523,10.612,10.4084,10.7788,10.6851,10.6918,10.613,10.7483,10.7608
LOC683077,13.3524,13.7745,13.9682,13.9465,13.7621,14.1863,14.1314,14.0884,13.9929,14.1247
LOC683192,9.0851,8.7112,8.9069,8.7849,8.9145,8.5374,8.5713,8.4066,8.2046,8.1656
LOC683313,6.007,5.8334,5.3994,6.5989,6.274,6.0778,6.916,5.6462,6.1867,6.5608
LOC683404,6.2376,6.2132,5.7076,6.3065,6.8102,6.0843,6.6465,6.6081,6.6346,6.6849
LOC683508,10.9797,11.2354,11.389,11.3307,11.107,11.9196,11.9534,11.9048,11.814,11.9343
LOC683573,13.0954,12.222,12.6838,12.1878,12.377,13.6675,13.1705,13.4204,13.3646,13.2893
LOC683605,7.7479,7.2587,7.125,7.4692,7.4255,7.1335,7.4759,6.7177,6.463,7.7684
LOC683674,10.0969,9.8341,9.9792,9.9686,10.2371,10.1463,10.3242,10.4423,10.1587,10.4364
LOC683722,8.4561,8.2959,7.5506,8.2629,7.9233,7.5863,8.004,7.5862,7.6526,7.416
LOC683884,13.2081,13.1693,13.4875,13.2635,13.2556,13.5839,13.6241,13.5717,13.5889,13.5046
LOC683897,10.808,10.7502,10.9961,10.9548,10.7289,11.3174,11.1012,11.1123,11.2042,11.1404
LOC683955,11.1549,10.7292,11.0171,10.68,10.7206,10.5073,10.5513,10.3201,10.312,10.4647
LOC683961,15.1742,14.7793,15.3028,14.8739,14.9899,14.4303,14.4347,14.5358,14.3843,14.3301
LOC684122,9.8177,8.5844,8.4887,8.8599,9.2504,7.372,6.5883,7.7214,7.6704,7.624
LOC684173,8.0309,7.4756,7.9345,7.5892,7.7014,6.9603,7.428,7.3171,5.9121,7.6
LOC684193,10.66,10.7922,10.6783,10.594,10.6192,10.0129,9.6168,9.9647,9.7223,9.981
