,ferroptosis,senescence,shared,dataset,sample,group,idsp_index
GSM922952,0.34026703595317725,0.05388894183928496,0.521171136555752,GSE37587,GSM922952,case,-2.265751708036311
GSM922953,0.2601902173913043,0.06314599483204135,0.40494889725658956,GSE37587,GSM922953,case,-1.4341362887609481
GSM922954,0.299652487458194,0.07701767484220783,0.48548374702220853,GSE37587,GSM922954,case,-0.18796183164861857
GSM1509422,0.31786684782608693,-0.003733002922861863,0.540121417044494,GSE61616,GSM1509422,control,-2.2162180353414254
GSM1509423,0.3106448578595318,-0.013550006354047529,0.5348190271267195,GSE61616,GSM1509423,control,-2.4787026308870934
GSM1509424,0.290003135451505,-0.019771677892150633,0.505187120571736,GSE61616,GSM1509424,control,-4.867964808244338
GSM1509425,0.3235263377926421,-0.02978459778879146,0.49607315761161913,GSE61616,GSM1509425,control,-2.9127790979545254
GSM1509426,0.2987745610367893,-0.0035609141356377346,0.5305310074540843,GSE61616,GSM1509426,control,-3.3503236294336567
GSM1509427,0.33351797658862875,0.15372294234760875,0.4995466072389149,GSE61616,GSM1509427,case,1.9937998586411854
GSM1509428,0.3147810409698997,0.11766637014444868,0.5534619226926919,GSE61616,GSM1509428,case,-0.5808658214520495
GSM1509429,0.31559887123745817,0.14857881136950904,0.5350188273265196,GSE61616,GSM1509429,case,-0.43936397785129755
GSM1509430,0.327213106187291,0.11587135171771085,0.4610773841543072,GSE61616,GSM1509430,case,0.9817334448018067
GSM1509431,0.32709291387959866,0.15394798153090186,0.5629754860524091,GSE61616,GSM1509431,case,1.5493472362053629
GSM1509432,0.32127926421404684,0.09515450925572923,0.5251978790440329,GSE61616,GSM1509432,unknown,0.42781166482746646
GSM1509433,0.32775397157190633,0.14565859702630576,0.46050872204718357,GSE61616,GSM1509433,unknown,1.6637241257612443
GSM1509434,0.3197977633779264,0.14683409581903673,0.44901252593560287,GSE61616,GSM1509434,unknown,0.28713270798390833
GSM1509435,0.3163931856187291,0.03507037107637565,0.5601936525013448,GSE61616,GSM1509435,unknown,-1.1787030745498706
GSM1509436,0.3278297449832776,0.14520851865971957,0.4859448244063629,GSE61616,GSM1509436,unknown,1.6768345202162727
GSM2571735,0.36828229515050165,0.1434995446265938,0.5383846922308461,GSE97537,GSM2571735,case,1.8568304609443658
GSM2571736,0.360213733277592,0.111984792646249,0.5252747252747253,GSE97537,GSM2571736,case,0.9370995603761424
GSM2571737,0.3360916596989967,0.15465751683822596,0.5466226081610697,GSE97537,GSM2571737,case,1.1106944711930344
GSM2571738,0.29859165969899665,0.0855268034904901,0.5194036732498271,GSE97537,GSM2571738,case,-0.7793188141221441
GSM2571739,0.3536475752508361,0.1498363832761469,0.545116422039499,GSE97537,GSM2571739,case,1.9955188346289778
GSM2571740,0.3507133152173913,0.1726977167789215,0.5574118189502805,GSE97537,GSM2571740,case,1.8476310894081758
GSM2571741,0.3334317516722408,0.10526935866480282,0.52381464689157,GSE97537,GSM2571741,case,0.741115401994885
GSM2571742,0.2729044732441472,5.5597915872410725e-05,0.5198032736494275,GSE97537,GSM2571742,control,-2.3294576104830824
GSM2571743,0.27231135033444814,0.00734024865505994,0.5163451932682702,GSE97537,GSM2571743,control,-2.116861351154862
GSM2571744,0.27452184364548493,0.004942919473037658,0.5156689464381772,GSE97537,GSM2571744,control,-2.186825339096605
GSM2571745,0.27760242474916386,0.00236423518447918,0.5200799200799201,GSE97537,GSM2571745,control,-2.262082019665635
GSM2571746,0.27033862876254183,0.020323685771169567,0.5219549681088143,GSE97537,GSM2571746,control,-2.203281582664019
S1,0.4215213595100623,0.0951957767269634,0.0744893513938254,GSE104036,S1,control,-1.253153304272335
S2,0.41088888172087895,0.08077159798844104,0.05368884328981064,GSE104036,S2,control,-1.915961984777712
S3,0.4072464785570037,0.08707481631597822,0.057023275886637435,GSE104036,S3,control,-2.143022551729736
C1_3hr,0.4198902156031975,0.08398809077034702,0.06669272328280793,GSE104036,C1_3hr,unknown,-1.672108525877857
C2_3hr,0.4157582795258235,0.08944898963363274,0.08852328199365685,GSE104036,C2_3hr,unknown,-1.612412878168295
C3_3hr,0.4130822927596564,0.08447513489621122,0.04338019452892488,GSE104036,C3_3hr,unknown,-1.7792288633695477
C1_6hr,0.4193602045159727,0.09138615760547758,0.08581990806900118,GSE104036,C1_6hr,unknown,-1.3878756444833222
C2_6hr,0.41282677428801107,0.08661112362080613,0.0494668572056722,GSE104036,C2_6hr,unknown,-1.7951574046177878
C3_6hr,0.4168024899136613,0.08948368318780388,0.06674157943807278,GSE104036,C3_6hr,unknown,-1.5473187652949174
C1_12hr,0.40768414881041604,0.08700242688083265,0.040322613478598966,GSE104036,C1_12hr,unknown,-2.115739010779779
C2_12hr,0.4157336131387092,0.087722318129884,0.08095057792760332,GSE104036,C2_12hr,unknown,-1.6139505343779033
C3_12hr,0.42135059221465576,0.09836756819868732,0.083881947243495,GSE104036,C3_12hr,unknown,-1.2637986164926938
C1_24hr,0.42099071595137305,0.08120660178304853,0.07019000973051759,GSE104036,C1_24hr,unknown,-1.81822507750598
C2_24hr,0.4126281782481679,0.08132269175277507,0.0572879133943221,GSE104036,C2_24hr,unknown,-1.8121266654207577
C3_24hr,0.43317970601461386,0.09829417798794066,0.12409056302647596,GSE104036,C3_24hr,unknown,-0.9205843814101109
I1_3hr,0.43613461269661163,0.11645425204533513,0.07428171273394973,GSE104036,I1_3hr,case,-0.34219056778570806
I2_3hr,0.44447248401270256,0.1258111703236675,0.07071114205334278,GSE104036,I2_3hr,case,0.17757665814388615
I3_3hr,0.454295398327366,0.13911047728656376,0.11277629173638846,GSE104036,I3_3hr,case,0.789918673308303
I1_6hr,0.4689718986603622,0.12460990601049146,0.12296687145538415,GSE104036,I1_6hr,case,0.4618275029429868
I2_6hr,0.48080227740324927,0.13791388325952614,0.11973829386163122,GSE104036,I2_6hr,case,1.1607090327440406
I3_6hr,0.45914961681716326,0.14631406006321565,0.10765046677985009,GSE104036,I3_6hr,case,1.0925215299425757
I1_12hr,0.4912095953510818,0.14136655908328954,0.11765783591660255,GSE104036,I1_12hr,case,1.3420842197614393
I2_12hr,0.46781763823770683,0.11918103196644066,0.11006070377291659,GSE104036,I2_12hr,case,0.17663911709553215
I3_12hr,0.479483574399832,0.18028105114797302,0.14239126451943865,GSE104036,I3_12hr,case,2.360102225811224
I1_24hr,0.49475965768114455,0.21859474426013495,0.23070283650694776,GSE104036,I1_24hr,case,3.312384544545762
I2_24hr,0.5013335660828323,0.1950141359553654,0.17715649033665962,GSE104036,I2_24hr,case,3.722189637947282
I3_24hr,0.49647049299253243,0.16009740882517284,0.14695117234415905,GSE104036,I3_24hr,case,2.3260489903739963
