dataset,gene,mean_case,mean_control,log2FC,pvalue,padj
GSE16561,ACSL4,1110.5617496491031,318.28534871498897,1.7996698378918576,4.997279713887976e-127,3.141147248729585e-126
GSE16561,CD74,1203.9398628922838,5266.61944792094,-2.128189978729457,7.373031784171664e-126,4.4746675655662517e-125
GSE16561,MNT,378.47876110532883,619.3052633746214,-0.7089592241456549,4.758940188172347e-122,2.7919115770611104e-121
GSE16561,TIMP2,979.931872681329,1916.2517457449019,-0.96681493575967,4.955570061700129e-122,2.8134849382555567e-121
GSE16561,TFRC,700.5264103346294,233.11936529845443,1.5832531453303202,2.3864027419354147e-119,1.312521508064478e-118
GSE16561,ATF4,3626.2797175634573,6259.489135299646,-0.7873873771001011,2.123849603347749e-117,1.1327197884521328e-116
GSE16561,HDAC1,958.1392500039938,2181.0352084521605,-1.185862191314079,6.814688819459796e-116,3.527603624190953e-115
GSE16561,JAK2,410.4437458821885,181.6741016885641,1.1714230806867805,2.9545883623288453e-115,1.485735862199648e-114
GSE16561,HIF1A,904.4389397653108,-41.311500485895934,8.822473542967806,4.635744139021782e-115,2.266363801299538e-114
GSE16561,FBXL5,2592.6582646214592,1393.106915686302,0.8956471979974769,1.4150260285158403e-114,6.730934622129402e-114
GSE16561,FOXO4,355.2072278725399,1257.1550192875009,-1.8205209940624099,1.565998478034304e-113,7.253045582474671e-113
GSE16561,SQSTM1,1127.2427428988765,2198.2623863220465,-0.9629422385191387,5.770942057247894e-113,2.6043225694246907e-112
GSE16561,IL1B,586.2962005180849,1326.4345192819483,-1.1764804868679215,2.1397507875812263e-112,9.414903465357396e-112
GSE16561,EIF2A,541.1946922368728,188.84001011560235,1.5140269076011805,5.42345496146526e-112,2.3281172517509412e-111
GSE16561,TFAM,487.83801078551886,252.53296927806085,0.9471831031297898,6.918333943345003e-112,2.8991113667350488e-111
GSE16561,E2F2,407.8727039796459,3521.110489070376,-3.106716509407971,1.1480579024848399e-110,4.699027693891438e-110
GSE16561,DDIT3,343.6274189510754,190.20739215858293,0.8498991889976907,3.944325821157649e-110,1.5777303284630596e-109
GSE16561,STAT3,1411.9493607938164,2462.095878249364,-0.8017630258218074,2.5200143412798805e-109,9.856056090339089e-109
GSE16561,VDAC3,1914.5163909619434,2992.408622850733,-0.6440558601598345,6.4632071628045885e-109,2.4728792622904512e-108
GSE16561,PRKDC,787.8660286123888,48.63178733596595,3.9904439964043354,1.7254121584966573e-108,6.461117870115142e-108
GSE16561,CREB1,4078.070903645501,1714.067309197352,1.249975387472852,2.4032470315994305e-108,8.811905782531247e-108
GSE16561,CDK4,252.77073032096885,431.48313160311204,-0.7691181838778944,5.156853489077458e-108,1.8522575797502708e-107
