dataset,gene,mean_case,mean_control,log2FC,pvalue,padj
GSE97537,TRIO,101.20338293406347,132.7695529621608,-0.38830683392141174,2.0842970228687476e-12,2.6458148636137264e-12
GSE97537,ASNS,381.5385366601996,322.6697660138054,0.24108248147235223,2.1018032295852278e-12,2.6677513175601544e-12
GSE97537,LUZP1,198.30234167043506,253.79703496262104,-0.35438982826474374,2.1865254942272505e-12,2.7749891079469317e-12
GSE97537,SMU1,144.83692062205716,181.23837006289804,-0.3214707447794809,2.2285844446975803e-12,2.828064345693286e-12
GSE97537,SRA1,242.16014566556004,181.03600956917327,0.41768292185358985,2.233020089151317e-12,2.833389506605309e-12
GSE97537,DHX9,150.0095907828125,214.1435257483842,-0.5106592467505683,2.257891690759787e-12,2.864641113284757e-12
GSE97537,AMPD3,142.15822065962772,115.23398155024688,0.3005786083732667,2.302459144568485e-12,2.920871944593468e-12
GSE97537,GLTP,2129.927571295149,2233.3707354476355,-0.06838702545153263,2.308130436377829e-12,2.927752811692541e-12
GSE97537,RNFT2,103.28969669569726,152.48889458638723,-0.5575376419700858,2.3114267773992084e-12,2.931620016193662e-12
GSE97537,PRADC1,122.24515179652313,166.64207090872267,-0.44385335337939036,2.332201124496041e-12,2.9576516563304724e-12
GSE97537,ARPP19,401.4496929954742,599.2505010427628,-0.5767562479313648,2.343077275838475e-12,2.9711263678735684e-12
GSE97537,ARL11,179.20213389181376,93.53790462272724,0.9306513014789023,2.3601215012489687e-12,2.9924187489334015e-12
GSE97537,TMEM42,253.73971327029116,307.59945267536347,-0.27671161356584445,2.3889535614526846e-12,3.0286508695033446e-12
GSE97537,TMEM80,247.4322139168921,174.3180539827951,0.5028776880222984,2.407880929106038e-12,3.0523196747184022e-12
GSE97537,HNRNPF,147.04192490790265,106.79173657951337,0.4577592155351025,2.4293646731111637e-12,3.0792236238823905e-12
GSE97537,DYNC1I2,301.8463532961397,410.2879148450014,-0.44156264138236245,2.4451685261638396e-12,3.09892331352949e-12
GSE97537,COQ6,251.60483314830188,194.43707730076935,0.3701780489822087,2.513330054574156e-12,3.1849680197145315e-12
GSE97537,PSMD9,140.4405792922388,111.05761295891463,0.3359554227901137,2.539101667297136e-12,3.217282273137013e-12
GSE97537,FAM53B,135.66712827093696,102.86452224938554,0.39596333515442084,2.5398507540668153e-12,3.217887093826788e-12
GSE97537,SASS6,122.89630275626094,86.9893212142563,0.49373278859758085,2.569465229699069e-12,3.2550591403516288e-12
