dataset,cell_type,metric,rho,p_value,significant_bonf,n_samples
GSE37587,Macrophage_M1,ferroptosis,-0.24388521478011313,0.04504674914037902,False,68
GSE37587,Macrophage_M1,senescence,0.20189334656640073,0.09873060104530926,False,68
GSE37587,Macrophage_M1,idsp_index,-0.029087300072527387,0.8138495092814149,False,68
GSE37587,Macrophage_M2,ferroptosis,0.1994713084729193,0.10292800161993076,False,68
GSE37587,Macrophage_M2,senescence,0.0581364278352483,0.6377008610932964,False,68
GSE37587,Macrophage_M2,idsp_index,0.22960644348589532,0.05962872305277449,False,68
GSE37587,Neutrophil,ferroptosis,0.1506293719709386,0.2201600057378125,False,68
GSE37587,Neutrophil,senescence,0.14738328816276672,0.23037861715535338,False,68
GSE37587,Neutrophil,idsp_index,0.13398480742069702,0.276020092800046,False,68
GSE37587,Tcell_CD8,ferroptosis,-0.3643772605546361,0.002252207808438346,False,68
GSE37587,Tcell_CD8,senescence,0.18899110585181508,0.12270631349129894,False,68
GSE37587,Tcell_CD8,idsp_index,-0.08623124785280757,0.48442593876501305,False,68
GSE37587,Tcell_CD4,ferroptosis,-0.43711529103882857,0.00019371687255704002,True,68
GSE37587,Tcell_CD4,senescence,0.11883040042752986,0.3344653294708767,False,68
GSE37587,Tcell_CD4,idsp_index,-0.13692407527579492,0.26552585405505275,False,68
GSE37587,Treg,ferroptosis,0.08577399868694856,0.486754277601284,False,68
GSE37587,Treg,senescence,-0.00855059739664847,0.9448272157299564,False,68
GSE37587,Treg,idsp_index,-0.04137878383020956,0.7375982252069739,False,68
GSE37587,NK_cell,ferroptosis,-0.07451305982951649,0.5459107443156699,False,68
GSE37587,NK_cell,senescence,0.09775928541436042,0.42771940201994263,False,68
GSE37587,NK_cell,idsp_index,-0.003740886361033706,0.9758466859304163,False,68
GSE37587,B_cell,ferroptosis,-0.16175670646904516,0.1875546047397887,False,68
GSE37587,B_cell,senescence,0.15509409474367294,0.20663050634753866,False,68
GSE37587,B_cell,idsp_index,-0.1137916555330763,0.3555076560592655,False,68
GSE37587,Plasma_cell,ferroptosis,-0.22647847539370972,0.06328614897999314,False,68
GSE37587,Plasma_cell,senescence,0.3942436156811849,0.00087919496015846,True,68
GSE37587,Plasma_cell,idsp_index,0.10081307019887772,0.4133570912704678,False,68
GSE37587,Dendritic_cell,ferroptosis,-0.036283126725387006,0.7689504950642573,False,68
GSE37587,Dendritic_cell,senescence,-0.1997175249074321,0.10249507963992384,False,68
