gene,n_datasets,mean_normalized_rank,rank_cv,ks_statistic,rra_pvalue,rra_padj,significant
ATG7,5,0.38348623853211006,0.8201451024382937,0.4256880733944954,0.245684492437224,0.6621579965781049,False
TGFB1,5,0.6614678899082569,0.26755798212875503,0.42385321100917434,0.24990491124838277,0.6621579965781049,False
CD38,5,0.5651376146788991,0.2117495529290122,0.42201834862385323,0.2541699729222121,0.6621579965781049,False
SLC7A11,5,0.5504587155963303,0.24386927281231255,0.42201834862385323,0.2541699729222121,0.6621579965781049,False
ICAM1,5,0.7192660550458716,0.2770060488572288,0.4211009174311926,0.2563192244818471,0.6621579965781049,False
MMP10,5,0.49266055045871565,0.1335858952284882,0.4174311926605505,0.26502748388101294,0.6687321395602304,False
SNAI1,5,0.5422018348623853,0.1290179190570091,0.41743119266055045,0.26502748388101294,0.6687321395602304,False
RELA,5,0.6321100917431192,0.20681002183487604,0.41284403669724773,0.2761623033586629,0.6865643476603304,False
TERF2,5,0.35045871559633024,0.74759191453272,0.41192660550458715,0.27842240826778375,0.6865643476603304,False
CSF3,5,0.5660550458715596,0.2130278742381683,0.40825688073394495,0.28757281662338186,0.6912709935738561,False
SESN2,5,0.634862385321101,0.28198081706961114,0.40825688073394495,0.28757281662338186,0.6912709935738561,False
ATF3,5,0.726605504587156,0.32202168326548075,0.4073394495412844,0.2898878360148429,0.6912709935738561,False
BAP1,5,0.3275229357798165,0.7100495021941283,0.4055045871559633,0.2945506558580617,0.6947553513173848,False
RGS4,5,0.3055045871559633,0.778965318318701,0.3990825688073395,0.31121929155774875,0.7240825519097228,False
AURKA,5,0.5467889908256881,0.2532612384440094,0.3944954128440367,0.3236682374895994,0.7240825519097228,False
COL3A1,5,0.6807339449541285,0.2631520250918958,0.3944954128440367,0.3236682374895994,0.7240825519097228,False
TERF1,5,0.3559633027522936,0.466459245664306,0.39449541284403666,0.3236682374895996,0.7240825519097228,False
IGFBP5,5,0.40825688073394495,0.37400712307983086,0.39449541284403666,0.3236682374895996,0.7240825519097228,False
CXCL2,5,0.6036697247706421,0.29420545540805393,0.38990825688073394,0.33668576929145044,0.7291096790007888,False
MDM4,5,0.5944954128440367,0.23187209840693032,0.38990825688073394,0.33668576929145044,0.7291096790007888,False
TLR4,5,0.655045871559633,0.42677807168960874,0.3889908256880734,0.339355196216957,0.7291096790007888,False
LPIN2,5,0.3467889908256881,0.8215808547654538,0.38899082568807336,0.339355196216957,0.7291096790007888,False
CCNB1,5,0.5752293577981651,0.25591004997674266,0.3853211009174312,0.35024548425465296,0.7451300988554872,False
ZEB1,5,0.38990825688073394,0.3383657037590861,0.3825688073394496,0.3586302902940718,0.7555609028525591,False
SOD1,5,0.3743119266055046,0.8634480758986179,0.37981651376146786,0.36719452130609764,0.7661654915713768,False
CCNA2,5,0.6458715596330276,0.2673097700632477,0.3761467889908257,0.37888207022985554,0.7724297832608708,False
AURKB,5,0.581651376146789,0.25045610157107756,0.3761467889908257,0.37888207022985554,0.7724297832608708,False
PNPLA2,3,0.6896024464831805,0.2555763021445306,0.47859327217125386,0.3849976418374498,0.7724297832608708,False
MDM2,5,0.5926605504587157,0.22831636638374686,0.37339449541284403,0.38784114122516966,0.7724297832608708,False
VCAM1,3,0.32721712538226294,0.6664737543674372,0.47706422018348627,0.3888095684858536,0.7724297832608708,False
BLM,5,0.47889908256880737,0.27291959875051247,0.37155963302752293,0.39390247021154057,0.7724297832608708,False
MMP1,2,0.5871559633027523,0.05468749999990682,0.555045871559633,0.3959683528322532,0.7724297832608708,False
IL6,5,0.6642201834862386,0.3149474154277301,0.3688073394495413,0.40312267959061665,0.7724297832608708,False
GABARAP,5,0.6183486238532111,0.25776770184509046,0.3688073394495413,0.40312267959061665,0.7724297832608708,False
MCM4,5,0.5477064220183487,0.22010075746511465,0.3669724770642202,0.40935218928571493,0.7724297832608708,False
MMP3,5,0.5889908256880734,0.3543947469812188,0.3669724770642202,0.40935218928571493,0.7724297832608708,False
MMP9,5,0.6284403669724771,0.5260946056789966,0.36422018348623847,0.41881570694528936,0.7786362683447354,False
FOS,3,0.6681957186544342,0.4503185980483738,0.4648318042813456,0.4198177115038435,0.7786362683447354,False
FTH1,3,0.4831804281345566,0.08068068850604798,0.463302752293578,0.42375395969253715,0.7792763496040725,False
CDKN1A,5,0.6229357798165137,0.41583856737959596,0.36146788990825685,0.4284165060963463,0.7799267707197087,False
S100A8,5,0.5788990825688074,0.502739499494159,0.35963302752293574,0.4348900426593768,0.7799267707197087,False
BUB1,5,0.6247706422018349,0.34501514669623873,0.35963302752293574,0.4348900426593768,0.7799267707197087,False
CCL3,5,0.6155963302752294,0.5138317287155484,0.3568807339449541,0.44470491138952184,0.7845606973294816,False
SLC40A1,5,0.37247706422018345,0.9045614707080838,0.3568807339449541,0.44470491138952184,0.7845606973294816,False
IL1A,5,0.591743119266055,0.29273190059639226,0.3532110091743119,0.45797610989590865,0.7963659000205489,False
IGFBP7,5,0.5605504587155963,0.40947287948389716,0.3504587155963303,0.4680592259306179,0.7963659000205489,False
FOXO3,5,0.336697247706422,0.9105710965503367,0.3504587155963303,0.4680592259306179,0.7963659000205489,False
ABCC1,3,0.40978593272171254,0.2526866112432194,0.44495412844036697,0.47189239262853044,0.7963659000205489,False
XRCC5,5,0.5614678899082569,0.3105692953221362,0.3486238532110092,0.4748392634568356,0.7963659000205489,False
GCLC,5,0.4596330275229358,0.3292747770431617,0.3486238532110092,0.4748392634568356,0.7963659000205489,False
MCM6,5,0.5577981651376146,0.48201173212092474,0.34770642201834856,0.47824590304901693,0.7963659000205489,False
E2F1,5,0.41100917431192663,0.5693758470711717,0.34403669724770647,0.4919772609383022,0.7963659000205489,False
ATF2,5,0.37339449541284403,0.6229652084850608,0.34403669724770647,0.4919772609383022,0.7963659000205489,False
CHEK1,5,0.5110091743119266,0.3407160118995547,0.3440366972477064,0.4919772609383022,0.7963659000205489,False
MMP2,5,0.49908256880733937,0.36674521741630245,0.3440366972477064,0.4919772609383022,0.7963659000205489,False
ATF4,5,0.6027522935779817,0.46250896889563936,0.34311926605504584,0.49543500692522624,0.7963659000205489,False
CDK6,3,0.5596330275229358,0.6841193972074772,0.4327217125382263,0.5047671605123216,0.8006521910537936,False
COL1A1,5,0.5568807339449541,0.32736547808796657,0.3394495412844037,0.5093578112532998,0.8006521910537936,False
TERT,5,0.4045871559633028,0.3896269679580991,0.33944954128440363,0.5093578112532999,0.8006521910537936,False
CREB1,5,0.38807339449541284,0.7809509379847688,0.3385321100917431,0.5128601592464392,0.8006521910537936,False
MAP1LC3B,3,0.39143730886850153,0.7868355021341574,0.4281345565749235,0.5172240244126667,0.8016972378396334,False
JAK2,5,0.5908256880733945,0.480699798827411,0.3339449541284404,0.5304886243725802,0.8101175736565032,False
CDKN1B,5,0.43119266055045874,0.5322977345660295,0.3321100917431193,0.5375895419656058,0.8101175736565032,False
SLC3A2,5,0.5743119266055046,0.2514338430510427,0.3321100917431193,0.5375895419656058,0.8101175736565032,False
FN1,5,0.6146788990825688,0.29136989112610157,0.3321100917431193,0.5375895419656058,0.8101175736565032,False
BRCA1,5,0.4422018348623853,0.3523063493291179,0.32752293577981656,0.5554470328835771,0.8212506993031292,False
HSPA5,5,0.555045871559633,0.2730526483800926,0.3256880733944954,0.5626264868975233,0.8212506993031292,False
TOP2A,5,0.5339449541284403,0.5854191688548733,0.3247706422018348,0.566222951648132,0.8212506993031292,False
XRCC6,5,0.3825688073394496,0.7635771779422171,0.3229357798165138,0.5734280088515471,0.8212506993031292,False
NCOA4,5,0.618348623853211,0.4248974262345968,0.3229357798165137,0.5734280088515475,0.8212506993031292,False
CHEK2,5,0.48165137614678893,0.3763049855852069,0.3211009174311926,0.5806474354052448,0.8212506993031292,False
FOXO1,5,0.43761467889908257,0.43399770968887597,0.3211009174311926,0.5806474354052448,0.8212506993031292,False
MCM2,5,0.6045871559633027,0.3019459958765987,0.3201834862385321,0.5842618606738291,0.8212506993031292,False
TNF,5,0.4422018348623854,0.7047104325790414,0.3201834862385321,0.5842618606738291,0.8212506993031292,False
RFC2,5,0.363302752293578,0.5615153241338275,0.31834862385321105,0.5914987796102196,0.8212506993031292,False
CD8A,5,0.5532110091743119,0.6256843924381886,0.31743119266055053,0.5951207302282198,0.8212506993031292,False
RFC4,5,0.41192660550458715,0.5698861416387342,0.3165137614678899,0.5987446458219445,0.8212506993031292,False
GADD45B,5,0.6146788990825688,0.4772153203927196,0.3155963302752294,0.6023702542487953,0.8212506993031292,False
HMGA1,5,0.5486238532110093,0.46779722233776566,0.3155963302752294,0.6023702542487953,0.8212506993031292,False
RPA1,5,0.381651376146789,0.7615071987541272,0.3155963302752293,0.6023702542487954,0.8212506993031292,False
LIG1,5,0.38073394495412843,0.652206856979875,0.3119266055045872,0.616884165835991,0.8212506993031292,False
TFAM,5,0.4477064220183486,0.48103826222820767,0.3119266055045872,0.616884165835991,0.8212506993031292,False
PPARGC1A,5,0.381651376146789,0.6038584026179401,0.3119266055045872,0.616884165835991,0.8212506993031292,False
RFC3,5,0.4935779816513762,0.27296220941160604,0.3119266055045872,0.616884165835991,0.8212506993031292,False
CDK4,5,0.5403669724770642,0.527612182900896,0.30917431192660544,0.6277740085612912,0.8306521942548792,False
STEAP3,5,0.4128440366972478,0.5345818719114904,0.30733944954128445,0.6350319027505738,0.8314178353004645,False
FTL,2,0.6559633027522935,0.4685314685307543,0.463302752293578,0.6360154869118761,0.8314178353004645,False
CDKN2A,5,0.453211009174312,0.4576600306980388,0.30458715596330277,0.6459102673215503,0.8343007619570026,False
CBS,5,0.5550458715596329,0.5518532771281517,0.3045871559633027,0.6459102673215504,0.8343007619570026,False
CDC20,5,0.5688073394495413,0.34233847220570657,0.30275229357798167,0.6531536624795857,0.8381878257784692,False
E2F3,3,0.5688073394495413,0.6722472807824484,0.37767584097859325,0.6566448404716119,0.8381878257784692,False
ABCC2,5,0.40825688073394495,0.6364749532490693,0.2981651376146789,0.6712149051700952,0.8464458768943861,False
