source,target,ligand_complex,receptor_complex,lr_means_mcao,cellphone_pvals_mcao,expr_prod_mcao,scaled_weight_mcao,lr_logfc_mcao,spec_weight_mcao,lrscore_mcao,specificity_rank_mcao,magnitude_rank_mcao,lr_means_sham,cellphone_pvals_sham,expr_prod_sham,scaled_weight_sham,lr_logfc_sham,spec_weight_sham,lrscore_sham,specificity_rank_sham,magnitude_rank_sham,magnitude_rank_diff
Endothelial,Astrocyte,CCL4,CCR1,1.5566708,1.0,1.8700328,0.12674105689370377,-inf,0.03296593,0.6941615,0.27904669254982345,0.09284389378834135,0.15270975,1.0,0.02328903,-0.6721687244068747,-inf,0.00028444445,0.24551065,1.0,1.0,-0.9071561062116587
Microglia,Endothelial,CXCL2,ACKR1,1.5298891,0.016,2.2027225,0.046872635102782174,59.48508298456969,0.13964774,0.711261,0.0007813695188026217,0.09511822665235736,0.15270975,1.0,0.02328903,-0.6721687244068747,-inf,0.00028444445,0.24551065,1.0,1.0,-0.9048817733476426
Astrocyte,Microglia,CCL7,CCR5,1.5251105,0.0,1.9325393,0.375425114708832,50.004785232814314,0.17761682,0.69764036,4.252623927120245e-05,0.09588193162152825,0.15270975,1.0,0.02328903,-0.6721687244068747,-inf,0.00028444445,0.24551065,1.0,1.0,-0.9041180683784718
Astrocyte,Astrocyte,CCL7,CCR2,1.4950135,0.0,1.8029814,0.32675896332248716,55.01367790982216,0.23927179,0.69027174,4.252623927120245e-05,0.09664843043693314,0.15270975,1.0,0.02328903,-0.6721687244068747,-inf,0.00028444445,0.24551065,1.0,1.0,-0.9033515695630668
Astrocyte,Astrocyte,CCL7,CCR1,1.4826235,0.0,1.7496462,0.27041457299917293,42.61787575430306,0.16481395,0.68705267,5.660388819753085e-05,0.09741773285779384,0.15270975,1.0,0.02328903,-0.6721687244068747,-inf,0.00028444445,0.24551065,1.0,1.0,-0.9025822671422061
Microglia,Astrocyte,LGALS3,ENG,2.2827668,0.0,1.1258417,-0.08615492242453696,34.2275963382054,0.03287438,0.6378246,0.003358342726155159,0.09818980993104275,0.15270975,1.0,0.02328903,-0.6721687244068747,-inf,0.00028444445,0.24551065,1.0,1.0,-0.9018101900689572
Astrocyte,Microglia,PSAP,GPR37L1,4.1891747,0.0,1.1236058,0.18972841774282806,29.806639017067916,0.014427202,0.637595,0.0036478498041249813,0.09974232707127557,0.15270975,1.0,0.02328903,-0.6721687244068747,-inf,0.00028444445,0.24551065,1.0,1.0,-0.9002576729287244
Endothelial,Microglia,CXCL12,SDC4,1.4008974,0.0,1.953336,0.382594174118175,-12.597656806137442,0.20951286,0.69876814,0.00031244977315701033,0.10130594342080404,0.15270975,1.0,0.02328903,-0.6721687244068747,-inf,0.00028444445,0.24551065,1.0,1.0,-0.898694056579196
Astrocyte,Pericyte,PSAP,GPR37L1,4.185552,0.0,1.0638981,0.18799497783151647,31.855698820793748,0.013660548,0.631263,0.003995488492607835,0.10367216125853349,0.15270975,1.0,0.02328903,-0.6721687244068747,-inf,0.00028444445,0.24551065,1.0,1.0,-0.8963278387414665
Endothelial,Microglia,PTN,SDC4,1.3674309,0.0,1.8531576,0.14162958730536823,-89.07129550994625,0.03954455,0.6931984,0.003941587227218293,0.10367216125853349,0.15270975,1.0,0.02328903,-0.6721687244068747,-inf,0.00028444445,0.24551065,1.0,1.0,-0.8963278387414665
