names,scores,logfoldchanges,pvals,pvals_adj,cell_type
HDAC3,0.607895,0.13042603,0.5432571138950287,1.0,Astrocyte
TSEN15,0.6077923,0.21016787,0.5433252133020192,1.0,Astrocyte
DENR,0.607587,0.13701542,0.543461424864276,1.0,Astrocyte
MRPL32,0.60755277,0.12322933,0.5434841284436773,1.0,Astrocyte
AFTPH,0.60697097,0.30216113,0.5438701615046403,1.0,Astrocyte
RGS4,0.6068341,0.009668799,0.5439610126305969,1.0,Astrocyte
SEMA4C,0.60659456,0.64365375,0.5441200202610215,1.0,Astrocyte
PDE1B,0.60656035,0.84092295,0.5441427375232807,1.0,Astrocyte
DUS1L,0.6061497,0.2638994,0.5444153814480908,1.0,Astrocyte
PAF1,0.6060641,0.3132423,0.5444721908102834,1.0,Astrocyte
ART3,0.60585874,0.564505,0.5446085452978744,1.0,Astrocyte
UQCRFS1,0.6057219,0.1584454,0.5446994577143376,1.0,Astrocyte
SCG2,0.605585,4.788731,0.5447903776693317,1.0,Astrocyte
INSIG2,0.6053454,0.20890617,0.5449495057269158,1.0,Astrocyte
DYNLL1,0.60507166,0.23235436,0.5451313946221792,1.0,Astrocyte
ALDH3B1,0.6048321,0.42182407,0.5452905721248092,1.0,Astrocyte
SSH3,0.60479784,0.5938552,0.5453133136510553,1.0,Astrocyte
ATF6,0.60460967,0.5021592,0.5454384004587645,1.0,Astrocyte
ZFP639,0.60397655,0.25148243,0.5458592514528702,1.0,Astrocyte
PLPP5,0.6037883,0.48693183,0.5459844003604093,1.0,Astrocyte
SMAD3,0.60337764,0.564505,0.5462575018898423,1.0,Astrocyte
TYW5,0.6031894,0.2914096,0.5463826960446989,1.0,Astrocyte
BTG3,0.60281295,0.48010015,0.5466331269956559,1.0,Astrocyte
P2RY2,0.6025563,1.8758172,0.5468039079595357,1.0,Astrocyte
GAN,0.60248786,0.65624,0.5468494540113334,1.0,Astrocyte
PIGM,0.6024194,0.32345012,0.5468950019413676,1.0,Astrocyte
GABBR2,0.60231674,0.22850241,0.5469633273578143,1.0,Astrocyte
ANKRD13A,0.6022483,0.5511155,0.5470088799828443,1.0,Astrocyte
VGF,0.60176915,24.984892,0.5473278009277286,1.0,Astrocyte
KLHDC2,0.6012216,0.08301903,0.5476923946133372,1.0,Astrocyte
ARHGAP24,0.6012045,0.76503336,0.5477037901007096,1.0,Astrocyte
RLF,0.60022914,0.59115577,0.5483535265967244,1.0,Astrocyte
G6PDX,0.59975004,0.33050194,0.5486728347856134,1.0,Astrocyte
PIGN,0.5992367,0.49371016,0.5490150525334945,1.0,Astrocyte
ELF4,0.59875757,2.0260065,0.5493345507575125,1.0,Astrocyte
LAMA5,0.5986549,0.50509316,0.5494030265905745,1.0,Astrocyte
ZCCHC6,0.5981758,0.2529866,0.549722636120714,1.0,Astrocyte
EGFL7,0.5979363,0.13890806,0.5498824752431277,1.0,Astrocyte
SORCS2,0.5978678,0.16685924,0.5499281477696543,1.0,Astrocyte
NAT10,0.5974742,0.52644503,0.5501908010634068,1.0,Astrocyte
GMIP,0.5974742,0.80574244,0.5501908010634068,1.0,Astrocyte
TADA3,0.5973716,0.13591507,0.5502593294734452,1.0,Astrocyte
TYW1,0.5972518,0.1679163,0.5503392845972817,1.0,Astrocyte
PIK3CA,0.5968925,0.26879293,0.5505791842861203,1.0,Astrocyte
FLII,0.5967727,0.25401828,0.5506591622857153,1.0,Astrocyte
IL1RAP,0.59555775,0.7074426,0.5514706906569626,1.0,Astrocyte
SHISA6,0.5954038,2.5329485,0.5515736024145599,1.0,Astrocyte
H2-Q6,0.5953011,1.2640291,0.5516422154956799,1.0,Astrocyte
KIF18A,0.59519845,2.348509,0.5517108327704328,1.0,Astrocyte
GM21887,0.59512997,2.3086658,0.5517565799498332,1.0,Astrocyte
VDAC2,0.594668,0.119212866,0.5520654221457781,1.0,Astrocyte
COPS3,0.594514,0.11836828,0.5521683884049102,1.0,Astrocyte
PRKRA,0.59412044,0.1975631,0.5524315672283655,1.0,Astrocyte
ABCA5,0.59410334,0.19839683,0.5524430111821829,1.0,Astrocyte
PDRG1,0.5939664,0.10459523,0.5525345670007167,1.0,Astrocyte
FAM214B,0.5937269,0.21237712,0.5526948075959025,1.0,Astrocyte
EIF2B1,0.5934189,0.2162012,0.5529008647091245,1.0,Astrocyte
TRAF7,0.593282,0.20872284,0.5529924577392387,1.0,Astrocyte
RRP36,0.5932649,0.37833637,0.5530039073910791,1.0,Astrocyte
RRM1,0.59305954,0.38494444,0.5531413122786324,1.0,Astrocyte
CCDC77,0.5927858,0.5972937,0.5533245448248274,1.0,Astrocyte
PSMG3,0.59246063,0.2014512,0.5535421720995826,1.0,Astrocyte
MDGA2,0.5923409,0.24234436,0.5536223611378244,1.0,Astrocyte
NRBP1,0.5921184,0.16576025,0.5537712987317305,1.0,Astrocyte
PAIP1,0.59198153,0.23726724,0.5538629623872144,1.0,Astrocyte
CCNG1,0.5917762,0.2908164,0.554000471798338,1.0,Astrocyte
EXT2,0.591742,0.088466994,0.5540233916582228,1.0,Astrocyte
DYSF,0.59145105,1.3080527,0.5542182292056528,1.0,Astrocyte
MPP1,0.59128,0.31762505,0.5543328551885087,1.0,Astrocyte
MDN1,0.5908864,0.564497,0.554596538959629,1.0,Astrocyte
IMP3,0.5907153,0.07799139,0.5547112032073648,1.0,Astrocyte
NDUFAF2,0.59047574,0.1354321,0.5548717526261161,1.0,Astrocyte
ZFP236,0.59006506,0.65338314,0.555147033037521,1.0,Astrocyte
PPP2R5B,0.5899795,0.2022266,0.555204391521481,1.0,Astrocyte
SERGEF,0.5895175,0.6448443,0.5555141773591996,1.0,Astrocyte
SLMAP,0.58886725,0.28034246,0.5559503151881362,1.0,Astrocyte
NOL9,0.58885014,0.8368488,0.5559617947555286,1.0,Astrocyte
DTX3L,0.5886962,0.61445165,0.5560651160668759,1.0,Astrocyte
AFAP1,0.58852506,0.2692548,0.5561799285104801,1.0,Astrocyte
SDCCAG3,0.5880973,0.1724146,0.5564670102013529,1.0,Astrocyte
ELF2,0.5880117,0.19797613,0.5565244352085055,1.0,Astrocyte
MYCL,0.5878748,0.7004661,0.5566163212289923,1.0,Astrocyte
STOX2,0.5861979,0.13371384,0.557742524767585,1.0,Astrocyte
IL21R,0.58595836,0.5388691,0.5579035014522058,1.0,Astrocyte
FAM219A,0.58587277,0.29780805,0.5579609986021621,1.0,Astrocyte
D16ERTD472E,0.58578724,1.2204753,0.5580184986342434,1.0,Astrocyte
SNX14,0.585753,0.20647393,0.5580414994540089,1.0,Astrocyte
CD2AP,0.584675,0.29925066,0.5587662611988102,1.0,Astrocyte
HUS1,0.5843499,0.6110451,0.5589849298492953,1.0,Astrocyte
STC1,0.5840077,4.0930843,0.5592151522600873,1.0,Astrocyte
ATAD2B,0.58383656,0.7437658,0.559330280723108,1.0,Astrocyte
MICU2,0.58335745,0.43697065,0.5596527016037572,1.0,Astrocyte
SUN2,0.58323765,0.2995726,0.5597333209082994,1.0,Astrocyte
STRN3,0.5830837,0.20478138,0.5598369825756708,1.0,Astrocyte
FZR1,0.5829981,0.27081427,0.5598945764132988,1.0,Astrocyte
TAMM41,0.5824677,0.5646647,0.5602517223168451,1.0,Astrocyte
SUPT5,0.5815094,0.14831999,0.5608971688230113,1.0,Astrocyte
DDX50,0.5814752,0.13675267,0.5609202271399325,1.0,Astrocyte
TFB2M,0.58032876,0.3865443,0.5616929458055886,1.0,Astrocyte
COL16A1,0.58032876,0.50753963,0.5616929458055886,1.0,Astrocyte
SCARA3,0.5800892,0.12940803,0.561854474387482,1.0,Astrocyte
DNAJA2,0.58003783,0.12421105,0.5618890905758177,1.0,Astrocyte
RASD1,0.5799865,0.49371016,0.5619237077948849,1.0,Astrocyte
ARAP2,0.57925075,0.11195185,0.5624200011645606,1.0,Astrocyte
PFDN1,0.57916516,0.12963697,0.5624777234300316,1.0,Astrocyte
MITF,0.5789256,0.93369555,0.5626393609891532,1.0,Astrocyte
CABLES1,0.5788401,0.12720512,0.5626970941222011,1.0,Astrocyte
POLDIP2,0.5786005,0.12861645,0.562858762104859,1.0,Astrocyte
GM1698,0.57851493,0.8993831,0.5629165061014265,1.0,Astrocyte
SETD5,0.5784636,0.12975647,0.5629511538712951,1.0,Astrocyte
IER5L,0.57813853,1.2640291,0.5631706136373131,1.0,Astrocyte
RELT,0.5780187,0.4675322,0.5632514776352854,1.0,Astrocyte
RASAL2,0.5779503,0.31822202,0.5632976881479086,1.0,Astrocyte
EIF2S3X,0.57757384,0.21878959,0.5635518786394151,1.0,Astrocyte
MFSD7B,0.5775567,0.7366251,0.5635634340661697,1.0,Astrocyte
STX11,0.5774369,2.0647955,0.5636443252509168,1.0,Astrocyte
IWS1,0.5773172,0.36028334,0.5637252220306768,1.0,Astrocyte
PRKD3,0.57712895,0.26096418,0.5638523568440764,1.0,Astrocyte
ATG14,0.57711184,0.46874902,0.5638639152392906,1.0,Astrocyte
CCNC,0.57709473,0.11187223,0.5638754737486458,1.0,Astrocyte
OPALIN,0.57704335,0.5873169,0.5639101499615351,1.0,Astrocyte
PALMD,0.5769749,0.48366967,0.5639563865098924,1.0,Astrocyte
ACBD3,0.5767525,0.26666567,0.5641066679018968,1.0,Astrocyte
ADORA3,0.5763076,0.81266004,0.5644072885264193,1.0,Astrocyte
GUK1,0.57605094,0.17790827,0.5645807585703804,1.0,Astrocyte
RNMT,0.57557184,0.1842505,0.5649046379417764,1.0,Astrocyte
ABCA1,0.575452,0.115818515,0.5649856217439188,1.0,Astrocyte
GFPT2,0.5748189,0.9582586,0.5654137716976335,1.0,Astrocyte
INTS9,0.57452804,0.44644502,0.5656105415024308,1.0,Astrocyte
GLI1,0.5741858,0.5931444,0.5658420774953005,1.0,Astrocyte
CHMP2B,0.57406604,0.15662727,0.5659231258434689,1.0,Astrocyte
RASL10B,0.5738436,2.387298,0.566073658989688,1.0,Astrocyte
BST1,0.5737751,2.425088,0.5661199807471475,1.0,Astrocyte
TRIO,0.5737409,0.24366984,0.5661431423080818,1.0,Astrocyte
C2CD2,0.5737067,0.63982517,0.5661663043237948,1.0,Astrocyte
9430016H08RIK,0.5737067,0.1797064,0.5661663043237948,1.0,Astrocyte
POLR2L,0.5728682,0.2755541,0.5667339157200388,1.0,Astrocyte
SHKBP1,0.5722009,0.38494444,0.5671858829696528,1.0,Astrocyte
UNC119B,0.571756,0.3355635,0.5674872903764658,1.0,Astrocyte
GGT5,0.5713453,0.99675643,0.567765580657189,1.0,Astrocyte
CRLF1,0.5713282,1.0906918,0.5677771775029636,1.0,Astrocyte
EFTUD1,0.5712427,0.4972429,0.5678351634323873,1.0,Astrocyte
NUMBL,0.5712427,0.77808046,0.5678351634323873,1.0,Astrocyte
SCAF8,0.5711742,0.32951495,0.5678815542164497,1.0,Astrocyte
MRPS11,0.57103735,0.13266073,0.5679743412253473,1.0,Astrocyte
ATG16L2,0.57095176,0.40326723,0.5680323367893436,1.0,Astrocyte
RNF8,0.5708662,0.29335108,0.5680903351864086,1.0,Astrocyte
RTP1,0.5705753,0.9465569,0.568287550923928,1.0,Astrocyte
