compound,gene,binding_probability
VC,PRKD1,0.49508118629455566
VC,NLRP3,0.4950794279575348
ML162,PTBP1,0.4950783848762512
Fer-1,PRKD1,0.4950783848762512
Lip-1,IL1B,0.4950771629810333
RSL3,FTL,0.49507540464401245
ML162,NOX4,0.495071142911911
Fer-1,MPO,0.49506640434265137
Erastin,IL6,0.4950661063194275
VC,MPO,0.49506527185440063
Lip-1,BCL6,0.4950645864009857
Fer-1,NLRP3,0.49506044387817383
ML162,IL1B,0.4950559437274933
Lip-1,IL6,0.49505484104156494
VC,DYRK1A,0.4950544238090515
RSL3,MCM5,0.4950503408908844
Fer-1,EPHA2,0.49504926800727844
VC,EPHA2,0.4950488209724426
Lip-1,E2F3,0.4950445294380188
VC,TXNIP,0.4950438439846039
ML162,RUNX3,0.49504274129867554
Fer-1,DYRK1A,0.495040625333786
VC,MCU,0.49504050612449646
Lip-1,PTBP1,0.49503880739212036
VC,FOSL1,0.49503862857818604
Fer-1,MCU,0.4950380027294159
Fer-1,FOSL1,0.49503666162490845
Fer-1,NR1D1,0.4950355589389801
VC,NR1D1,0.49503442645072937
Fer-1,CAVIN1,0.49503278732299805
Fer-1,TXNIP,0.49503234028816223
VC,CAVIN1,0.4950316846370697
ML162,IL6,0.4950311779975891
VC,LGMN,0.49503105878829956
RSL3,MKI67,0.4950302243232727
RSL3,CDO1,0.49502840638160706
Fer-1,LGMN,0.49502813816070557
Fer-1,SOCS2,0.4950273633003235
VC,SOCS2,0.49502626061439514
Lip-1,RUNX3,0.49502572417259216
ML162,E2F3,0.4950254261493683
Erastin,BRD7,0.49502238631248474
Fer-1,TNFAIP1,0.4950176775455475
RSL3,EBF3,0.4950166642665863
VC,TNFAIP1,0.49501654505729675
Erastin,WWTR1,0.49501457810401917
Fer-1,EPHA4,0.4950140416622162
RSL3,DPEP1,0.4950130581855774
VC,EPHA4,0.49501293897628784
Fer-1,SMURF2,0.4950118958950043
RSL3,RGS4,0.49501141905784607
VC,SMURF2,0.4950108230113983
VC,FBXO31,0.4950072765350342
VC,TLR4,0.49500638246536255
Fer-1,PDE4B,0.4950048625469208
Erastin,CXCL10,0.49500423669815063
VC,PDE4B,0.4950038194656372
VC,NOX4,0.49500229954719543
Erastin,IFNG,0.4950016736984253
VC,MAPK14,0.49499961733818054
Lip-1,IFNG,0.49499577283859253
Fer-1,FBXO31,0.49499431252479553
Fer-1,PPP2R2B,0.49499279260635376
VC,PPP2R2B,0.494991660118103
Erastin,ABCC1,0.4949880540370941
VC,HMGB1,0.4949875771999359
Lip-1,CXCL10,0.4949864149093628
RSL3,AURKA,0.4949861764907837
RSL3,SPATA2,0.49498337507247925
VC,HIF1A,0.4949813187122345
Erastin,E2F1,0.49498116970062256
Fer-1,TLR4,0.4949767291545868
BCP,ZEB1,0.49497631192207336
RSL3,BUB3,0.49497395753860474
RSL3,SAT1,0.4949726164340973
RSL3,ATG3,0.49497053027153015
Fer-1,SOCS1,0.4949679672718048
Erastin,HIF1A,0.4949674904346466
VC,SOCS1,0.4949667751789093
Fer-1,MAPK14,0.4949657917022705
Lip-1,E2F1,0.4949614107608795
Fer-1,NOX4,0.49496105313301086
ML162,BRD7,0.4949592053890228
Erastin,IRF1,0.4949587285518646
Fer-1,HMGB1,0.4949580132961273
Fer-1,CTSB,0.4949553310871124
Erastin,HMOX1,0.4949552118778229
Lip-1,ABCC1,0.4949552118778229
VC,CTSB,0.4949542284011841
Fer-1,PTBP1,0.4949524700641632
RSL3,KLF6,0.4949517250061035
VC,PTBP1,0.49495136737823486
Lip-1,BRD7,0.4949505627155304
ML162,IFNG,0.4949493706226349
Lip-1,IRF1,0.4949454069137573
Fer-1,RUNX3,0.4949449300765991
Erastin,PTGS2,0.4949447214603424
VC,RUNX3,0.4949438273906708
RSL3,MMP1,0.4949374794960022
VC,BCL6,0.4949367642402649
RSL3,RPA2,0.49493664503097534
RSL3,MCM3,0.49493607878685
Fer-1,BCL6,0.4949357211589813
Lip-1,WWTR1,0.4949323236942291
RSL3,EMP1,0.49493202567100525
Lip-1,HMOX1,0.49493080377578735
Lip-1,PTGS2,0.49492987990379333
RSL3,LACTB,0.4949297606945038
RSL3,NR2F2,0.49492916464805603
VC,WWTR1,0.49492624402046204
RSL3,CD4,0.4949236214160919
RSL3,GMFB,0.4949231445789337
RSL3,BUB1,0.49492117762565613
RSL3,CD82,0.49492111802101135
ML162,CXCL10,0.49491748213768005
ML162,E2F1,0.49491721391677856
ML162,WWTR1,0.49491584300994873
RSL3,SLAMF8,0.49491584300994873
VC,E2F3,0.4949134588241577
RSL3,RFC4,0.494912713766098
RSL3,CCL4,0.494912713766098
RSL3,MRE11,0.4949113130569458
RSL3,AURKB,0.494911253452301
RSL3,CXCL1,0.4949096739292145
Lip-1,HIF1A,0.4949095547199249
RSL3,RFC2,0.49490851163864136
RSL3,BUB1B,0.49490639567375183
VC,IL1B,0.4949045181274414
RSL3,DUOX1,0.4949033558368683
ML162,ABCC1,0.4949023723602295
Fer-1,E2F3,0.4949023127555847
ML162,IRF1,0.4949014186859131
RSL3,TOP2A,0.4948928952217102
RSL3,COX7A1,0.49489283561706543
RSL3,CD8A,0.4948905110359192
RSL3,ACSL4,0.49488958716392517
RSL3,MAP1LC3B,0.4948889911174774
RSL3,HBP1,0.4948875904083252
RSL3,RPA3,0.49488478899002075
RSL3,CDC20,0.4948839843273163
Erastin,CD74,0.49488356709480286
RSL3,MCM2,0.49488162994384766
Fer-1,HIF1A,0.4948793053627014
RSL3,RBM3,0.4948771297931671
RSL3,RFC3,0.4948766231536865
Fer-1,WWTR1,0.4948763847351074
VC,BRD7,0.49487462639808655
Fer-1,IL1B,0.4948742687702179
VC,IL6,0.49487411975860596
RSL3,RFC1,0.49487242102622986
RSL3,RPA1,0.49487218260765076
Fer-1,BRD7,0.49486827850341797
RSL3,ICA1,0.4948682188987732
RSL3,NUAK2,0.4948633015155792
RSL3,MEN1,0.4948630630970001
BCP,PADI4,0.4948602020740509
RSL3,RFC5,0.4948594570159912
Lip-1,CD74,0.49485665559768677
RSL3,CCL3,0.4948562979698181
RSL3,EIF2AK3,0.49485594034194946
VC,ABCC1,0.494852215051651
RSL3,PNPLA2,0.49484869837760925
DFO,ZEB1,0.49484825134277344
RSL3,LIG1,0.49484729766845703
RSL3,ALOX12,0.4948464334011078
ML162,HMOX1,0.49484550952911377
RSL3,CXCL2,0.4948422312736511
RSL3,MCM4,0.4948415756225586
RSL3,PLK1,0.49483948945999146
VC,CXCL10,0.49483925104141235
BCP,SP1,0.49483785033226013
RSL3,CSF3,0.49483737349510193
BCP,S100A8,0.4948372542858124
Erastin,YAP1,0.49483680725097656
RSL3,H2AX,0.4948362112045288
BCP,WNT5A,0.4948326051235199
VC,MMP9,0.4948296844959259
ML162,PTGS2,0.4948265254497528
Fer-1,IL6,0.49482476711273193
BCP,IRF9,0.49482470750808716
RSL3,GPX4,0.4948241412639618
RSL3,MCM6,0.4948214590549469
VC,IFNG,0.49481940269470215
VC,HMOX1,0.4948178827762604
VC,E2F1,0.49481600522994995
Fer-1,CXCL10,0.49481531977653503
RSL3,MCM7,0.4948109984397888
RSL3,RAD51,0.49481016397476196
BCP,LCN2,0.49480900168418884
RSL3,CSF2,0.49480900168418884
VC,PTGS2,0.4948083162307739
RSL3,TBX2,0.4948083162307739
RSL3,SIRT1,0.4948071539402008
Fer-1,ABCC1,0.4948044717311859
RSL3,VDAC2,0.49479663372039795
ML162,YAP1,0.4947913885116577
VC,IRF1,0.4947875440120697
Fer-1,E2F1,0.49478718638420105
VC,CD74,0.49478596448898315
RSL3,FTH1,0.4947846829891205
Fer-1,HMOX1,0.4947841465473175
BCP,KDM6B,0.49478355050086975
BCP,HERPUD1,0.4947803020477295
BCP,IRF7,0.49477940797805786
RSL3,FOS,0.49477913975715637
RSL3,FOXO4,0.4947766661643982
Fer-1,IFNG,0.4947764277458191
DFO,PADI4,0.4947751462459564
BCP,ERN1,0.4947737455368042
Erastin,IGFBP7,0.49476954340934753
Erastin,TFRC,0.4947640597820282
RSL3,CBS,0.49476301670074463
Fer-1,PTGS2,0.494759738445282
Fer-1,IRF1,0.49475952982902527
Erastin,MMP9,0.4947570562362671
BCP,TNFAIP3,0.4947545528411865
Lip-1,YAP1,0.49475449323654175
Lip-1,IGFBP7,0.49475333094596863
ML162,CD74,0.49475133419036865
BCP,MAPK1,0.4947502911090851
Erastin,LOX,0.49474865198135376
RSL3,GABARAPL1,0.4947430491447449
RSL3,PRNP,0.4947427213191986
Lip-1,TFRC,0.49474236369132996
RSL3,SLC40A1,0.4947381615638733
BCP,MAP3K14,0.494737446308136
DFO,SP1,0.4947372078895569
RSL3,MAD2L1,0.4947361648082733
RSL3,CDKN1A,0.4947350025177002
DFO,WNT5A,0.49473464488983154
VC,E2F2,0.49473097920417786
BCP,SNCA,0.4947279989719391
Fer-1,MMP9,0.49472764134407043
BCP,EGR1,0.49472731351852417
DFO,S100A8,0.4947267174720764
VC,LOX,0.4947260320186615
DFO,IRF9,0.4947255551815033
VC,BNIP3L,0.49472275376319885
Fer-1,CD74,0.4947217106819153
BCP,SETD7,0.49472111463546753
BCP,EDN1,0.4947207570075989
BCP,ALOX15,0.4947190284729004
DFO,LCN2,0.4947143495082855
RSL3,MAP1LC3A,0.4947143495082855
RSL3,WRN,0.49471330642700195
RSL3,NFE2L2,0.4947096109390259
RSL3,CDK6,0.4947092831134796
RSL3,GABARAP,0.49470922350883484
RSL3,FOXO3,0.4947078227996826
DFO,HERPUD1,0.49470770359039307
Erastin,KEAP1,0.49470728635787964
VC,YAP1,0.49470576643943787
RSL3,ADIPOQ,0.49470576643943787
DFO,KDM6B,0.4947049617767334
RSL3,ATM,0.49470385909080505
Lip-1,KEAP1,0.4947013854980469
Erastin,SOD1,0.4946981966495514
RSL3,VCAM1,0.49469754099845886
RSL3,LMNB1,0.49469661712646484
RSL3,TIMP1,0.4946940541267395
RSL3,ALOX5,0.4946938157081604
ML162,HIF1A,0.49469125270843506
BCP,SLC1A5,0.49469083547592163
RSL3,ATG7,0.4946863353252411
RSL3,NFKB1,0.4946816861629486
DFO,TNFAIP3,0.49467888474464417
DFO,ERN1,0.49467816948890686
DFO,IRF7,0.4946775436401367
ML162,IGFBP7,0.4946768879890442
RSL3,SQSTM1,0.4946762025356293
Lip-1,SOD1,0.4946737289428711
BCP,LIFR,0.49467340111732483
RSL3,LPIN1,0.4946722090244293
RSL3,ATG5,0.49467188119888306
Erastin,BNIP3L,0.4946705400943756
