compound,chebi_id,chebi_name,chebi_star,smiles,inchikey,formula,exact_mass,molecular_weight,charge,match_method,source,download_date
Kaempferol,CHEBI:28499,kaempferol,3.0,O=c1c(O)c(-c2ccc(O)cc2)oc2cc(O)cc(O)c12,IYRMWMYZSQPJKC-UHFFFAOYSA-N,C15H10O6,286.047738,286.239,,name_exact,ChEBI,2026-06-21
Lip-1,CHEBI:173097,liproxstatin-1,3.0,Clc1cccc(CNC2=Nc3ccccc3NC23CCNCC3)c1,YAFQFNOUYXZVPZ-UHFFFAOYSA-N,C19H21ClN4,340.145474,340.858,,inchikey,ChEBI,2026-06-21
Luteolin,CHEBI:15864,luteolin,3.0,O=c1cc(-c2ccc(O)c(O)c2)oc2cc(O)cc(O)c12,IQPNAANSBPBGFQ-UHFFFAOYSA-N,C15H10O6,286.047738,286.239,,name_exact,ChEBI,2026-06-21
ML162,CHEBI:176499,ML162,3.0,COc1ccc(N(C(=O)CCl)C(C(=O)NCCc2ccccc2)c2cccs2)cc1Cl,UNVKYJSNMVDZJE-UHFFFAOYSA-N,C23H22Cl2N2O3S,476.072819,477.413,,name_exact,ChEBI,2026-06-21
Magnolol,,,,,,,,,,,ChEBI,2026-06-21
Melatonin,CHEBI:16796,melatonin,3.0,COc1ccc2[nH]cc(CCNC(C)=O)c2c1,DRLFMBDRBRZALE-UHFFFAOYSA-N,C13H16N2O2,232.121178,232.283,,name_exact,ChEBI,2026-06-21
N-acetylcysteine,CHEBI:28939,N-acetyl-L-cysteine,3.0,CC(=O)N[C@@H](CS)C(=O)O,PWKSKIMOESPYIA-BYPYZUCNSA-N,C5H9NO3S,163.030314,163.198,,inchikey,ChEBI,2026-06-21
Naringenin,CHEBI:50202,naringenin,3.0,O=C1CC(c2ccc(O)cc2)Oc2cc(O)cc(O)c21,FTVWIRXFELQLPI-UHFFFAOYSA-N,C15H12O5,272.068473,272.256,,name_exact,ChEBI,2026-06-21
Nobiletin,CHEBI:7602,nobiletin,3.0,COc1ccc(-c2cc(=O)c3c(OC)c(OC)c(OC)c(OC)c3o2)cc1OC,MRIAQLRQZPPODS-UHFFFAOYSA-N,C21H22O8,402.131468,402.399,,name_exact,ChEBI,2026-06-21
Oroxylin A,CHEBI:61668,oroxylin A,3.0,COc1c(O)cc2oc(-c3ccccc3)cc(=O)c2c1O,LKOJGSWUMISDOF-UHFFFAOYSA-N,C16H12O5,284.068473,284.267,,name_exact,ChEBI,2026-06-21
Phloretin,CHEBI:17276,phloretin,3.0,O=C(CCc1ccc(O)cc1)c1c(O)cc(O)cc1O,VGEREEWJJVICBM-UHFFFAOYSA-N,C15H14O5,274.084124,274.272,,name_exact,ChEBI,2026-06-21
