compound,cid,MW,LogP,HBD,HBA,TPSA,RotB,SMILES,IUPACName,MolecularFormula,source,molecular_weight,xlogp,hbd,hba,tpsa,rotbonds
Epicatechin,72276,290.27,0.4,5,6,110.0,1,C1[C@H]([C@H](OC2=CC(=CC(=C21)O)O)C3=CC(=C(C=C3)O)O)O,"(2R,3R)-2-(3,4-dihydroxyphenyl)-3,4-dihydro-2H-chromene-3,5,7-triol",C15H14O6,Camellia sinensis (Cha),290.27,0.4,5,6,110.0,1
Tetramethylpyrazine,14296,136.19,1.3,0,2,25.8,0,CC1=C(N=C(C(=N1)C)C)C,"2,3,5,6-tetramethylpyrazine",C8H12N2,Ligusticum chuanxiong (Chuanxiong),136.19,1.3,0,2,25.8,0
Tanshinone IIA,164676,294.3,4.3,0,3,47.3,0,CC1=COC2=C1C(=O)C(=O)C3=C2C=CC4=C3CCCC4(C)C,"1,6,6-trimethyl-8,9-dihydro-7H-naphtho[1,2-g][1]benzofuran-10,11-dione",C19H18O3,Salvia miltiorrhiza (Danshen),294.3,4.3,0,3,47.3,0
Danshensu,11600642,198.17,-0.2,4,5,98.0,3,C1=CC(=C(C=C1C[C@H](C(=O)O)O)O)O,"(2R)-3-(3,4-dihydroxyphenyl)-2-hydroxypropanoic acid",C9H10O5,Salvia miltiorrhiza (Danshen),198.17,-0.2,4,5,98.0,3
Honokiol,72303,266.3,5.0,2,2,40.5,5,C=CCC1=CC(=C(C=C1)O)C2=CC(=C(C=C2)O)CC=C,2-(4-hydroxy-3-prop-2-enylphenyl)-4-prop-2-enylphenol,C18H18O2,Magnolia officinalis (Houpo),266.3,5.0,2,2,40.5,5
Magnolol,72300,266.3,5.0,2,2,40.5,5,C=CCC1=CC(=C(C=C1)O)C2=C(C=CC(=C2)CC=C)O,2-(2-hydroxy-5-prop-2-enylphenyl)-4-prop-2-enylphenol,C18H18O2,Magnolia officinalis (Houpo),266.3,5.0,2,2,40.5,5
Schisandrin,3001664,432.5,4.0,1,7,75.6,6,C[C@H]1CC2=CC(=C(C(=C2C3=C(C(=C(C=C3C[C@]1(C)O)OC)OC)OC)OC)OC)OC,"(9S,10S)-3,4,5,14,15,16-hexamethoxy-9,10-dimethyltricyclo[10.4.0.02,7]hexadeca-1(16),2,4,6,12,14-hexaen-9-ol",C24H32O7,Schisandra chinensis (Wuweizi),432.5,4.0,1,7,75.6,6
Schisandrin B,108130,400.5,5.1,0,6,55.4,4,CC1CC2=CC3=C(C(=C2C4=C(C(=C(C=C4CC1C)OC)OC)OC)OC)OCO3,"3,4,5,19-tetramethoxy-9,10-dimethyl-15,17-dioxatetracyclo[10.7.0.02,7.014,18]nonadeca-1(19),2,4,6,12,14(18)-hexaene",C23H28O6,Schisandra chinensis (Wuweizi),400.5,5.1,0,6,55.4,4
Dihydroartemisinin,3000518,284.35,2.5,1,5,57.2,0,C[C@@H]1CC[C@H]2[C@H]([C@H](O[C@H]3[C@@]24[C@H]1CC[C@](O3)(OO4)C)O)C,"(1R,4S,5R,8S,9R,10S,12R,13R)-1,5,9-trimethyl-11,14,15,16-tetraoxatetracyclo[10.3.1.04,13.08,13]hexadecan-10-ol",C15H24O5,Artemisia annua (Qinghao),284.35,2.5,1,5,57.2,0
Artemisinin,68827,282.33,2.8,0,5,54.0,0,C[C@@H]1CC[C@H]2[C@H](C(=O)O[C@H]3[C@@]24[C@H]1CC[C@](O3)(OO4)C)C,"(1R,4S,5R,8S,9R,12S,13R)-1,5,9-trimethyl-11,14,15,16-tetraoxatetracyclo[10.3.1.04,13.08,13]hexadecan-10-one",C15H22O5,Artemisia annua (Qinghao),282.33,2.8,0,5,54.0,0
