ligand,receptor,pathway,source
WNT2B,FZD1_LRP5,WNT,CellChatDB
WNT2B,FZD10_LRP5,WNT,CellChatDB
WNT2B,FZD2_LRP5,WNT,CellChatDB
WNT2B,FZD3_LRP5,WNT,CellChatDB
WNT2B,FZD4_LRP5,WNT,CellChatDB
WNT2B,FZD5_LRP5,WNT,CellChatDB
WNT2B,FZD6_LRP5,WNT,CellChatDB
WNT2B,FZD7_LRP5,WNT,CellChatDB
WNT2B,FZD8_LRP5,WNT,CellChatDB
WNT2B,FZD9_LRP5,WNT,CellChatDB
WNT3,FZD1_LRP5,WNT,CellChatDB
WNT3,FZD10_LRP5,WNT,CellChatDB
WNT3,FZD2_LRP5,WNT,CellChatDB
WNT3,FZD3_LRP5,WNT,CellChatDB
WNT3,FZD4_LRP5,WNT,CellChatDB
WNT3,FZD5_LRP5,WNT,CellChatDB
WNT3,FZD6_LRP5,WNT,CellChatDB
WNT3,FZD7_LRP5,WNT,CellChatDB
WNT3,FZD8_LRP5,WNT,CellChatDB
WNT3,FZD9_LRP5,WNT,CellChatDB
WNT3A,FZD1_LRP5,WNT,CellChatDB
WNT3A,FZD10_LRP5,WNT,CellChatDB
WNT3A,FZD2_LRP5,WNT,CellChatDB
WNT3A,FZD3_LRP5,WNT,CellChatDB
WNT3A,FZD4_LRP5,WNT,CellChatDB
WNT3A,FZD5_LRP5,WNT,CellChatDB
WNT3A,FZD6_LRP5,WNT,CellChatDB
WNT3A,FZD7_LRP5,WNT,CellChatDB
WNT3A,FZD8_LRP5,WNT,CellChatDB
WNT3A,FZD9_LRP5,WNT,CellChatDB
WNT4,FZD1_LRP5,WNT,CellChatDB
WNT4,FZD10_LRP5,WNT,CellChatDB
WNT4,FZD2_LRP5,WNT,CellChatDB
WNT4,FZD3_LRP5,WNT,CellChatDB
WNT4,FZD4_LRP5,WNT,CellChatDB
WNT4,FZD5_LRP5,WNT,CellChatDB
WNT4,FZD6_LRP5,WNT,CellChatDB
WNT4,FZD7_LRP5,WNT,CellChatDB
WNT4,FZD8_LRP5,WNT,CellChatDB
WNT4,FZD9_LRP5,WNT,CellChatDB
WNT6,FZD1_LRP5,WNT,CellChatDB
WNT6,FZD10_LRP5,WNT,CellChatDB
WNT6,FZD2_LRP5,WNT,CellChatDB
WNT6,FZD3_LRP5,WNT,CellChatDB
WNT6,FZD4_LRP5,WNT,CellChatDB
WNT6,FZD5_LRP5,WNT,CellChatDB
WNT6,FZD6_LRP5,WNT,CellChatDB
WNT6,FZD7_LRP5,WNT,CellChatDB
WNT6,FZD8_LRP5,WNT,CellChatDB
WNT6,FZD9_LRP5,WNT,CellChatDB
WNT7A,FZD1_LRP5,WNT,CellChatDB
WNT7A,FZD10_LRP5,WNT,CellChatDB
WNT7A,FZD2_LRP5,WNT,CellChatDB
WNT7A,FZD3_LRP5,WNT,CellChatDB
WNT7A,FZD4_LRP5,WNT,CellChatDB
WNT7A,FZD5_LRP5,WNT,CellChatDB
WNT7A,FZD6_LRP5,WNT,CellChatDB
WNT7A,FZD7_LRP5,WNT,CellChatDB
WNT7A,FZD8_LRP5,WNT,CellChatDB
WNT7A,FZD9_LRP5,WNT,CellChatDB
WNT7B,FZD1_LRP5,WNT,CellChatDB
WNT7B,FZD10_LRP5,WNT,CellChatDB
WNT7B,FZD2_LRP5,WNT,CellChatDB
WNT7B,FZD3_LRP5,WNT,CellChatDB
WNT7B,FZD4_LRP5,WNT,CellChatDB
WNT7B,FZD5_LRP5,WNT,CellChatDB
WNT7B,FZD6_LRP5,WNT,CellChatDB
WNT7B,FZD7_LRP5,WNT,CellChatDB
WNT7B,FZD8_LRP5,WNT,CellChatDB
WNT7B,FZD9_LRP5,WNT,CellChatDB
WNT8A,FZD1_LRP5,WNT,CellChatDB
WNT8A,FZD10_LRP5,WNT,CellChatDB
WNT8A,FZD2_LRP5,WNT,CellChatDB
WNT8A,FZD3_LRP5,WNT,CellChatDB
WNT8A,FZD4_LRP5,WNT,CellChatDB
WNT8A,FZD5_LRP5,WNT,CellChatDB
WNT8A,FZD6_LRP5,WNT,CellChatDB
WNT8A,FZD7_LRP5,WNT,CellChatDB
WNT8A,FZD8_LRP5,WNT,CellChatDB
WNT8A,FZD9_LRP5,WNT,CellChatDB
WNT8B,FZD1_LRP5,WNT,CellChatDB
WNT8B,FZD10_LRP5,WNT,CellChatDB
WNT8B,FZD2_LRP5,WNT,CellChatDB
WNT8B,FZD3_LRP5,WNT,CellChatDB
WNT8B,FZD4_LRP5,WNT,CellChatDB
WNT8B,FZD5_LRP5,WNT,CellChatDB
WNT8B,FZD6_LRP5,WNT,CellChatDB
WNT8B,FZD7_LRP5,WNT,CellChatDB
WNT8B,FZD8_LRP5,WNT,CellChatDB
WNT8B,FZD9_LRP5,WNT,CellChatDB
WNT9A,FZD1_LRP5,WNT,CellChatDB
WNT9A,FZD10_LRP5,WNT,CellChatDB
WNT9A,FZD2_LRP5,WNT,CellChatDB
WNT9A,FZD3_LRP5,WNT,CellChatDB
WNT9A,FZD4_LRP5,WNT,CellChatDB
WNT9A,FZD5_LRP5,WNT,CellChatDB
WNT9A,FZD6_LRP5,WNT,CellChatDB
WNT9A,FZD7_LRP5,WNT,CellChatDB
WNT9A,FZD8_LRP5,WNT,CellChatDB
WNT9A,FZD9_LRP5,WNT,CellChatDB
WNT9B,FZD1_LRP5,WNT,CellChatDB
WNT9B,FZD10_LRP5,WNT,CellChatDB
WNT9B,FZD2_LRP5,WNT,CellChatDB
WNT9B,FZD3_LRP5,WNT,CellChatDB
WNT9B,FZD4_LRP5,WNT,CellChatDB
WNT9B,FZD5_LRP5,WNT,CellChatDB
WNT9B,FZD6_LRP5,WNT,CellChatDB
WNT9B,FZD7_LRP5,WNT,CellChatDB
WNT9B,FZD8_LRP5,WNT,CellChatDB
WNT9B,FZD9_LRP5,WNT,CellChatDB
WNT1,FZD1_LRP6,WNT,CellChatDB
WNT1,FZD10_LRP6,WNT,CellChatDB
WNT1,FZD2_LRP6,WNT,CellChatDB
WNT1,FZD3_LRP6,WNT,CellChatDB
WNT1,FZD4_LRP6,WNT,CellChatDB
WNT1,FZD5_LRP6,WNT,CellChatDB
WNT1,FZD6_LRP6,WNT,CellChatDB
WNT1,FZD7_LRP6,WNT,CellChatDB
WNT1,FZD8_LRP6,WNT,CellChatDB
WNT1,FZD9_LRP6,WNT,CellChatDB
WNT10A,FZD1_LRP6,WNT,CellChatDB
WNT10A,FZD10_LRP6,WNT,CellChatDB
WNT10A,FZD2_LRP6,WNT,CellChatDB
