compound,gene,source,confidence,confidence_level,download_date
DFO,FTL,curated,0.95,high,2026-06-21
DFO,GCLC,curated,0.95,high,2026-06-21
DFO,GPX4,curated,0.95,high,2026-06-21
DFO,HIF1A,curated,0.95,high,2026-06-21
DFO,HMOX1,curated,0.95,high,2026-06-21
DFO,IL1B,curated,0.95,high,2026-06-21
DFO,IL6,curated,0.95,high,2026-06-21
DFO,IREB2,curated,0.95,high,2026-06-21
DFO,KEAP1,curated,0.95,high,2026-06-21
DFO,LPCAT3,curated,0.95,high,2026-06-21
DFO,MAPK1,curated,0.95,high,2026-06-21
DFO,MAPK14,curated,0.95,high,2026-06-21
DFO,MAPK3,curated,0.95,high,2026-06-21
DFO,MTOR,curated,0.95,high,2026-06-21
DFO,NFE2L2,curated,0.95,high,2026-06-21
DFO,NQO1,curated,0.95,high,2026-06-21
DFO,RB1,curated,0.95,high,2026-06-21
DFO,SLC40A1,curated,0.95,high,2026-06-21
DFO,SLC7A11,curated,0.95,high,2026-06-21
DFO,SOD1,curated,0.95,high,2026-06-21
DFO,SOD2,curated,0.95,high,2026-06-21
DFO,STEAP3,curated,0.95,high,2026-06-21
DFO,TFRC,curated,0.95,high,2026-06-21
DFO,TIMP1,curated,0.95,high,2026-06-21
DFO,TNF,curated,0.95,high,2026-06-21
DFO,TP53,curated,0.95,high,2026-06-21
Erastin,ACSL4,curated,0.95,high,2026-06-21
Erastin,AKT1,curated,0.95,high,2026-06-21
Erastin,ALOX12,curated,0.95,high,2026-06-21
Erastin,ALOX15,curated,0.95,high,2026-06-21
Erastin,ALOX5,curated,0.95,high,2026-06-21
Erastin,ATF3,curated,0.95,high,2026-06-21
Erastin,ATF4,curated,0.95,high,2026-06-21
Erastin,ATG5,curated,0.95,high,2026-06-21
Erastin,ATG7,curated,0.95,high,2026-06-21
Erastin,BCL2,curated,0.95,high,2026-06-21
Erastin,BECN1,curated,0.95,high,2026-06-21
Erastin,CDKN1A,curated,0.95,high,2026-06-21
Erastin,CHAC1,curated,0.95,high,2026-06-21
Erastin,EIF2AK3,curated,0.95,high,2026-06-21
Erastin,ERN1,curated,0.95,high,2026-06-21
Erastin,FTH1,curated,0.95,high,2026-06-21
Erastin,FTL,curated,0.95,high,2026-06-21
Erastin,GCLC,curated,0.95,high,2026-06-21
Erastin,GPX4,curated,0.95,high,2026-06-21
Erastin,HMOX1,curated,0.95,high,2026-06-21
Erastin,HSPA5,curated,0.95,high,2026-06-21
Erastin,IL1B,curated,0.95,high,2026-06-21
Erastin,IL6,curated,0.95,high,2026-06-21
Erastin,KEAP1,curated,0.95,high,2026-06-21
Erastin,LPCAT3,curated,0.95,high,2026-06-21
Erastin,MAPK1,curated,0.95,high,2026-06-21
Erastin,MAPK14,curated,0.95,high,2026-06-21
Erastin,MAPK3,curated,0.95,high,2026-06-21
Erastin,MAPK8,curated,0.95,high,2026-06-21
Erastin,MTOR,curated,0.95,high,2026-06-21
Erastin,NCOA4,curated,0.95,high,2026-06-21
Erastin,NFE2L2,curated,0.95,high,2026-06-21
Erastin,NLRP3,curated,0.95,high,2026-06-21
Erastin,NQO1,curated,0.95,high,2026-06-21
Erastin,PTGS2,curated,0.95,high,2026-06-21
Erastin,SAT1,curated,0.95,high,2026-06-21
Erastin,SESN2,curated,0.95,high,2026-06-21
Erastin,SLC3A2,curated,0.95,high,2026-06-21
Erastin,SLC40A1,curated,0.95,high,2026-06-21
Erastin,SLC7A11,curated,0.95,high,2026-06-21
Erastin,SQSTM1,curated,0.95,high,2026-06-21
Erastin,STEAP3,curated,0.95,high,2026-06-21
Erastin,TFRC,curated,0.95,high,2026-06-21
Erastin,TNF,curated,0.95,high,2026-06-21
Erastin,TP53,curated,0.95,high,2026-06-21
Erastin,TXNIP,curated,0.95,high,2026-06-21
Erastin,VDAC1,curated,0.95,high,2026-06-21
Erastin,VDAC2,curated,0.95,high,2026-06-21
Fer-1,ACSL3,curated,0.95,high,2026-06-21
Fer-1,ACSL4,curated,0.95,high,2026-06-21
Fer-1,AKT1,curated,0.95,high,2026-06-21
Fer-1,ALOX12,curated,0.95,high,2026-06-21
Fer-1,ALOX15,curated,0.95,high,2026-06-21
Fer-1,ALOX5,curated,0.95,high,2026-06-21
Fer-1,ATF3,curated,0.95,high,2026-06-21
Fer-1,ATF4,curated,0.95,high,2026-06-21
Fer-1,ATG5,curated,0.95,high,2026-06-21
Fer-1,ATG7,curated,0.95,high,2026-06-21
Fer-1,BCL2,curated,0.95,high,2026-06-21
Fer-1,BECN1,curated,0.95,high,2026-06-21
Fer-1,CDKN1A,curated,0.95,high,2026-06-21
Fer-1,CDKN2A,curated,0.95,high,2026-06-21
Fer-1,CHAC1,curated,0.95,high,2026-06-21
Fer-1,ERN1,curated,0.95,high,2026-06-21
Fer-1,FTH1,curated,0.95,high,2026-06-21
Fer-1,FTL,curated,0.95,high,2026-06-21
Fer-1,GCLC,curated,0.95,high,2026-06-21
Fer-1,GPX4,curated,0.95,high,2026-06-21
Fer-1,GSS,curated,0.95,high,2026-06-21
Fer-1,HIF1A,curated,0.95,high,2026-06-21
Fer-1,HMGB1,curated,0.95,high,2026-06-21
Fer-1,HMOX1,curated,0.95,high,2026-06-21
Fer-1,HSPA5,curated,0.95,high,2026-06-21
Fer-1,IL1B,curated,0.95,high,2026-06-21
Fer-1,IL6,curated,0.95,high,2026-06-21
Fer-1,IREB2,curated,0.95,high,2026-06-21
Fer-1,KEAP1,curated,0.95,high,2026-06-21
