disease,gene,score,efo_id,disease_name,target_name
CIRI,CTXND1,0.3238974002333948,EFO_0003763,CIRI_cerebrovascular_disorder,cortexin domain containing 1
CIRI,CCDC192,0.32316605125123965,EFO_0003763,CIRI_cerebrovascular_disorder,coiled-coil domain containing 192
CIRI,CA2,0.3231028088819752,EFO_0003763,CIRI_cerebrovascular_disorder,carbonic anhydrase 2
CIRI,TGFBR3,0.322974609597872,EFO_0003763,CIRI_cerebrovascular_disorder,transforming growth factor beta receptor 3
CIRI,ADGRL3,0.32265144849661187,EFO_0003763,CIRI_cerebrovascular_disorder,adhesion G protein-coupled receptor L3
CIRI,RFX6,0.32239341747080724,EFO_0003763,CIRI_cerebrovascular_disorder,regulatory factor X6
CIRI,GLP1R,0.3213042201175315,EFO_0003763,CIRI_cerebrovascular_disorder,glucagon like peptide 1 receptor
CIRI,F8,0.32102285965054833,EFO_0003763,CIRI_cerebrovascular_disorder,coagulation factor VIII
CIRI,EYS,0.32052847924905775,EFO_0003763,CIRI_cerebrovascular_disorder,EGF-like photoreceptor maintenance factor
CIRI,TAFA5,0.32052269236610986,EFO_0003763,CIRI_cerebrovascular_disorder,TAFA chemokine like family member 5
CIRI,STN1,0.31966689606324633,EFO_0000712,CIRI_stroke,STN1 subunit of CST complex
CIRI,ANKRD33B,0.3195853340321677,EFO_0000712,CIRI_stroke,ankyrin repeat domain 33B
CIRI,HMCN1,0.3194699257988415,EFO_0003763,CIRI_cerebrovascular_disorder,hemicentin 1
CIRI,MKI67,0.31892448426640907,EFO_0003763,CIRI_cerebrovascular_disorder,marker of proliferation Ki-67
CIRI,FMO4,0.3187595450566568,EFO_0003763,CIRI_cerebrovascular_disorder,flavin containing dimethylaniline monoxygenase 4
CIRI,ARVCF,0.31818093434686373,EFO_0003763,CIRI_cerebrovascular_disorder,ARVCF delta catenin family member
CIRI,FAF1,0.31781591962686917,EFO_0000712,CIRI_stroke,Fas associated factor 1
CIRI,TMEM106B,0.31781549960118705,EFO_0003763,CIRI_cerebrovascular_disorder,transmembrane protein 106B
CIRI,RORA,0.317234231495772,EFO_0003763,CIRI_cerebrovascular_disorder,RAR related orphan receptor A
CIRI,ADCYAP1R1,0.31654890982550454,EFO_0003763,CIRI_cerebrovascular_disorder,ADCYAP receptor type I
CIRI,CA1,0.3165428524825444,EFO_0003763,CIRI_cerebrovascular_disorder,carbonic anhydrase 1
CIRI,SEMA5A,0.3165179069915145,EFO_0003763,CIRI_cerebrovascular_disorder,semaphorin 5A
CIRI,MYL2,0.3160648034226727,EFO_0003763,CIRI_cerebrovascular_disorder,myosin light chain 2
