mirna,gene,support_type,source,score,confidence,confidence_level,download_date
hsa-miR-133a-3p,SP1,Functional MTI,miRTarBase_10.0_SE_WR,0.9,0.9,high,2026-06-21
hsa-miR-133a-3p,ZEB1,Functional MTI,miRTarBase_10.0_SE_WR,0.9,0.9,high,2026-06-21
hsa-miR-133b,SP1,Functional MTI,miRTarBase_10.0_SE_WR,0.9,0.9,high,2026-06-21
hsa-miR-134-5p,ABCC1,Functional MTI,miRTarBase_10.0_SE_WR,0.9,0.9,high,2026-06-21
hsa-miR-135a-3p,HMOX1,Functional MTI,miRTarBase_10.0_SE_WR,0.9,0.9,high,2026-06-21
hsa-miR-135a-5p,TXNIP,Functional MTI,miRTarBase_10.0_SE_WR,0.9,0.9,high,2026-06-21
hsa-miR-135b-3p,HMOX1,Functional MTI,miRTarBase_10.0_SE_WR,0.9,0.9,high,2026-06-21
hsa-miR-135b-5p,HIF1A,Functional MTI,miRTarBase_10.0_SE_WR,0.9,0.9,high,2026-06-21
hsa-miR-137,IL6,Functional MTI,miRTarBase_10.0_SE_WR,0.9,0.9,high,2026-06-21
hsa-miR-137,PTGS2,Functional MTI,miRTarBase_10.0_SE_WR,0.9,0.9,high,2026-06-21
hsa-miR-138-5p,FOSL1,Functional MTI,miRTarBase_10.0_SE_WR,0.9,0.9,high,2026-06-21
hsa-miR-138-5p,HIF1A,Functional MTI,miRTarBase_10.0_SE_WR,0.9,0.9,high,2026-06-21
hsa-miR-138-5p,LCN2,Functional MTI,miRTarBase_10.0_SE_WR,0.9,0.9,high,2026-06-21
hsa-miR-138-5p,NLRP3,Functional MTI,miRTarBase_10.0_SE_WR,0.9,0.9,high,2026-06-21
hsa-miR-139-3p,BCL6,Functional MTI,miRTarBase_10.0_SE_WR,0.9,0.9,high,2026-06-21
hsa-miR-139-5p,ABCC1,Functional MTI,miRTarBase_10.0_SE_WR,0.9,0.9,high,2026-06-21
hsa-miR-139-5p,ZEB1,Functional MTI,miRTarBase_10.0_SE_WR,0.9,0.9,high,2026-06-21
hsa-miR-140-5p,CTSB,Functional MTI,miRTarBase_10.0_SE_WR,0.9,0.9,high,2026-06-21
hsa-miR-140-5p,TLR4,Functional MTI,miRTarBase_10.0_SE_WR,0.9,0.9,high,2026-06-21
hsa-miR-141-3p,BAP1,Functional MTI (Weak),miRTarBase_10.0_SE_WR,0.9,0.9,high,2026-06-21
hsa-miR-141-3p,E2F3,Functional MTI,miRTarBase_10.0_SE_WR,0.9,0.9,high,2026-06-21
hsa-miR-141-3p,KEAP1,Functional MTI,miRTarBase_10.0_SE_WR,0.9,0.9,high,2026-06-21
hsa-miR-141-3p,MAPK14,Functional MTI,miRTarBase_10.0_SE_WR,0.9,0.9,high,2026-06-21
hsa-miR-141-3p,NLRP3,Functional MTI,miRTarBase_10.0_SE_WR,0.9,0.9,high,2026-06-21
hsa-miR-141-3p,TXNIP,Functional MTI,miRTarBase_10.0_SE_WR,0.9,0.9,high,2026-06-21
hsa-miR-141-3p,YAP1,Functional MTI,miRTarBase_10.0_SE_WR,0.9,0.9,high,2026-06-21
hsa-miR-141-3p,ZEB1,Functional MTI,miRTarBase_10.0_SE_WR,0.9,0.9,high,2026-06-21
hsa-miR-142-3p,HMGB1,Functional MTI,miRTarBase_10.0_SE_WR,0.9,0.9,high,2026-06-21
hsa-miR-142-3p,ZEB1,Functional MTI,miRTarBase_10.0_SE_WR,0.9,0.9,high,2026-06-21
hsa-miR-142-5p,HIF1A,Functional MTI,miRTarBase_10.0_SE_WR,0.9,0.9,high,2026-06-21
hsa-miR-142-5p,SOCS1,Functional MTI,miRTarBase_10.0_SE_WR,0.9,0.9,high,2026-06-21
hsa-miR-142-5p,ZEB1,Functional MTI,miRTarBase_10.0_SE_WR,0.9,0.9,high,2026-06-21
hsa-miR-143-3p,PTGS2,Functional MTI,miRTarBase_10.0_SE_WR,0.9,0.9,high,2026-06-21
hsa-miR-144-3p,BCL6,Functional MTI,miRTarBase_10.0_SE_WR,0.9,0.9,high,2026-06-21
hsa-miR-144-3p,PTGS2,Functional MTI,miRTarBase_10.0_SE_WR,0.9,0.9,high,2026-06-21
