celltype,gene,species,source
Bergmann glia,PROTEIN-CODING GENE,Mus musculus,PanglaoDB
Bergmann glia,PROTEIN-CODING GENE,Mus musculus,PanglaoDB
Bergmann glia,PROTEIN-CODING GENE,Mus musculus,PanglaoDB
Bergmann glia,PROTEIN-CODING GENE,Mus musculus,PanglaoDB
Bergmann glia,PROTEIN-CODING GENE,Mus musculus,PanglaoDB
Bergmann glia,PROTEIN-CODING GENE,Mus musculus,PanglaoDB
Bergmann glia,PROTEIN-CODING GENE,Mus musculus,PanglaoDB
Bergmann glia,PROTEIN-CODING GENE,Mus musculus,PanglaoDB
Bergmann glia,PROTEIN-CODING GENE,Mus musculus,PanglaoDB
Bergmann glia,PROTEIN-CODING GENE,Mus musculus,PanglaoDB
Bergmann glia,PROTEIN-CODING GENE,Mus musculus,PanglaoDB
Bergmann glia,PROTEIN-CODING GENE,Mus musculus,PanglaoDB
Bergmann glia,PROTEIN-CODING GENE,Mus musculus,PanglaoDB
Bergmann glia,PROTEIN-CODING GENE,Mus musculus,PanglaoDB
Bergmann glia,PROTEIN-CODING GENE,Mus musculus,PanglaoDB
Bergmann glia,PROTEIN-CODING GENE,Mus musculus,PanglaoDB
Bergmann glia,PROTEIN-CODING GENE,Mus musculus,PanglaoDB
Bergmann glia,PROTEIN-CODING GENE,Mus musculus,PanglaoDB
Bergmann glia,PROTEIN-CODING GENE,Mus musculus,PanglaoDB
Bergmann glia,PROTEIN-CODING GENE,Mus musculus,PanglaoDB
Bergmann glia,PROTEIN-CODING GENE,Mus musculus,PanglaoDB
Bergmann glia,PROTEIN-CODING GENE,Mus musculus,PanglaoDB
Bergmann glia,PROTEIN-CODING GENE,Mus musculus,PanglaoDB
Bergmann glia,PROTEIN-CODING GENE,Mus musculus,PanglaoDB
Bergmann glia,PROTEIN-CODING GENE,Mus musculus,PanglaoDB
Bergmann glia,PROTEIN-CODING GENE,Mus musculus,PanglaoDB
Bergmann glia,PROTEIN-CODING GENE,Mus musculus,PanglaoDB
Bergmann glia,PROTEIN-CODING GENE,Mus musculus,PanglaoDB
Bergmann glia,PROTEIN-CODING GENE,Mus musculus,PanglaoDB
Bergmann glia,PROTEIN-CODING GENE,Mus musculus,PanglaoDB
Bergmann glia,PROTEIN-CODING GENE,Mus musculus,PanglaoDB
Bergmann glia,PROTEIN-CODING GENE,Mus musculus,PanglaoDB
Bergmann glia,PROTEIN-CODING GENE,Mus musculus,PanglaoDB
Bergmann glia,PROTEIN-CODING GENE,Mus musculus,PanglaoDB
Bergmann glia,PROTEIN-CODING GENE,Mus musculus,PanglaoDB
Bergmann glia,PROTEIN-CODING GENE,Mus musculus,PanglaoDB
Bergmann glia,PROTEIN-CODING GENE,Mus musculus,PanglaoDB
Bergmann glia,PROTEIN-CODING GENE,Mus musculus,PanglaoDB
Bergmann glia,PROTEIN-CODING GENE,Mus musculus,PanglaoDB
Bergmann glia,PROTEIN-CODING GENE,Mus musculus,PanglaoDB
Bergmann glia,PROTEIN-CODING GENE,Mus musculus,PanglaoDB
Cholinergic neurons,PROTEIN-CODING GENE,Mus musculus,PanglaoDB
Cholinergic neurons,PROTEIN-CODING GENE,Mus musculus,PanglaoDB
Cholinergic neurons,PROTEIN-CODING GENE,Mus musculus,PanglaoDB
Cholinergic neurons,PROTEIN-CODING GENE,Mus musculus,PanglaoDB
Cholinergic neurons,PROTEIN-CODING GENE,Mus musculus,PanglaoDB
Cholinergic neurons,PROTEIN-CODING GENE,Mus musculus,PanglaoDB
Cholinergic neurons,PROTEIN-CODING GENE,Mus musculus,PanglaoDB
Dopaminergic neurons,PROTEIN-CODING GENE,Mus musculus,PanglaoDB
Dopaminergic neurons,PROTEIN-CODING GENE,Mus musculus,PanglaoDB
Dopaminergic neurons,PROTEIN-CODING GENE,Mus musculus,PanglaoDB
Dopaminergic neurons,PROTEIN-CODING GENE,Mus musculus,PanglaoDB
Dopaminergic neurons,PROTEIN-CODING GENE,Mus musculus,PanglaoDB
Dopaminergic neurons,PROTEIN-CODING GENE,Mus musculus,PanglaoDB
Dopaminergic neurons,PROTEIN-CODING GENE,Mus musculus,PanglaoDB
Dopaminergic neurons,PROTEIN-CODING GENE,Mus musculus,PanglaoDB
Dopaminergic neurons,PROTEIN-CODING GENE,Mus musculus,PanglaoDB
Dopaminergic neurons,PROTEIN-CODING GENE,Mus musculus,PanglaoDB
Dopaminergic neurons,PROTEIN-CODING GENE,Mus musculus,PanglaoDB
Dopaminergic neurons,PROTEIN-CODING GENE,Mus musculus,PanglaoDB
Dopaminergic neurons,PROTEIN-CODING GENE,Mus musculus,PanglaoDB
Dopaminergic neurons,PROTEIN-CODING GENE,Mus musculus,PanglaoDB
Dopaminergic neurons,PROTEIN-CODING GENE,Mus musculus,PanglaoDB
Dopaminergic neurons,PROTEIN-CODING GENE,Mus musculus,PanglaoDB
Dopaminergic neurons,PROTEIN-CODING GENE,Mus musculus,PanglaoDB
Dopaminergic neurons,PROTEIN-CODING GENE,Mus musculus,PanglaoDB
Dopaminergic neurons,PROTEIN-CODING GENE,Mus musculus,PanglaoDB
Dopaminergic neurons,PROTEIN-CODING GENE,Mus musculus,PanglaoDB
Endothelial cells,PROTEIN-CODING GENE,Mus musculus,PanglaoDB
Endothelial cells,PROTEIN-CODING GENE,Mus musculus,PanglaoDB
Endothelial cells,PROTEIN-CODING GENE,Mus musculus,PanglaoDB
Endothelial cells,PROTEIN-CODING GENE,Mus musculus,PanglaoDB
Endothelial cells,PROTEIN-CODING GENE,Mus musculus,PanglaoDB
Endothelial cells,PROTEIN-CODING GENE,Mus musculus,PanglaoDB
Endothelial cells,PROTEIN-CODING GENE,Mus musculus,PanglaoDB
Endothelial cells,PROTEIN-CODING GENE,Mus musculus,PanglaoDB
Endothelial cells,PROTEIN-CODING GENE,Mus musculus,PanglaoDB
Endothelial cells,PROTEIN-CODING GENE,Mus musculus,PanglaoDB
Endothelial cells,PROTEIN-CODING GENE,Mus musculus,PanglaoDB
Endothelial cells,PROTEIN-CODING GENE,Mus musculus,PanglaoDB
Endothelial cells,PROTEIN-CODING GENE,Mus musculus,PanglaoDB
Endothelial cells,PROTEIN-CODING GENE,Mus musculus,PanglaoDB
Endothelial cells,PROTEIN-CODING GENE,Mus musculus,PanglaoDB
Endothelial cells,PROTEIN-CODING GENE,Mus musculus,PanglaoDB
Endothelial cells,PROTEIN-CODING GENE,Mus musculus,PanglaoDB
Endothelial cells,PROTEIN-CODING GENE,Mus musculus,PanglaoDB
Endothelial cells,PROTEIN CODING GENE,Mus musculus,PanglaoDB
