celltype,gene,species,source
Endothelial cells (aorta),PROTEIN-CODING GENE,Mus musculus,PanglaoDB
Endothelial cells (aorta),PROTEIN-CODING GENE,Mus musculus,PanglaoDB
Endothelial cells (aorta),PROTEIN-CODING GENE,Mus musculus,PanglaoDB
Endothelial cells (aorta),PROTEIN-CODING GENE,Mus musculus,PanglaoDB
Endothelial cells (aorta),PROTEIN-CODING GENE,Mus musculus,PanglaoDB
Endothelial cells (aorta),PROTEIN-CODING GENE,Mus musculus,PanglaoDB
Endothelial cells (aorta),PROTEIN-CODING GENE,Mus musculus,PanglaoDB
Endothelial cells (aorta),PROTEIN-CODING GENE,Mus musculus,PanglaoDB
Endothelial cells (aorta),PROTEIN-CODING GENE,Mus musculus,PanglaoDB
Endothelial cells (aorta),PROTEIN-CODING GENE,Mus musculus,PanglaoDB
Endothelial cells (aorta),PROTEIN-CODING GENE,Mus musculus,PanglaoDB
Endothelial cells (aorta),PROTEIN-CODING GENE,Mus musculus,PanglaoDB
Endothelial cells (aorta),PROTEIN-CODING GENE,Mus musculus,PanglaoDB
Endothelial cells (aorta),PROTEIN-CODING GENE,Mus musculus,PanglaoDB
Endothelial cells (aorta),PROTEIN-CODING GENE,Mus musculus,PanglaoDB
Endothelial cells (aorta),PROTEIN-CODING GENE,Mus musculus,PanglaoDB
Endothelial cells (aorta),PROTEIN-CODING GENE,Mus musculus,PanglaoDB
Endothelial cells (aorta),PROTEIN-CODING GENE,Mus musculus,PanglaoDB
Endothelial cells (aorta),PROTEIN-CODING GENE,Mus musculus,PanglaoDB
Endothelial cells (aorta),PROTEIN-CODING GENE,Mus musculus,PanglaoDB
Endothelial cells (aorta),PROTEIN-CODING GENE,Mus musculus,PanglaoDB
Endothelial cells (aorta),PROTEIN-CODING GENE,Mus musculus,PanglaoDB
Endothelial cells (aorta),PROTEIN-CODING GENE,Mus musculus,PanglaoDB
Endothelial cells (aorta),PROTEIN-CODING GENE,Mus musculus,PanglaoDB
Endothelial cells (aorta),PROTEIN-CODING GENE,Mus musculus,PanglaoDB
Endothelial cells (aorta),PROTEIN-CODING GENE,Mus musculus,PanglaoDB
Endothelial cells (aorta),PROTEIN-CODING GENE,Mus musculus,PanglaoDB
Endothelial cells (aorta),PROTEIN-CODING GENE,Mus musculus,PanglaoDB
Endothelial cells (aorta),PROTEIN-CODING GENE,Mus musculus,PanglaoDB
Endothelial cells (aorta),PROTEIN-CODING GENE,Mus musculus,PanglaoDB
Endothelial cells (aorta),PROTEIN-CODING GENE,Mus musculus,PanglaoDB
Endothelial cells (aorta),PROTEIN-CODING GENE,Mus musculus,PanglaoDB
Endothelial cells (aorta),PROTEIN-CODING GENE,Mus musculus,PanglaoDB
Endothelial cells (aorta),PROTEIN-CODING GENE,Mus musculus,PanglaoDB
Endothelial cells (aorta),PROTEIN-CODING GENE,Mus musculus,PanglaoDB
Endothelial cells (aorta),PROTEIN-CODING GENE,Mus musculus,PanglaoDB
Endothelial cells (aorta),PROTEIN-CODING GENE,Mus musculus,PanglaoDB
Endothelial cells (aorta),PROTEIN-CODING GENE,Mus musculus,PanglaoDB
Endothelial cells (aorta),PROTEIN-CODING GENE,Mus musculus,PanglaoDB
Endothelial cells (aorta),PROTEIN CODING GENE,Mus musculus,PanglaoDB
Endothelial cells (aorta),PROTEIN-CODING GENE,Mus musculus,PanglaoDB
Endothelial cells (aorta),PROTEIN-CODING GENE,Mus musculus,PanglaoDB
Endothelial cells (aorta),PROTEIN-CODING GENE,Mus musculus,PanglaoDB
Endothelial cells (aorta),PROTEIN-CODING GENE,Mus musculus,PanglaoDB
Endothelial cells (aorta),PROTEIN-CODING GENE,Mus musculus,PanglaoDB
Endothelial cells (aorta),PROTEIN-CODING GENE,Mus musculus,PanglaoDB
Endothelial cells (aorta),PROTEIN-CODING GENE,Mus musculus,PanglaoDB
Endothelial cells (aorta),PROTEIN-CODING GENE,Mus musculus,PanglaoDB
Endothelial cells (aorta),PROTEIN CODING GENE,Mus musculus,PanglaoDB
Endothelial cells (aorta),PROTEIN CODING GENE,Mus musculus,PanglaoDB
Endothelial cells (aorta),PROTEIN-CODING GENE,Mus musculus,PanglaoDB
Endothelial cells (aorta),PROTEIN-CODING GENE,Mus musculus,PanglaoDB
Endothelial cells (aorta),PROTEIN-CODING GENE,Mus musculus,PanglaoDB
Endothelial cells (aorta),PROTEIN-CODING GENE,Mus musculus,PanglaoDB
Endothelial cells (aorta),PROTEIN-CODING GENE,Mus musculus,PanglaoDB
Endothelial cells (aorta),PROTEIN-CODING GENE,Mus musculus,PanglaoDB
Endothelial cells (aorta),PROTEIN-CODING GENE,Mus musculus,PanglaoDB
Endothelial cells (aorta),PROTEIN-CODING GENE,Mus musculus,PanglaoDB
Endothelial cells (aorta),PROTEIN-CODING GENE,Mus musculus,PanglaoDB
Endothelial cells (aorta),PROTEIN-CODING GENE,Mus musculus,PanglaoDB
Endothelial cells (aorta),PROTEIN-CODING GENE,Mus musculus,PanglaoDB
Endothelial cells (aorta),PROTEIN-CODING GENE,Mus musculus,PanglaoDB
Endothelial cells (aorta),PROTEIN-CODING GENE,Mus musculus,PanglaoDB
Endothelial cells (aorta),PROTEIN-CODING GENE,Mus musculus,PanglaoDB
Endothelial cells (aorta),PROTEIN-CODING GENE,Mus musculus,PanglaoDB
Endothelial cells (aorta),PROTEIN-CODING GENE,Mus musculus,PanglaoDB
Endothelial cells (aorta),PROTEIN-CODING GENE,Mus musculus,PanglaoDB
Endothelial cells (aorta),PROTEIN-CODING GENE,Mus musculus,PanglaoDB
Endothelial cells (aorta),PROTEIN-CODING GENE,Mus musculus,PanglaoDB
Endothelial cells (aorta),PROTEIN-CODING GENE,Mus musculus,PanglaoDB
Endothelial cells (aorta),PROTEIN CODING GENE,Mus musculus,PanglaoDB
Endothelial cells (aorta),PROTEIN-CODING GENE,Mus musculus,PanglaoDB
Endothelial cells (aorta),PROTEIN-CODING GENE,Mus musculus,PanglaoDB
Endothelial cells (blood brain barrier),PROTEIN-CODING GENE,Mus musculus,PanglaoDB
Endothelial cells (blood brain barrier),PROTEIN-CODING GENE,Mus musculus,PanglaoDB
Endothelial cells (blood brain barrier),PROTEIN-CODING GENE,Mus musculus,PanglaoDB
Endothelial cells (blood brain barrier),PROTEIN-CODING GENE,Mus musculus,PanglaoDB
Endothelial cells (blood brain barrier),PROTEIN-CODING GENE,Mus musculus,PanglaoDB
Endothelial cells (blood brain barrier),PROTEIN-CODING GENE,Mus musculus,PanglaoDB
Endothelial cells (blood brain barrier),PROTEIN-CODING GENE,Mus musculus,PanglaoDB
Endothelial cells (blood brain barrier),PROTEIN-CODING GENE,Mus musculus,PanglaoDB
Endothelial cells (blood brain barrier),PROTEIN-CODING GENE,Mus musculus,PanglaoDB
Endothelial cells (blood brain barrier),PROTEIN-CODING GENE,Mus musculus,PanglaoDB
Endothelial cells (blood brain barrier),PROTEIN-CODING GENE,Mus musculus,PanglaoDB
Endothelial cells (blood brain barrier),PROTEIN-CODING GENE,Mus musculus,PanglaoDB
Endothelial cells (blood brain barrier),PROTEIN-CODING GENE,Mus musculus,PanglaoDB
Endothelial cells (blood brain barrier),PROTEIN-CODING GENE,Mus musculus,PanglaoDB
Endothelial cells (blood brain barrier),PROTEIN CODING GENE,Mus musculus,PanglaoDB
Endothelial cells (blood brain barrier),PROTEIN-CODING GENE,Mus musculus,PanglaoDB
Endothelial cells (blood brain barrier),PROTEIN-CODING GENE,Mus musculus,PanglaoDB
Enteric neurons,PROTEIN-CODING GENE,Mus musculus,PanglaoDB
Enteric neurons,PROTEIN-CODING GENE,Mus musculus,PanglaoDB
Enteric neurons,PROTEIN-CODING GENE,Mus musculus,PanglaoDB
Enteric neurons,PROTEIN-CODING GENE,Mus musculus,PanglaoDB
Enteric neurons,PROTEIN-CODING GENE,Mus musculus,PanglaoDB
Enteric neurons,PROTEIN-CODING GENE,Mus musculus,PanglaoDB
Enteric neurons,PROTEIN-CODING GENE,Mus musculus,PanglaoDB
Enteric neurons,PROTEIN-CODING GENE,Mus musculus,PanglaoDB
Enteric neurons,PROTEIN-CODING GENE,Mus musculus,PanglaoDB
Enteric neurons,PROTEIN-CODING GENE,Mus musculus,PanglaoDB
Enteric neurons,PROTEIN-CODING GENE,Mus musculus,PanglaoDB
Enteric neurons,PROTEIN-CODING GENE,Mus musculus,PanglaoDB
Enteric neurons,PROTEIN-CODING GENE,Mus musculus,PanglaoDB
Enteric neurons,PROTEIN-CODING GENE,Mus musculus,PanglaoDB
Enteric neurons,PROTEIN-CODING GENE,Mus musculus,PanglaoDB
Enteric neurons,PROTEIN-CODING GENE,Mus musculus,PanglaoDB
Enteric neurons,PROTEIN-CODING GENE,Mus musculus,PanglaoDB
Enteric neurons,PROTEIN-CODING GENE,Mus musculus,PanglaoDB
Enteric neurons,PROTEIN-CODING GENE,Mus musculus,PanglaoDB
Enteric neurons,PROTEIN-CODING GENE,Mus musculus,PanglaoDB
Enteric neurons,PROTEIN-CODING GENE,Mus musculus,PanglaoDB
Enteric neurons,PROTEIN-CODING GENE,Mus musculus,PanglaoDB
Enteric neurons,PROTEIN-CODING GENE,Mus musculus,PanglaoDB
Enteric neurons,PROTEIN-CODING GENE,Mus musculus,PanglaoDB
Enteric neurons,PROTEIN-CODING GENE,Mus musculus,PanglaoDB
Enteric neurons,PROTEIN-CODING GENE,Mus musculus,PanglaoDB
Enteric neurons,PROTEIN-CODING GENE,Mus musculus,PanglaoDB
Enteric neurons,PROTEIN-CODING GENE,Mus musculus,PanglaoDB
Enteric neurons,PROTEIN-CODING GENE,Mus musculus,PanglaoDB
Enteric neurons,PROTEIN-CODING GENE,Mus musculus,PanglaoDB
Enteric neurons,PROTEIN-CODING GENE,Mus musculus,PanglaoDB
Enteric neurons,PROTEIN-CODING GENE,Mus musculus,PanglaoDB
Enteric neurons,PROTEIN-CODING GENE,Mus musculus,PanglaoDB
Enteric neurons,PROTEIN-CODING GENE,Mus musculus,PanglaoDB
Enteric neurons,PROTEIN-CODING GENE,Mus musculus,PanglaoDB
Enteric neurons,PROTEIN-CODING GENE,Mus musculus,PanglaoDB
Enteric neurons,PROTEIN-CODING GENE,Mus musculus,PanglaoDB
Enteric neurons,PROTEIN-CODING GENE,Mus musculus,PanglaoDB
Enteric neurons,PROTEIN-CODING GENE,Mus musculus,PanglaoDB
Enteric neurons,PROTEIN-CODING GENE,Mus musculus,PanglaoDB
Enteric neurons,PROTEIN-CODING GENE,Mus musculus,PanglaoDB
Enteric neurons,PROTEIN-CODING GENE,Mus musculus,PanglaoDB
Enteric neurons,PROTEIN-CODING GENE,Mus musculus,PanglaoDB
Enteric neurons,PROTEIN-CODING GENE,Mus musculus,PanglaoDB
Enteric neurons,PROTEIN-CODING GENE,Mus musculus,PanglaoDB
Enteric neurons,PROTEIN-CODING GENE,Mus musculus,PanglaoDB
Enteric neurons,PROTEIN-CODING GENE,Mus musculus,PanglaoDB
Enteric neurons,PROTEIN-CODING GENE,Mus musculus,PanglaoDB
Enteric neurons,PROTEIN-CODING GENE,Mus musculus,PanglaoDB
Enteric neurons,PROTEIN-CODING GENE,Mus musculus,PanglaoDB
Enteric neurons,PROTEIN-CODING GENE,Mus musculus,PanglaoDB
Enteric neurons,PROTEIN-CODING GENE,Mus musculus,PanglaoDB
Enteric neurons,PROTEIN-CODING GENE,Mus musculus,PanglaoDB
Enteric neurons,PROTEIN-CODING GENE,Mus musculus,PanglaoDB
Enteric neurons,PROTEIN-CODING GENE,Mus musculus,PanglaoDB
Enteric neurons,PROTEIN-CODING GENE,Mus musculus,PanglaoDB
Enteric neurons,PROTEIN-CODING GENE,Mus musculus,PanglaoDB
Enteric neurons,PROTEIN-CODING GENE,Mus musculus,PanglaoDB
Enteric neurons,PROTEIN-CODING GENE,Mus musculus,PanglaoDB
Enteric neurons,PROTEIN-CODING GENE,Mus musculus,PanglaoDB
Enteric neurons,PROTEIN-CODING GENE,Mus musculus,PanglaoDB
Enteric neurons,PROTEIN-CODING GENE,Mus musculus,PanglaoDB
Enteric neurons,PROTEIN-CODING GENE,Mus musculus,PanglaoDB
Enteric neurons,PROTEIN-CODING GENE,Mus musculus,PanglaoDB
Enteric neurons,PROTEIN-CODING GENE,Mus musculus,PanglaoDB
Enteric neurons,PROTEIN-CODING GENE,Mus musculus,PanglaoDB
Enteric neurons,PROTEIN-CODING GENE,Mus musculus,PanglaoDB
Enteric neurons,PROTEIN-CODING GENE,Mus musculus,PanglaoDB
Enteric neurons,PROTEIN-CODING GENE,Mus musculus,PanglaoDB
Ependymal cells,PROTEIN-CODING GENE,Mus musculus,PanglaoDB
Ependymal cells,PROTEIN-CODING GENE,Mus musculus,PanglaoDB
Ependymal cells,PROTEIN-CODING GENE,Mus musculus,PanglaoDB
Ependymal cells,PROTEIN-CODING GENE,Mus musculus,PanglaoDB
Ependymal cells,PROTEIN CODING GENE,Mus musculus,PanglaoDB
Ependymal cells,PROTEIN-CODING GENE,Mus musculus,PanglaoDB
Ependymal cells,PROTEIN-CODING GENE,Mus musculus,PanglaoDB
Ependymal cells,PROTEIN-CODING GENE,Mus musculus,PanglaoDB
Ependymal cells,PROTEIN-CODING GENE,Mus musculus,PanglaoDB
Ependymal cells,PROTEIN-CODING GENE,Mus musculus,PanglaoDB
Ependymal cells,PROTEIN-CODING GENE,Mus musculus,PanglaoDB
Ependymal cells,PROTEIN-CODING GENE,Mus musculus,PanglaoDB
Ependymal cells,PROTEIN-CODING GENE,Mus musculus,PanglaoDB
Ependymal cells,PROTEIN-CODING GENE,Mus musculus,PanglaoDB
Ependymal cells,PROTEIN-CODING GENE,Mus musculus,PanglaoDB
Ependymal cells,PROTEIN-CODING GENE,Mus musculus,PanglaoDB
Ependymal cells,PROTEIN-CODING GENE,Mus musculus,PanglaoDB
Ependymal cells,PROTEIN CODING GENE,Mus musculus,PanglaoDB
Ependymal cells,PROTEIN-CODING GENE,Mus musculus,PanglaoDB
Ependymal cells,PROTEIN-CODING GENE,Mus musculus,PanglaoDB
Ependymal cells,PROTEIN-CODING GENE,Mus musculus,PanglaoDB
Ependymal cells,PROTEIN-CODING GENE,Mus musculus,PanglaoDB
Ependymal cells,PROTEIN-CODING GENE,Mus musculus,PanglaoDB
Ependymal cells,PROTEIN-CODING GENE,Mus musculus,PanglaoDB
Ependymal cells,PROTEIN-CODING GENE,Mus musculus,PanglaoDB
Ependymal cells,PROTEIN-CODING GENE,Mus musculus,PanglaoDB
Ependymal cells,PROTEIN-CODING GENE,Mus musculus,PanglaoDB
Ependymal cells,PROTEIN-CODING GENE,Mus musculus,PanglaoDB
Ependymal cells,PROTEIN-CODING GENE,Mus musculus,PanglaoDB
Ependymal cells,PROTEIN-CODING GENE,Mus musculus,PanglaoDB
Ependymal cells,PROTEIN-CODING GENE,Mus musculus,PanglaoDB
Ependymal cells,PROTEIN-CODING GENE,Mus musculus,PanglaoDB
Ependymal cells,PROTEIN-CODING GENE,Mus musculus,PanglaoDB
Ependymal cells,PROTEIN-CODING GENE,Mus musculus,PanglaoDB
Ependymal cells,PROTEIN-CODING GENE,Mus musculus,PanglaoDB
Ependymal cells,PROTEIN CODING GENE,Mus musculus,PanglaoDB
Ependymal cells,PROTEIN-CODING GENE,Mus musculus,PanglaoDB
Ependymal cells,PROTEIN-CODING GENE,Mus musculus,PanglaoDB
Ependymal cells,PROTEIN-CODING GENE,Mus musculus,PanglaoDB
Ependymal cells,PROTEIN-CODING GENE,Mus musculus,PanglaoDB
Ependymal cells,PROTEIN-CODING GENE,Mus musculus,PanglaoDB
Ependymal cells,PROTEIN-CODING GENE,Mus musculus,PanglaoDB
Ependymal cells,PROTEIN-CODING GENE,Mus musculus,PanglaoDB
Ependymal cells,PROTEIN-CODING GENE,Mus musculus,PanglaoDB
Ependymal cells,PROTEIN-CODING GENE,Mus musculus,PanglaoDB
Ependymal cells,PROTEIN-CODING GENE,Mus musculus,PanglaoDB
Ependymal cells,PROTEIN-CODING GENE,Mus musculus,PanglaoDB
Ependymal cells,PROTEIN-CODING GENE,Mus musculus,PanglaoDB
Ependymal cells,PROTEIN-CODING GENE,Mus musculus,PanglaoDB
Ependymal cells,PROTEIN-CODING GENE,Mus musculus,PanglaoDB
Ependymal cells,PROTEIN-CODING GENE,Mus musculus,PanglaoDB
Ependymal cells,PROTEIN-CODING GENE,Mus musculus,PanglaoDB
Ependymal cells,PROTEIN-CODING GENE,Mus musculus,PanglaoDB
Ependymal cells,PROTEIN-CODING GENE,Mus musculus,PanglaoDB
Ependymal cells,PROTEIN-CODING GENE,Mus musculus,PanglaoDB
Ependymal cells,PROTEIN-CODING GENE,Mus musculus,PanglaoDB
Ependymal cells,PROTEIN-CODING GENE,Mus musculus,PanglaoDB
Ependymal cells,PROTEIN-CODING GENE,Mus musculus,PanglaoDB
Ependymal cells,PROTEIN-CODING GENE,Mus musculus,PanglaoDB
GABAergic neurons,PROTEIN-CODING GENE,Mus musculus,PanglaoDB
GABAergic neurons,PROTEIN-CODING GENE,Mus musculus,PanglaoDB
GABAergic neurons,PROTEIN-CODING GENE,Mus musculus,PanglaoDB
GABAergic neurons,PROTEIN-CODING GENE,Mus musculus,PanglaoDB
GABAergic neurons,PROTEIN-CODING GENE,Mus musculus,PanglaoDB
GABAergic neurons,PROTEIN-CODING GENE,Mus musculus,PanglaoDB
GABAergic neurons,PROTEIN-CODING GENE,Mus musculus,PanglaoDB
GABAergic neurons,PROTEIN-CODING GENE,Mus musculus,PanglaoDB
GABAergic neurons,PROTEIN-CODING GENE,Mus musculus,PanglaoDB
GABAergic neurons,PROTEIN-CODING GENE,Mus musculus,PanglaoDB
GABAergic neurons,PROTEIN-CODING GENE,Mus musculus,PanglaoDB
GABAergic neurons,PROTEIN-CODING GENE,Mus musculus,PanglaoDB
GABAergic neurons,PROTEIN-CODING GENE,Mus musculus,PanglaoDB
GABAergic neurons,PROTEIN-CODING GENE,Mus musculus,PanglaoDB
GABAergic neurons,PROTEIN-CODING GENE,Mus musculus,PanglaoDB
Glutaminergic neurons,PROTEIN-CODING GENE,Mus musculus,PanglaoDB
Glutaminergic neurons,PROTEIN-CODING GENE,Mus musculus,PanglaoDB
Glutaminergic neurons,PROTEIN-CODING GENE,Mus musculus,PanglaoDB
Glutaminergic neurons,PROTEIN-CODING GENE,Mus musculus,PanglaoDB
Glutaminergic neurons,PROTEIN-CODING GENE,Mus musculus,PanglaoDB
Glutaminergic neurons,PROTEIN-CODING GENE,Mus musculus,PanglaoDB
Glutaminergic neurons,PROTEIN-CODING GENE,Mus musculus,PanglaoDB
Glutaminergic neurons,PROTEIN-CODING GENE,Mus musculus,PanglaoDB
Glutaminergic neurons,PROTEIN-CODING GENE,Mus musculus,PanglaoDB
Glutaminergic neurons,PROTEIN-CODING GENE,Mus musculus,PanglaoDB
Glycinergic neurons,PROTEIN-CODING GENE,Mus musculus,PanglaoDB
Glycinergic neurons,PROTEIN-CODING GENE,Mus musculus,PanglaoDB
Immature neurons,PROTEIN-CODING GENE,Mus musculus,PanglaoDB
Immature neurons,PROTEIN-CODING GENE,Mus musculus,PanglaoDB
Immature neurons,PROTEIN-CODING GENE,Mus musculus,PanglaoDB
Immature neurons,PROTEIN-CODING GENE,Mus musculus,PanglaoDB
Immature neurons,PROTEIN-CODING GENE,Mus musculus,PanglaoDB
Immature neurons,PROTEIN-CODING GENE,Mus musculus,PanglaoDB
Immature neurons,PROTEIN-CODING GENE,Mus musculus,PanglaoDB
Immature neurons,PROTEIN-CODING GENE,Mus musculus,PanglaoDB
Immature neurons,PROTEIN-CODING GENE,Mus musculus,PanglaoDB
Immature neurons,PROTEIN-CODING GENE,Mus musculus,PanglaoDB
Immature neurons,PROTEIN-CODING GENE,Mus musculus,PanglaoDB
Immature neurons,PROTEIN-CODING GENE,Mus musculus,PanglaoDB
Immature neurons,PROTEIN-CODING GENE,Mus musculus,PanglaoDB
Immature neurons,PROTEIN-CODING GENE,Mus musculus,PanglaoDB
Immature neurons,PROTEIN-CODING GENE,Mus musculus,PanglaoDB
Immature neurons,PROTEIN-CODING GENE,Mus musculus,PanglaoDB
Immature neurons,PROTEIN-CODING GENE,Mus musculus,PanglaoDB
Immature neurons,PROTEIN-CODING GENE,Mus musculus,PanglaoDB
Immature neurons,PROTEIN-CODING GENE,Mus musculus,PanglaoDB
Immature neurons,PROTEIN-CODING GENE,Mus musculus,PanglaoDB
Immature neurons,PROTEIN-CODING GENE,Mus musculus,PanglaoDB
Immature neurons,PROTEIN-CODING GENE,Mus musculus,PanglaoDB
Immature neurons,PROTEIN-CODING GENE,Mus musculus,PanglaoDB
Immature neurons,PROTEIN-CODING GENE,Mus musculus,PanglaoDB
Immature neurons,PROTEIN-CODING GENE,Mus musculus,PanglaoDB
Immature neurons,PROTEIN-CODING GENE,Mus musculus,PanglaoDB
Immature neurons,PROTEIN-CODING GENE,Mus musculus,PanglaoDB
Immature neurons,PROTEIN-CODING GENE,Mus musculus,PanglaoDB
Immature neurons,PROTEIN-CODING GENE,Mus musculus,PanglaoDB
Immature neurons,PROTEIN-CODING GENE,Mus musculus,PanglaoDB
Immature neurons,PROTEIN-CODING GENE,Mus musculus,PanglaoDB
Immature neurons,PROTEIN-CODING GENE,Mus musculus,PanglaoDB
Immature neurons,PROTEIN-CODING GENE,Mus musculus,PanglaoDB
Immature neurons,PROTEIN-CODING GENE,Mus musculus,PanglaoDB
Immature neurons,PROTEIN-CODING GENE,Mus musculus,PanglaoDB
Immature neurons,PROTEIN-CODING GENE,Mus musculus,PanglaoDB
Immature neurons,PROTEIN-CODING GENE,Mus musculus,PanglaoDB
Immature neurons,PROTEIN-CODING GENE,Mus musculus,PanglaoDB
Interneurons,PROTEIN-CODING GENE,Mus musculus,PanglaoDB
Interneurons,PROTEIN-CODING GENE,Mus musculus,PanglaoDB
Interneurons,PROTEIN-CODING GENE,Mus musculus,PanglaoDB
Interneurons,PROTEIN-CODING GENE,Mus musculus,PanglaoDB
Interneurons,PROTEIN-CODING GENE,Mus musculus,PanglaoDB
Interneurons,PROTEIN-CODING GENE,Mus musculus,PanglaoDB
Interneurons,PROTEIN-CODING GENE,Mus musculus,PanglaoDB
Interneurons,PROTEIN-CODING GENE,Mus musculus,PanglaoDB
Interneurons,PROTEIN-CODING GENE,Mus musculus,PanglaoDB
Interneurons,PROTEIN-CODING GENE,Mus musculus,PanglaoDB
Interneurons,PROTEIN-CODING GENE,Mus musculus,PanglaoDB
Interneurons,PROTEIN-CODING GENE,Mus musculus,PanglaoDB
Interneurons,PROTEIN-CODING GENE,Mus musculus,PanglaoDB
Interneurons,PROTEIN-CODING GENE,Mus musculus,PanglaoDB
Interneurons,PROTEIN-CODING GENE,Mus musculus,PanglaoDB
Interneurons,PROTEIN-CODING GENE,Mus musculus,PanglaoDB
Interneurons,PROTEIN-CODING GENE,Mus musculus,PanglaoDB
Interneurons,PROTEIN-CODING GENE,Mus musculus,PanglaoDB
Interneurons,PROTEIN-CODING GENE,Mus musculus,PanglaoDB
Interneurons,PROTEIN-CODING GENE,Mus musculus,PanglaoDB
Interneurons,PROTEIN-CODING GENE,Mus musculus,PanglaoDB
Interneurons,PROTEIN-CODING GENE,Mus musculus,PanglaoDB
Interneurons,PROTEIN-CODING GENE,Mus musculus,PanglaoDB
Interneurons,PROTEIN-CODING GENE,Mus musculus,PanglaoDB
Interneurons,PROTEIN-CODING GENE,Mus musculus,PanglaoDB
Interneurons,PROTEIN-CODING GENE,Mus musculus,PanglaoDB
Interneurons,PROTEIN-CODING GENE,Mus musculus,PanglaoDB
Interneurons,PROTEIN-CODING GENE,Mus musculus,PanglaoDB
Interneurons,PROTEIN-CODING GENE,Mus musculus,PanglaoDB
Interneurons,PROTEIN-CODING GENE,Mus musculus,PanglaoDB
Interneurons,PROTEIN-CODING GENE,Mus musculus,PanglaoDB
Interneurons,PROTEIN-CODING GENE,Mus musculus,PanglaoDB
Interneurons,PROTEIN-CODING GENE,Mus musculus,PanglaoDB
Interneurons,PROTEIN-CODING GENE,Mus musculus,PanglaoDB
Interneurons,PROTEIN-CODING GENE,Mus musculus,PanglaoDB
Interneurons,PROTEIN-CODING GENE,Mus musculus,PanglaoDB
Interneurons,PROTEIN-CODING GENE,Mus musculus,PanglaoDB
Interneurons,PROTEIN-CODING GENE,Mus musculus,PanglaoDB
Interneurons,PROTEIN-CODING GENE,Mus musculus,PanglaoDB
Interneurons,PROTEIN-CODING GENE,Mus musculus,PanglaoDB
Interneurons,PROTEIN-CODING GENE,Mus musculus,PanglaoDB
Interneurons,PROTEIN-CODING GENE,Mus musculus,PanglaoDB
Interneurons,PROTEIN-CODING GENE,Mus musculus,PanglaoDB
Interneurons,PROTEIN-CODING GENE,Mus musculus,PanglaoDB
Interneurons,PROTEIN-CODING GENE,Mus musculus,PanglaoDB
Interneurons,PROTEIN-CODING GENE,Mus musculus,PanglaoDB
Interneurons,PROTEIN-CODING GENE,Mus musculus,PanglaoDB
Interneurons,PROTEIN-CODING GENE,Mus musculus,PanglaoDB
Interneurons,PROTEIN-CODING GENE,Mus musculus,PanglaoDB
Interneurons,PROTEIN-CODING GENE,Mus musculus,PanglaoDB
Interneurons,PROTEIN-CODING GENE,Mus musculus,PanglaoDB
Interneurons,PROTEIN-CODING GENE,Mus musculus,PanglaoDB
Interneurons,PROTEIN-CODING GENE,Mus musculus,PanglaoDB
Interneurons,PROTEIN-CODING GENE,Mus musculus,PanglaoDB
Interneurons,PROTEIN-CODING GENE,Mus musculus,PanglaoDB
Interneurons,PROTEIN-CODING GENE,Mus musculus,PanglaoDB
Interneurons,PROTEIN CODING GENE,Mus musculus,PanglaoDB
Interneurons,PROTEIN-CODING GENE,Mus musculus,PanglaoDB
Interneurons,PROTEIN-CODING GENE,Mus musculus,PanglaoDB
Interneurons,PROTEIN-CODING GENE,Mus musculus,PanglaoDB
Interneurons,PROTEIN-CODING GENE,Mus musculus,PanglaoDB
Interneurons,PROTEIN-CODING GENE,Mus musculus,PanglaoDB
Interneurons,PROTEIN-CODING GENE,Mus musculus,PanglaoDB
Interneurons,PROTEIN-CODING GENE,Mus musculus,PanglaoDB
Interneurons,PROTEIN-CODING GENE,Mus musculus,PanglaoDB
Interneurons,PROTEIN-CODING GENE,Mus musculus,PanglaoDB
Interneurons,PROTEIN-CODING GENE,Mus musculus,PanglaoDB
Interneurons,PROTEIN-CODING GENE,Mus musculus,PanglaoDB
Interneurons,PROTEIN-CODING GENE,Mus musculus,PanglaoDB
Interneurons,PROTEIN-CODING GENE,Mus musculus,PanglaoDB
Interneurons,PROTEIN-CODING GENE,Mus musculus,PanglaoDB
Interneurons,PROTEIN-CODING GENE,Mus musculus,PanglaoDB
Interneurons,PROTEIN-CODING GENE,Mus musculus,PanglaoDB
Interneurons,PROTEIN-CODING GENE,Mus musculus,PanglaoDB
Interneurons,PROTEIN-CODING GENE,Mus musculus,PanglaoDB
Interneurons,PROTEIN-CODING GENE,Mus musculus,PanglaoDB
Interneurons,PROTEIN-CODING GENE,Mus musculus,PanglaoDB
Interneurons,PROTEIN-CODING GENE,Mus musculus,PanglaoDB
Interneurons,PROTEIN-CODING GENE,Mus musculus,PanglaoDB
Interneurons,PROTEIN-CODING GENE,Mus musculus,PanglaoDB
Interneurons,PROTEIN-CODING GENE,Mus musculus,PanglaoDB
Interneurons,PROTEIN-CODING GENE,Mus musculus,PanglaoDB
Interneurons,PROTEIN-CODING GENE,Mus musculus,PanglaoDB
Interneurons,PROTEIN-CODING GENE,Mus musculus,PanglaoDB
Interneurons,PROTEIN-CODING GENE,Mus musculus,PanglaoDB
Interneurons,OTHER,Mus musculus,PanglaoDB
Interneurons,PROTEIN-CODING GENE,Mus musculus,PanglaoDB
Interneurons,PROTEIN-CODING GENE,Mus musculus,PanglaoDB
