compound,gene,target_chembl_id,molecule_chembl_id,standard_type,standard_value,standard_units,pchembl_value,source
Curcumin,P300 HAT,CHEMBL3784,CHEMBL140,IC50,6500.0,nM,5.19,ChEMBL
Curcumin,P320,CHEMBL2093861,CHEMBL140,Potency,3981.1,nM,5.4,ChEMBL
Curcumin,P35,CHEMBL1907600,CHEMBL140,IC50,10000.0,nM,,ChEMBL
Curcumin,P39,CHEMBL2111421,CHEMBL140,IC50,6.9,nM,8.16,ChEMBL
Curcumin,P42-MAPK,CHEMBL4040,CHEMBL140,Potency,10000.0,nM,5.0,ChEMBL
Curcumin,P53-INDUCED GENE 12 PROTEIN,CHEMBL5658,CHEMBL140,IC50,600.0,nM,6.22,ChEMBL
Curcumin,P54/58N,CHEMBL3594,CHEMBL140,Ki,4050.0,nM,5.39,ChEMBL
Curcumin,P60 LYMPHOCYTE PROTEIN,CHEMBL4106131,CHEMBL140,IC50,8300.0,nM,5.08,ChEMBL
Curcumin,P60-SRC,CHEMBL3074,CHEMBL140,IC50,2200.0,nM,5.66,ChEMBL
Curcumin,PAIRED HELICAL FILAMENT-TAU,CHEMBL1293224,CHEMBL140,Potency,3548.1,nM,5.45,ChEMBL
Curcumin,PAS DOMAIN-CONTAINING PROTEIN 8,CHEMBL4261,CHEMBL140,Potency,6309.6,nM,5.2,ChEMBL
Curcumin,PC-3,CHEMBL390,CHEMBL140,IC50,7700.0,nM,5.11,ChEMBL
Curcumin,PEPTIDYL-CYSTEINE S-NITROSYLASE NOS2,CHEMBL3464,CHEMBL140,IC50,800.0,nM,6.1,ChEMBL
Curcumin,PERILIPIN-1,CHEMBL3883313,CHEMBL140,IC50,9167.0,nM,5.04,ChEMBL
Curcumin,PGH SYNTHASE 1,CHEMBL2096674,CHEMBL140,IC50,2000.0,nM,5.7,ChEMBL
Curcumin,PGH SYNTHASE 2,CHEMBL2096674,CHEMBL140,IC50,2000.0,nM,5.7,ChEMBL
Curcumin,PGHS-1,CHEMBL2096674,CHEMBL140,IC50,2000.0,nM,5.7,ChEMBL
Curcumin,PGHS-2,CHEMBL2096674,CHEMBL140,IC50,2000.0,nM,5.7,ChEMBL
Curcumin,PHF-TAU,CHEMBL1293224,CHEMBL140,Potency,3548.1,nM,5.45,ChEMBL
Curcumin,PHOSPHATASE,CHEMBL5573,CHEMBL140,IC50,7410.0,nM,5.13,ChEMBL
Curcumin,PHOSPHOLIPID TRANSPORTER ABCB1,CHEMBL4302,CHEMBL140,IC50,1000.0,nM,,ChEMBL
Curcumin,PHS 1,CHEMBL2096674,CHEMBL140,IC50,2000.0,nM,5.7,ChEMBL
Curcumin,PHS II,CHEMBL2096674,CHEMBL140,IC50,2000.0,nM,5.7,ChEMBL
Curcumin,PLACENTA-SPECIFIC ATP-BINDING CASSETTE TRANSPORTER,CHEMBL5393,CHEMBL140,IC50,1630.0,nM,5.79,ChEMBL
Curcumin,PLASMODIUM FALCIPARUM,CHEMBL364,CHEMBL140,IC50,3250.0,nM,5.49,ChEMBL
Curcumin,PLIN1,CHEMBL3883313,CHEMBL140,IC50,9167.0,nM,5.04,ChEMBL
Curcumin,PLK-1,CHEMBL3024,CHEMBL140,Potency,1683.4,nM,,ChEMBL
Curcumin,PLK1,CHEMBL3024,CHEMBL140,Potency,1683.4,nM,,ChEMBL
Curcumin,PMW1,CHEMBL3594,CHEMBL140,Ki,4050.0,nM,5.39,ChEMBL
Curcumin,PN-II,CHEMBL2487,CHEMBL140,Ki,0.208,nM,9.68,ChEMBL
Curcumin,POLO-LIKE KINASE 1,CHEMBL3024,CHEMBL140,Potency,1683.4,nM,,ChEMBL
Curcumin,POLYAMINE DEACETYLASE HDAC10,CHEMBL2093865,CHEMBL140,Ki,539.0,nM,6.27,ChEMBL
Curcumin,POLYUNSATURATED,CHEMBL2903,CHEMBL140,IC50,1200.0,nM,5.92,ChEMBL
Curcumin,POLYUNSATURATED FATTY ACID 5-LIPOXYGENASE,CHEMBL215,CHEMBL140,IC50,8000.0,nM,5.1,ChEMBL
Curcumin,POLYUNSATURATED FATTY ACID LIPOXYGENASE ALOX15,CHEMBL2903,CHEMBL140,IC50,1200.0,nM,5.92,ChEMBL
Curcumin,POLYUNSATURATED FATTY ACID LIPOXYGENASE ALOX15B,CHEMBL2457,CHEMBL140,Potency,7943.3,nM,,ChEMBL
Curcumin,PORE TARGETING COMPLEX 97 KDA SUBUNIT,CHEMBL3885594,CHEMBL140,Potency,5011.9,nM,,ChEMBL
Curcumin,POTASSIUM,CHEMBL1075183,CHEMBL140,IC50,930.0,nM,6.03,ChEMBL
