compound,emb_0,emb_1,emb_2,emb_3,emb_4,emb_5,emb_6,emb_7,emb_8,emb_9,emb_10,emb_11,emb_12,emb_13,emb_14,emb_15,emb_16,emb_17,emb_18,emb_19,emb_20,emb_21,emb_22,emb_23,emb_24,emb_25,emb_26,emb_27,emb_28,emb_29,emb_30,emb_31,emb_32,emb_33,emb_34,emb_35,emb_36,emb_37,emb_38,emb_39,emb_40,emb_41,emb_42,emb_43,emb_44,emb_45,emb_46,emb_47,emb_48,emb_49,emb_50,emb_51,emb_52,emb_53,emb_54,emb_55,emb_56,emb_57,emb_58,emb_59,emb_60,emb_61,emb_62,emb_63
Quercetin,0.20562168955802917,0.1763237863779068,-0.05347387492656708,0.021816322579979897,0.40633752942085266,-0.39345064759254456,0.48324981331825256,0.20892763137817383,0.0897657573223114,-0.13503049314022064,0.233328714966774,0.15784108638763428,0.15869274735450745,-0.07869100570678711,0.08241789788007736,0.09091650694608688,0.44882190227508545,0.0033661453053355217,0.17939870059490204,-0.2407703399658203,0.14514082670211792,-0.08160296827554703,-0.1057584285736084,-0.22557130455970764,-0.04316620156168938,-0.10915935784578323,-0.12912337481975555,-0.10489854961633682,0.14493951201438904,-0.225459024310112,0.04593828320503235,0.12307828664779663,0.24822291731834412,0.05364122986793518,-0.42815130949020386,0.16076156497001648,0.1458483338356018,-0.06102536991238594,0.08253636211156845,-0.03551056981086731,-0.02218719944357872,-0.22749194502830505,-0.012394407764077187,-0.17599469423294067,-0.13273178040981293,0.004116028547286987,0.11732124537229538,-0.41031506657600403,-0.38436681032180786,-0.3093818426132202,0.09459222853183746,-0.04077398404479027,-0.058582648634910583,-0.12852050364017487,0.0976681262254715,0.31916892528533936,-0.2964033782482147,0.17261235415935516,0.044721055775880814,-0.2886411249637604,-0.1173122376203537,-0.0306079164147377,-0.3841385245323181,0.24892012774944305
Naringenin,0.10644208639860153,0.13393639028072357,0.06776227056980133,0.15518856048583984,0.3698174059391022,-0.09549091011285782,0.19590160250663757,0.330477237701416,0.18741175532341003,-0.05630747228860855,0.15109191834926605,0.27377381920814514,0.06208975240588188,0.004156157374382019,0.16681915521621704,-0.08067519217729568,0.3256325125694275,0.19039437174797058,0.23968279361724854,-0.00810839980840683,0.0032680537551641464,-0.0459466278553009,-0.09366831183433533,-0.12175913155078888,-0.0586402602493763,-0.15507514774799347,-0.06134958192706108,0.03337794542312622,-0.01362476497888565,-0.03990040346980095,-0.04851128160953522,0.11632020771503448,0.21867212653160095,0.16090048849582672,-0.21545645594596863,0.015290960669517517,0.0560794472694397,-0.1060311496257782,-0.046760328114032745,-0.17375805974006653,0.05686109885573387,-0.23581501841545105,-0.044883422553539276,-0.08777991682291031,-0.20405499637126923,-0.003996275365352631,0.08524848520755768,-0.19939886033535004,-0.12664857506752014,-0.21889932453632355,0.17894352972507477,0.02702978625893593,-0.05623190104961395,-0.06339840590953827,0.13918331265449524,0.06549638509750366,-0.30176421999931335,0.1655241996049881,0.014522869139909744,-0.20125646889209747,-0.0692749097943306,-0.025974564254283905,-0.2655981183052063,0.10586263239383698
Eucalyptol,-0.20279169082641602,0.301441490650177,-0.14174357056617737,-0.007458673790097237,-0.34072527289390564,-0.1394999623298645,-0.1785883903503418,-0.2093932330608368,0.003041449934244156,-0.012514075264334679,0.22051094472408295,-0.11727043241262436,0.01435881108045578,0.222575843334198,0.062352798879146576,-0.10311665385961533,-7.06799328327179e-05,0.07665598392486572,-0.004791140556335449,-0.2297450304031372,0.03105250559747219,0.024727454409003258,0.12126964330673218,-0.045143745839595795,0.2302567958831787,0.2979758381843567,0.05650123581290245,-0.022683806717395782,-0.23676136136054993,0.041803598403930664,-0.2189440131187439,-0.30941444635391235,-0.037842873483896255,0.01723330467939377,0.4929347038269043,-0.21214699745178223,0.1599937379360199,-0.04801429435610771,0.012614494189620018,0.023613743484020233,0.08639559149742126,0.16511380672454834,0.1122683733701706,-0.15995660424232483,-0.27949002385139465,0.4258159399032593,0.037173666059970856,0.05727405473589897,0.1911194920539856,-0.002589114010334015,0.06386496126651764,0.06189664080739021,0.06047374755144119,0.3144373893737793,0.04696674644947052,0.055549029260873795,0.07581447064876556,0.0669279396533966,0.2966817319393158,0.1536894291639328,0.14577965438365936,-0.07217131555080414,-0.12060731649398804,-0.14981399476528168
Borneol,-0.17586621642112732,0.4252268970012665,-0.16706973314285278,-0.026220833882689476,-0.34018540382385254,-0.26033908128738403,-0.21844995021820068,-0.2688850462436676,-0.020664196461439133,-0.07131455838680267,0.20014570653438568,-0.15448619425296783,-0.029733724892139435,0.19587859511375427,0.1818491518497467,-0.15209738910198212,0.005170334130525589,-0.004901793785393238,0.04549872875213623,-0.2786394953727722,0.05440809577703476,0.08403606712818146,0.15047065913677216,-0.07165679335594177,0.3329392373561859,0.3914071321487427,0.15847338736057281,0.027425028383731842,-0.24434629082679749,-0.013774100691080093,-0.2830446660518646,-0.2618545889854431,0.01605967804789543,0.013042733073234558,0.5315697193145752,-0.24189046025276184,0.1679597944021225,-0.035392168909311295,0.0641370564699173,0.07226336002349854,0.11695528030395508,0.1610681414604187,0.13640211522579193,-0.21984213590621948,-0.33770638704299927,0.3199993968009949,0.025221817195415497,0.05643643066287041,0.22995378077030182,0.05540838837623596,0.10087037086486816,0.08862656354904175,0.04425889998674393,0.3971867561340332,0.10122913122177124,0.016500938683748245,0.09866365790367126,0.09714005887508392,0.20635740458965302,0.1887023150920868,0.15639521181583405,-0.035938553512096405,-0.204672172665596,-0.1280231773853302
Baicalein,0.12462262064218521,0.11677195131778717,-0.02747422456741333,0.009368157014250755,0.2844671607017517,-0.17926858365535736,0.3269822895526886,0.155720055103302,0.045422401279211044,-0.06500781327486038,0.16887731850147247,0.10442928969860077,0.10631603747606277,-0.06901699304580688,0.019918300211429596,0.09968151897192001,0.28967538475990295,0.03254761919379234,0.1295425146818161,-0.13459151983261108,0.06429684907197952,-0.0637265294790268,-0.06322714686393738,-0.14915333688259125,-0.09892889857292175,-0.06887980550527573,-0.07634744048118591,-0.05019019544124603,0.07727953046560287,-0.1824033111333847,0.05516207218170166,0.03321211040019989,0.15180954337120056,-0.011245939880609512,-0.26715150475502014,0.10316181927919388,0.1229490116238594,-0.09178948402404785,0.04764934629201889,-0.05602380633354187,-0.020944669842720032,-0.1857474148273468,-0.0026475731283426285,-0.060753874480724335,-0.051776040345430374,-0.0010647661983966827,0.08745782822370529,-0.26225706934928894,-0.24876368045806885,-0.2311525046825409,0.06734474003314972,-0.0022022398188710213,-0.014832895249128342,-0.05534879490733147,0.04842458292841911,0.18289898335933685,-0.2300747036933899,0.10713507235050201,0.05145843327045441,-0.20893317461013794,-0.09850034862756729,-0.013397276401519775,-0.2230447232723236,0.1802675873041153
Wogonin,0.047016724944114685,0.07919339835643768,-0.0019289478659629822,0.055832840502262115,0.20468497276306152,-0.0910702496767044,0.24404633045196533,0.20689275860786438,0.10592612624168396,0.013807455077767372,0.1421046257019043,0.049777377396821976,0.10116268694400787,-0.08687978982925415,-0.03572247922420502,0.09755658358335495,0.2716021239757538,0.059042539447546005,0.0295720212161541,-0.10681133717298508,0.01792837120592594,-0.09786705672740936,-0.02698509395122528,-0.17664259672164917,-0.05440821871161461,-0.019284408539533615,-0.1833111047744751,-0.04812825098633766,0.039640918374061584,-0.19434431195259094,0.08589884638786316,-0.04619947075843811,0.13389019668102264,0.014596760272979736,-0.21216288208961487,0.10534168034791946,0.1565251499414444,-0.0885482132434845,0.01440209336578846,-0.10000193864107132,-0.0013143830001354218,-0.08644469827413559,0.0058813150972127914,-0.021646983921527863,-0.06043083593249321,0.13304978609085083,0.10368996858596802,-0.24074457585811615,-0.23238323628902435,-0.17935320734977722,0.06538131833076477,-0.01643187925219536,-0.06442819535732269,-0.04241112247109413,0.05946793407201767,0.21719056367874146,-0.2786857783794403,0.07717956602573395,0.10055407881736755,-0.1644432246685028,-0.08937118947505951,-0.051555730402469635,-0.17714498937129974,0.11055433750152588
Luteolin,0.16114437580108643,0.12665961682796478,-0.05071765184402466,0.010083982720971107,0.3399052321910858,-0.28007856011390686,0.3987483084201813,0.19040364027023315,0.07326745986938477,-0.10112599283456802,0.19626562297344208,0.12770351767539978,0.13377347588539124,-0.06443795561790466,0.04841577261686325,0.08566882461309433,0.37487298250198364,0.030239451676607132,0.1608341783285141,-0.19560500979423523,0.10138045996427536,-0.0743565559387207,-0.0864505022764206,-0.1938595473766327,-0.06888091564178467,-0.0940033420920372,-0.11676095426082611,-0.07840891182422638,0.1235240176320076,-0.19075433909893036,0.03887590765953064,0.08872400224208832,0.20581842958927155,0.0382026806473732,-0.3602469265460968,0.12965422868728638,0.12669241428375244,-0.0723726749420166,0.06628968566656113,-0.052637629210948944,-0.019930139183998108,-0.20307889580726624,-0.016285600140690804,-0.11797565966844559,-0.09379862248897552,0.01683523878455162,0.09523884952068329,-0.32309070229530334,-0.31062108278274536,-0.27346116304397583,0.07840270549058914,-0.012032491154968739,-0.04291490092873573,-0.09072984755039215,0.08027099817991257,0.25897568464279175,-0.2642742693424225,0.13957937061786652,0.05707022175192833,-0.24805088341236115,-0.09525241702795029,-0.00928456336259842,-0.3156189024448395,0.206901416182518
Kaempferol,0.16271328926086426,0.13200916349887848,-0.04640680551528931,0.012096451595425606,0.337792307138443,-0.285910427570343,0.40475454926490784,0.18762648105621338,0.07364994287490845,-0.1024824008345604,0.20125983655452728,0.12824632227420807,0.1345144510269165,-0.06639282405376434,0.05297636240720749,0.0827067419886589,0.3756318688392639,0.022539932280778885,0.1602751761674881,-0.19055473804473877,0.10532768815755844,-0.07356676459312439,-0.08581557869911194,-0.18783509731292725,-0.06940759718418121,-0.09940506517887115,-0.10989420115947723,-0.0816478505730629,0.11638852208852768,-0.1957477480173111,0.046580612659454346,0.08310578018426895,0.20667210221290588,0.02983640879392624,-0.3582724928855896,0.12735599279403687,0.1270831823348999,-0.06729951500892639,0.06552865356206894,-0.045681968331336975,-0.017953474074602127,-0.20240509510040283,-0.013966092839837074,-0.12314804643392563,-0.09421522915363312,0.01033363863825798,0.09642928838729858,-0.3277808427810669,-0.31403547525405884,-0.2694895565509796,0.07902324199676514,-0.015967998653650284,-0.04259950667619705,-0.09082092344760895,0.07544934004545212,0.25918465852737427,-0.2602979242801666,0.14117030799388885,0.0558030791580677,-0.24878950417041779,-0.10087324678897858,-0.013111390173435211,-0.3118719756603241,0.2096150517463684
Hesperetin,0.07515453547239304,0.17169076204299927,0.1279366910457611,0.13099223375320435,0.29471203684806824,-0.020662114024162292,0.16097840666770935,0.18643060326576233,0.16592754423618317,-0.07763051241636276,0.1878272444009781,0.22230839729309082,0.1226227805018425,-0.07366985082626343,0.18098852038383484,-0.05751483887434006,0.3527895212173462,0.12448097765445709,0.19173921644687653,-0.047470904886722565,0.0655975490808487,-0.12572769820690155,0.07257765531539917,-0.1546652615070343,-0.06457816064357758,-0.1176934614777565,-0.10323290526866913,-0.11198922991752625,0.0024355128407478333,-0.08051832020282745,-0.02952653355896473,0.10822977125644684,0.22229303419589996,0.17501501739025116,-0.2221997082233429,-0.05462535470724106,0.13493530452251434,-0.004761341959238052,-0.026523975655436516,-0.17026543617248535,0.19778290390968323,-0.09281104058027267,-0.0656738355755806,-0.07505156844854355,-0.15563927590847015,0.06430361419916153,-0.015476342290639877,-0.2766018807888031,-0.1786939799785614,-0.16174179315567017,0.14006374776363373,-0.03249629959464073,-0.10839319974184036,-0.09007200598716736,0.19164422154426575,0.21964313089847565,-0.33519619703292847,0.18153652548789978,-0.030932355672121048,-0.13692651689052582,-0.020334511995315552,-0.05042596906423569,-0.17020738124847412,-0.003369500394910574
Resveratrol,0.015229709446430206,0.08778788149356842,-0.14402836561203003,-0.025134777650237083,0.21309944987297058,-0.08375698328018188,0.17979517579078674,0.1386805772781372,0.02849450334906578,-0.05202830582857132,0.0743354856967926,0.058141935616731644,0.06574748456478119,0.0534520149230957,0.02828115224838257,0.001708783209323883,0.1870967000722885,0.06460320949554443,0.18712034821510315,-0.18022480607032776,0.05051274597644806,-0.06546761095523834,-0.06247466057538986,-0.12405744194984436,-0.09769098460674286,0.021482881158590317,-0.01935248076915741,-0.009478972293436527,0.1538853943347931,-0.051377009600400925,-0.0978100523352623,0.15743906795978546,0.15180867910385132,0.09255146980285645,-0.2899891138076782,0.054655127227306366,0.031055839732289314,-0.08078068494796753,0.050000689923763275,0.010537935420870781,-0.04122517257928848,-0.17628347873687744,-0.0200654286891222,0.03770522028207779,0.008743548765778542,-0.017603129148483276,0.04813027009367943,-0.1620364934206009,-0.14110493659973145,-0.28527870774269104,0.10026220977306366,0.03726455941796303,-0.03972572833299637,-0.05388447642326355,0.09689564257860184,0.12330999970436096,-0.17903445661067963,0.054676640778779984,0.005694415420293808,-0.08589037507772446,0.019124068319797516,0.06939157843589783,-0.23328272998332977,0.12162128835916519
