,dim_0,dim_1,dim_2,dim_3,dim_4,dim_5,dim_6,dim_7,dim_8,dim_9,dim_10,dim_11,dim_12,dim_13,dim_14,dim_15
Glycolysis,-0.43819463,-0.068371534,0.074176565,-0.14612664,-0.36912784,-0.11685422,0.26461682,-0.17896286,0.24013716,-0.08031292,-0.26666605,0.25514254,0.34594256,-0.13337925,0.40538502,-0.37332097
TCA_cycle,-0.43819463,-0.068371534,0.074176565,-0.14612664,-0.36912784,-0.11685422,0.26461682,-0.17896286,0.24013716,-0.08031292,-0.26666605,0.25514254,0.34594256,-0.13337925,0.40538502,-0.37332097
Fatty_acid_metabolism,-0.43819463,-0.068371534,0.074176565,-0.14612664,-0.36912784,-0.11685422,0.26461682,-0.17896286,0.24013716,-0.08031292,-0.26666605,0.25514254,0.34594256,-0.13337925,0.40538502,-0.37332097
Arachidonic_acid_metabolism,-0.43819463,-0.068371534,0.074176565,-0.14612664,-0.36912784,-0.11685422,0.26461682,-0.17896286,0.24013716,-0.08031292,-0.26666605,0.25514254,0.34594256,-0.13337925,0.40538502,-0.37332097
Prostaglandin_synthesis,-0.43819463,-0.068371534,0.074176565,-0.14612664,-0.36912784,-0.11685422,0.26461682,-0.17896286,0.24013716,-0.08031292,-0.26666605,0.25514254,0.34594256,-0.13337925,0.40538502,-0.37332097
Wnt_signaling,-0.43819463,-0.068371534,0.074176565,-0.14612664,-0.36912784,-0.11685422,0.26461682,-0.17896286,0.24013716,-0.08031292,-0.26666605,0.25514254,0.34594256,-0.13337925,0.40538502,-0.37332097
Notch_signaling,-0.43819463,-0.068371534,0.074176565,-0.14612664,-0.36912784,-0.11685422,0.26461682,-0.17896286,0.24013716,-0.08031292,-0.26666605,0.25514254,0.34594256,-0.13337925,0.40538502,-0.37332097
Hedgehog_signaling,-0.43819463,-0.068371534,0.074176565,-0.14612664,-0.36912784,-0.11685422,0.26461682,-0.17896286,0.24013716,-0.08031292,-0.26666605,0.25514254,0.34594256,-0.13337925,0.40538502,-0.37332097
TGF-beta_signaling,-0.43819463,-0.068371534,0.074176565,-0.14612664,-0.36912784,-0.11685422,0.26461682,-0.17896286,0.24013716,-0.08031292,-0.26666605,0.25514254,0.34594256,-0.13337925,0.40538502,-0.37332097
VEGF_signaling,-0.43819463,-0.068371534,0.074176565,-0.14612664,-0.36912784,-0.11685422,0.26461682,-0.17896286,0.24013716,-0.08031292,-0.26666605,0.25514254,0.34594256,-0.13337925,0.40538502,-0.37332097
HIF1_signaling,-0.43819463,-0.068371534,0.074176565,-0.14612664,-0.36912784,-0.11685422,0.26461682,-0.17896286,0.24013716,-0.08031292,-0.26666605,0.25514254,0.34594256,-0.13337925,0.40538502,-0.37332097
PI3K_Akt_pathway,-0.43819463,-0.068371534,0.074176565,-0.14612664,-0.36912784,-0.11685422,0.26461682,-0.17896286,0.24013716,-0.08031292,-0.26666605,0.25514254,0.34594256,-0.13337925,0.40538502,-0.37332097
Ras_signaling,-0.43819463,-0.068371534,0.074176565,-0.14612664,-0.36912784,-0.11685422,0.26461682,-0.17896286,0.24013716,-0.08031292,-0.26666605,0.25514254,0.34594256,-0.13337925,0.40538502,-0.37332097
Rap1_signaling,-0.43819463,-0.068371534,0.074176565,-0.14612664,-0.36912784,-0.11685422,0.26461682,-0.17896286,0.24013716,-0.08031292,-0.26666605,0.25514254,0.34594256,-0.13337925,0.40538502,-0.37332097
cAMP_signaling,-0.43819463,-0.068371534,0.074176565,-0.14612664,-0.36912784,-0.11685422,0.26461682,-0.17896286,0.24013716,-0.08031292,-0.26666605,0.25514254,0.34594256,-0.13337925,0.40538502,-0.37332097
cGMP_PKG_pathway,-0.43819463,-0.068371534,0.074176565,-0.14612664,-0.36912784,-0.11685422,0.26461682,-0.17896286,0.24013716,-0.08031292,-0.26666605,0.25514254,0.34594256,-0.13337925,0.40538502,-0.37332097
Phospholipase_D,-0.43819463,-0.068371534,0.074176565,-0.14612664,-0.36912784,-0.11685422,0.26461682,-0.17896286,0.24013716,-0.08031292,-0.26666605,0.25514254,0.34594256,-0.13337925,0.40538502,-0.37332097
Insulin_signaling,-0.43819463,-0.068371534,0.074176565,-0.14612664,-0.36912784,-0.11685422,0.26461682,-0.17896286,0.24013716,-0.08031292,-0.26666605,0.25514254,0.34594256,-0.13337925,0.40538502,-0.37332097
