compound,rank_in_compound,gene,binding_probability
Chrysin,3,HIF1A,0.45509031414985657
Chrysin,4,LCN2,0.45506006479263306
Chrysin,5,BCL6,0.45493173599243164
Chrysin,6,IRF9,0.45493146777153015
Chrysin,7,SLC1A5,0.4549263119697571
Chrysin,8,MAPK1,0.4548380374908447
Chrysin,9,LGMN,0.45480212569236755
Chrysin,10,PTGS2,0.45477813482284546
Apigenin,1,CTSB,0.4555007815361023
Apigenin,2,SOCS1,0.4554536044597626
Apigenin,3,HIF1A,0.4553219676017761
Apigenin,4,LCN2,0.4552968144416809
Apigenin,5,IRF9,0.4551827311515808
Apigenin,6,BCL6,0.45517995953559875
Apigenin,7,SLC1A5,0.4551572799682617
Apigenin,8,MAPK1,0.4550858736038208
Apigenin,9,LGMN,0.4550589323043823
Apigenin,10,PTGS2,0.4550264775753021
Genistein,1,CTSB,0.45521727204322815
Genistein,2,SOCS1,0.4551689028739929
Genistein,3,HIF1A,0.45503851771354675
Genistein,4,LCN2,0.45501336455345154
Genistein,5,IRF9,0.45489925146102905
Genistein,6,BCL6,0.4548965096473694
Genistein,7,SLC1A5,0.45487162470817566
Genistein,8,MAPK1,0.45480239391326904
Genistein,9,LGMN,0.45477545261383057
Genistein,10,PTGS2,0.45474302768707275
Daidzein,1,CTSB,0.45461589097976685
Daidzein,2,SOCS1,0.454567551612854
Daidzein,3,HIF1A,0.4544371962547302
Daidzein,4,LCN2,0.454412043094635
Daidzein,5,IRF9,0.4542979598045349
Daidzein,6,BCL6,0.45429518818855286
Daidzein,7,SLC1A5,0.4542703330516815
Daidzein,8,MAPK1,0.4542011320590973
Daidzein,9,LGMN,0.4541741907596588
Daidzein,10,PTGS2,0.454141765832901
Formononetin,1,CTSB,0.45202597975730896
Formononetin,2,SOCS1,0.4519444704055786
Formononetin,3,HIF1A,0.45184698700904846
Formononetin,4,LCN2,0.4518389105796814
Formononetin,5,IRF9,0.4517297148704529
Formononetin,6,SLC1A5,0.45169195532798767
Formononetin,7,BCL6,0.45168957114219666
Formononetin,8,MAPK1,0.4516230821609497
Formononetin,9,LGMN,0.4516182243824005
Formononetin,10,PTGS2,0.45155876874923706
Oroxylin A,1,CTSB,0.45025408267974854
Oroxylin A,2,SOCS1,0.45017752051353455
Oroxylin A,3,HIF1A,0.4500783085823059
Oroxylin A,4,LCN2,0.45006516575813293
Oroxylin A,5,IRF9,0.4499439299106598
Oroxylin A,6,SLC1A5,0.4499262273311615
Oroxylin A,7,BCL6,0.44990450143814087
Oroxylin A,8,MAPK1,0.4498384892940521
Oroxylin A,9,LGMN,0.449832558631897
Oroxylin A,10,PTGS2,0.44977355003356934
Scutellarein,1,CTSB,0.45394620299339294
Scutellarein,2,SOCS1,0.4538646638393402
Scutellarein,3,HIF1A,0.4537670314311981
Scutellarein,4,LCN2,0.45375898480415344
Scutellarein,5,IRF9,0.45364975929260254
Scutellarein,6,SLC1A5,0.45361196994781494
Scutellarein,7,BCL6,0.45360952615737915
Scutellarein,8,MAPK1,0.4535430371761322
Scutellarein,9,LGMN,0.4535382091999054
Scutellarein,10,PTGS2,0.45347860455513
Tangeretin,1,CTSB,0.4415736794471741
Tangeretin,2,SOCS1,0.4415232539176941
Tangeretin,3,HIF1A,0.44142356514930725
Tangeretin,4,LCN2,0.44140124320983887
Tangeretin,5,SLC1A5,0.4412829577922821
Tangeretin,6,IRF9,0.4412616789340973
Tangeretin,7,BCL6,0.4412195384502411
Tangeretin,8,MAPK1,0.44117316603660583
Tangeretin,9,LGMN,0.4411429166793823
Tangeretin,10,PTGS2,0.44110989570617676
Nobiletin,1,CTSB,0.4400852620601654
Nobiletin,2,SOCS1,0.4400452971458435
Nobiletin,3,HIF1A,0.43993526697158813
Nobiletin,4,LCN2,0.43991297483444214
Nobiletin,5,SLC1A5,0.4398168921470642
Nobiletin,6,IRF9,0.4397735297679901
Nobiletin,7,BCL6,0.4397498667240143
Nobiletin,8,MAPK1,0.43968862295150757
Nobiletin,9,LGMN,0.4396548271179199
Nobiletin,10,PTGS2,0.43962806463241577
Fisetin,1,CTSB,0.45302683115005493
Fisetin,2,SOCS1,0.45295020937919617
Fisetin,3,HIF1A,0.452850878238678
Fisetin,4,LCN2,0.45283767580986023
Fisetin,5,IRF9,0.4527147114276886
Fisetin,6,SLC1A5,0.452698677778244
Fisetin,7,BCL6,0.45267683267593384
Fisetin,8,MAPK1,0.4526107609272003
Fisetin,9,LGMN,0.45260313153266907
Fisetin,10,PTGS2,0.45254579186439514
Galangin,1,CTSB,0.45388051867485046
Galangin,2,SOCS1,0.4538038671016693
Galangin,3,HIF1A,0.45370450615882874
Galangin,4,LCN2,0.45369136333465576
Galangin,5,IRF9,0.45356762409210205
Galangin,6,SLC1A5,0.4535522758960724
Galangin,7,BCL6,0.4535304605960846
Galangin,8,MAPK1,0.4534643590450287
Galangin,9,LGMN,0.4534505307674408
Galangin,10,PTGS2,0.4533993601799011
Phloretin,1,CTSB,0.440428763628006
Phloretin,2,SOCS1,0.44035497307777405
Phloretin,3,HIF1A,0.440255731344223
Phloretin,4,LCN2,0.44024574756622314
Phloretin,5,SLC1A5,0.4401266872882843
Phloretin,6,IRF9,0.44010743498802185
Phloretin,7,BCL6,0.4400545358657837
Phloretin,8,MAPK1,0.4400029182434082
Phloretin,9,LGMN,0.4399888217449188
Phloretin,10,PTGS2,0.43993303179740906
Catechin,1,CTSB,0.4332094192504883
Catechin,2,SOCS1,0.4330979287624359
Catechin,3,LCN2,0.43304169178009033
Catechin,4,HIF1A,0.4330190122127533
Catechin,5,IRF9,0.4329141080379486
Catechin,6,SLC1A5,0.43287765979766846
Catechin,7,BCL6,0.4328182339668274
Catechin,8,LGMN,0.4328014552593231
Catechin,9,MAPK1,0.43278875946998596
Catechin,10,PTGS2,0.4327036738395691
Epicatechin,1,CTSB,0.4332098066806793
Epicatechin,2,SOCS1,0.43309837579727173
Epicatechin,3,LCN2,0.43304207921028137
Epicatechin,4,HIF1A,0.4330194592475891
Epicatechin,5,IRF9,0.4329145550727844
Epicatechin,6,SLC1A5,0.4328780472278595
Epicatechin,7,BCL6,0.43281859159469604
Epicatechin,8,LGMN,0.43280190229415894
Epicatechin,9,MAPK1,0.4327891767024994
Epicatechin,10,PTGS2,0.43270406126976013
Tetramethylpyrazine,1,CTSB,0.4447687864303589
Tetramethylpyrazine,2,SOCS1,0.4446924328804016
Tetramethylpyrazine,3,HIF1A,0.4445933997631073
Tetramethylpyrazine,4,LCN2,0.4445803165435791
Tetramethylpyrazine,5,IRF9,0.4444570541381836
Tetramethylpyrazine,6,SLC1A5,0.44444170594215393
Tetramethylpyrazine,7,BCL6,0.4444200098514557
Tetramethylpyrazine,8,MAPK1,0.4443541467189789
Tetramethylpyrazine,9,LGMN,0.44434037804603577
Tetramethylpyrazine,10,PTGS2,0.44428935647010803
Tanshinone IIA,1,CTSB,0.43355321884155273
Tanshinone IIA,2,SOCS1,0.43344810605049133
Tanshinone IIA,3,LCN2,0.4333950877189636
Tanshinone IIA,4,HIF1A,0.43337368965148926
Tanshinone IIA,5,SLC1A5,0.43326857686042786
Tanshinone IIA,6,IRF9,0.4332641661167145
Tanshinone IIA,7,BCL6,0.4331657290458679
Tanshinone IIA,8,LGMN,0.4331619441509247
Tanshinone IIA,9,MAPK1,0.4331424832344055
Tanshinone IIA,10,PTGS2,0.43306389451026917
Danshensu,1,CTSB,0.4392024278640747
Danshensu,2,SOCS1,0.43912866711616516
Danshensu,3,HIF1A,0.4390295147895813
Danshensu,4,LCN2,0.4390195310115814
Danshensu,5,SLC1A5,0.43890056014060974
Danshensu,6,IRF9,0.43888136744499207
Danshensu,7,BCL6,0.4388284683227539
Danshensu,8,MAPK1,0.43877682089805603
Danshensu,9,LGMN,0.4387627840042114
Danshensu,10,PTGS2,0.43870702385902405
Honokiol,1,CTSB,0.4426027834415436
Honokiol,2,SOCS1,0.4425289034843445
Honokiol,3,HIF1A,0.4424295723438263
Honokiol,4,LCN2,0.4424195885658264
Honokiol,5,SLC1A5,0.4423004388809204
Honokiol,6,IRF9,0.44228115677833557
Honokiol,7,BCL6,0.44222813844680786
Honokiol,8,MAPK1,0.44217649102211
Honokiol,9,LGMN,0.442162424325943
Honokiol,10,PTGS2,0.44210657477378845
Magnolol,1,CTSB,0.44257429242134094
Magnolol,2,SOCS1,0.44250041246414185
Magnolol,3,HIF1A,0.44240105152130127
Magnolol,4,LCN2,0.4423910677433014
Magnolol,5,SLC1A5,0.442271888256073
Magnolol,6,IRF9,0.44225266575813293
Magnolol,7,BCL6,0.4421996474266052
Magnolol,8,MAPK1,0.44214797019958496
Magnolol,9,LGMN,0.4421338737010956
Magnolol,10,PTGS2,0.4420780539512634
Schisandrin,1,CTSB,0.42660045623779297
Schisandrin,2,SOCS1,0.4265364408493042
Schisandrin,3,HIF1A,0.42645469307899475
Schisandrin,4,LCN2,0.4264381527900696
Schisandrin,5,IRF9,0.42630690336227417
Schisandrin,6,SLC1A5,0.42630305886268616
Schisandrin,7,BCL6,0.4262710213661194
Schisandrin,8,MAPK1,0.4262232780456543
Schisandrin,9,LGMN,0.42618805170059204
Schisandrin,10,PTGS2,0.42615842819213867
Schisandrin B,1,CTSB,0.4275532364845276
Schisandrin B,2,SOCS1,0.4274892508983612
Schisandrin B,3,HIF1A,0.42740750312805176
Schisandrin B,4,LCN2,0.42739084362983704
Schisandrin B,5,IRF9,0.427258163690567
Schisandrin B,6,SLC1A5,0.42724356055259705
Schisandrin B,7,BCL6,0.42722365260124207
Schisandrin B,8,MAPK1,0.42717596888542175
Schisandrin B,9,LGMN,0.4271138310432434
Schisandrin B,10,PTGS2,0.4271073043346405
Dihydroartemisinin,1,CTSB,0.42838597297668457
Dihydroartemisinin,2,SOCS1,0.42831069231033325
Dihydroartemisinin,3,HIF1A,0.4282529652118683
Dihydroartemisinin,4,LCN2,0.4282151162624359
Dihydroartemisinin,5,SLC1A5,0.4281826317310333
Dihydroartemisinin,6,IRF9,0.4280470311641693
Dihydroartemisinin,7,BCL6,0.42799246311187744
Dihydroartemisinin,8,MAPK1,0.42796698212623596
Dihydroartemisinin,9,LGMN,0.42794251441955566
Dihydroartemisinin,10,PTGS2,0.4279155433177948
Artemisinin,1,CTSB,0.4277193546295166
Artemisinin,2,SOCS1,0.4276920557022095
Artemisinin,3,HIF1A,0.4276212155818939
Artemisinin,4,LCN2,0.4275375008583069
Artemisinin,5,SLC1A5,0.4275239408016205
Artemisinin,6,BCL6,0.4273494482040405
Artemisinin,7,IRF9,0.4273444414138794
Artemisinin,8,MAPK1,0.4273013770580292
Artemisinin,9,TXNIP,0.42729079723358154
Artemisinin,10,NR1D1,0.42727017402648926
Shikonin,1,CTSB,0.43348878622055054
Shikonin,2,SOCS1,0.43341004848480225
Shikonin,3,LCN2,0.4333321750164032
Shikonin,4,HIF1A,0.43332141637802124
Shikonin,5,IRF9,0.43320348858833313
Shikonin,6,SLC1A5,0.433185338973999
Shikonin,7,BCL6,0.4331357181072235
Shikonin,8,MAPK1,0.4330974817276001
Shikonin,9,LGMN,0.433091402053833
Shikonin,10,PTGS2,0.4330216944217682
Plumbagin,1,CTSB,0.4357106387615204
Plumbagin,2,SOCS1,0.435636967420578
Plumbagin,3,HIF1A,0.43553799390792847
Plumbagin,4,LCN2,0.435528039932251
Plumbagin,5,SLC1A5,0.435409277677536
Plumbagin,6,IRF9,0.43539005517959595
Plumbagin,7,BCL6,0.43533727526664734
Plumbagin,8,MAPK1,0.4352857768535614
Plumbagin,9,LGMN,0.4352717101573944
Plumbagin,10,PTGS2,0.4352160692214966
Emodin,1,CTSB,0.43277305364608765
Emodin,2,SOCS1,0.4327068328857422
Emodin,3,HIF1A,0.4326113760471344
Emodin,4,LCN2,0.432599812746048
Emodin,5,SLC1A5,0.43251821398735046
Emodin,6,IRF9,0.4324586093425751
Emodin,7,BCL6,0.432404488325119
Emodin,8,MAPK1,0.43235835433006287
Emodin,9,LGMN,0.4323503375053406
Emodin,10,PTGS2,0.4322953224182129
Aloe emodin,1,CTSB,0.433683305978775
Aloe emodin,2,SOCS1,0.4336170554161072
Aloe emodin,3,HIF1A,0.4335215985774994
Aloe emodin,4,LCN2,0.43351003527641296
Aloe emodin,5,SLC1A5,0.4334283173084259
Aloe emodin,6,IRF9,0.4333687126636505
Aloe emodin,7,BCL6,0.43331459164619446
Aloe emodin,8,MAPK1,0.43326839804649353
Aloe emodin,9,LGMN,0.43326032161712646
Aloe emodin,10,PTGS2,0.43320533633232117
Physcion,1,CTSB,0.4302435517311096
Physcion,2,SOCS1,0.43013009428977966
Physcion,3,LCN2,0.4300813674926758
Physcion,4,HIF1A,0.43007978796958923
Physcion,5,SLC1A5,0.43000084161758423
Physcion,6,IRF9,0.4299176335334778
Physcion,7,LGMN,0.4298131465911865
Physcion,8,BCL6,0.4298096001148224
Physcion,9,MAPK1,0.42980533838272095
Physcion,10,PTGS2,0.4297313690185547
Chrysophanol,1,CTSB,0.43336212635040283
Chrysophanol,2,SOCS1,0.4332959055900574
Chrysophanol,3,HIF1A,0.4332004189491272
Chrysophanol,4,LCN2,0.43318891525268555
Chrysophanol,5,SLC1A5,0.4331072270870209
Chrysophanol,6,IRF9,0.4330476224422455
Chrysophanol,7,BCL6,0.43299350142478943
Chrysophanol,8,MAPK1,0.4329473674297333
Chrysophanol,9,LGMN,0.43293923139572144
Chrysophanol,10,PTGS2,0.4328842759132385
Salidroside,1,CTSB,0.43323495984077454
Salidroside,2,SOCS1,0.43312349915504456
Salidroside,3,LCN2,0.433067262172699
Salidroside,4,HIF1A,0.4330446422100067
Salidroside,5,IRF9,0.43293967843055725
Salidroside,6,SLC1A5,0.4329032003879547
Salidroside,7,BCL6,0.43284380435943604
Salidroside,8,LGMN,0.43282705545425415
Salidroside,9,MAPK1,0.4328143298625946
Salidroside,10,PTGS2,0.43272924423217773
Tyrosol,1,CTSB,0.4424450993537903
Tyrosol,2,SOCS1,0.4423712491989136
Tyrosol,3,HIF1A,0.442271888256073
Tyrosol,4,LCN2,0.4422619044780731
Tyrosol,5,SLC1A5,0.4421427547931671
Tyrosol,6,IRF9,0.44212350249290466
Tyrosol,7,BCL6,0.44207051396369934
Tyrosol,8,MAPK1,0.4420188069343567
Tyrosol,9,LGMN,0.4420047700405121
Tyrosol,10,PTGS2,0.44194895029067993
Hydroxytyrosol,1,CTSB,0.44065698981285095
Hydroxytyrosol,2,SOCS1,0.44058313965797424
Hydroxytyrosol,3,HIF1A,0.440483957529068
Hydroxytyrosol,4,LCN2,0.4404739439487457
Hydroxytyrosol,5,SLC1A5,0.4403548836708069
Hydroxytyrosol,6,IRF9,0.44033563137054443
Hydroxytyrosol,7,BCL6,0.4402827322483063
Hydroxytyrosol,8,MAPK1,0.440231055021286
Hydroxytyrosol,9,LGMN,0.4402170181274414
Hydroxytyrosol,10,PTGS2,0.44016119837760925
Sulforaphane,1,CTSB,0.44554173946380615
Sulforaphane,2,SOCS1,0.44547274708747864
Sulforaphane,3,HIF1A,0.44537708163261414
Sulforaphane,4,LCN2,0.4453623294830322
Sulforaphane,5,SLC1A5,0.4452608823776245
Sulforaphane,6,IRF9,0.44523555040359497
Sulforaphane,7,BCL6,0.44519707560539246
Sulforaphane,8,MAPK1,0.44513648748397827
Sulforaphane,9,LGMN,0.44512873888015747
Sulforaphane,10,PTGS2,0.4450783133506775
Dimethyl fumarate,1,CTSB,0.44450312852859497
Dimethyl fumarate,2,SOCS1,0.44442781805992126
Dimethyl fumarate,3,HIF1A,0.44432881474494934
Dimethyl fumarate,4,LCN2,0.44431573152542114
Dimethyl fumarate,5,IRF9,0.4441811442375183
Dimethyl fumarate,6,SLC1A5,0.44417721033096313
Dimethyl fumarate,7,BCL6,0.444128155708313
Dimethyl fumarate,8,MAPK1,0.4440763592720032
Dimethyl fumarate,9,LGMN,0.44406232237815857
Dimethyl fumarate,10,PTGS2,0.44400641322135925
Edaravone,1,CTSB,0.44165343046188354
Edaravone,2,SOCS1,0.44158121943473816
Edaravone,3,HIF1A,0.44148188829421997
Edaravone,4,LCN2,0.4414719343185425
Edaravone,5,SLC1A5,0.44135284423828125
Edaravone,6,IRF9,0.4413335621356964
Edaravone,7,BCL6,0.44128063321113586
Edaravone,8,MAPK1,0.4412289261817932
Edaravone,9,LGMN,0.4412148594856262
Edaravone,10,PTGS2,0.44115906953811646
Idebenone,1,CTSB,0.44068509340286255
Idebenone,2,SOCS1,0.44061124324798584
Idebenone,3,HIF1A,0.4405119717121124
Idebenone,4,LCN2,0.4405020475387573
Idebenone,5,SLC1A5,0.4403829276561737
Idebenone,6,IRF9,0.44036370515823364
Idebenone,7,BCL6,0.4403107762336731
Idebenone,8,MAPK1,0.4402591586112976
Idebenone,9,LGMN,0.4402450919151306
Idebenone,10,PTGS2,0.44018927216529846
Alpha-lipoic acid,1,CTSB,0.4449892044067383
Alpha-lipoic acid,2,SOCS1,0.44492024183273315
Alpha-lipoic acid,3,HIF1A,0.44482457637786865
Alpha-lipoic acid,4,LCN2,0.44480982422828674
Alpha-lipoic acid,5,SLC1A5,0.4447084367275238
Alpha-lipoic acid,6,IRF9,0.4446830749511719
Alpha-lipoic acid,7,BCL6,0.44464460015296936
