compound,ACSL4_probability,ACSL4_rank_in_compound,ferroaging_avg_probability,ferroaging_in_top50,ferroaging_top50_ratio,top10_targets
Hesperetin,0.4246937036514282,155,0.42955881796385115,50,1.0,"CTSB(0.432), SOCS1(0.432), LCN2(0.432), HIF1A(0.432), IRF9(0.432), SLC1A5(0.432), BCL6(0.432), LGMN(0.432), MAPK1(0.432), PTGS2(0.432)"
Huperzine A,0.42528948187828064,154,0.42946276790217347,50,1.0,"CTSB(0.432), SOCS1(0.432), LCN2(0.432), HIF1A(0.432), SLC1A5(0.432), IRF9(0.432), BCL6(0.431), LGMN(0.431), MAPK1(0.431), PTGS2(0.431)"
Erastin,0.42478111386299133,154,0.4290881247896897,50,1.0,"CTSB(0.431), SOCS1(0.431), LCN2(0.431), HIF1A(0.431), SLC1A5(0.431), IRF9(0.431), BCL6(0.431), LGMN(0.431), MAPK1(0.431), PTGS2(0.431)"
Physcion,0.42339232563972473,156,0.4277562605707269,50,1.0,"CTSB(0.430), SOCS1(0.430), LCN2(0.430), HIF1A(0.430), SLC1A5(0.430), IRF9(0.430), LGMN(0.430), BCL6(0.430), MAPK1(0.430), PTGS2(0.430)"
ML162,0.42307528853416443,155,0.42755454433591744,50,1.0,"CTSB(0.430), LCN2(0.430), SOCS1(0.430), HIF1A(0.430), SLC1A5(0.430), IRF9(0.430), LGMN(0.430), MAPK1(0.430), BCL6(0.430), PTGS2(0.429)"
Dihydroartemisinin,0.4219229221343994,155,0.4260266846732089,50,1.0,"CTSB(0.428), SOCS1(0.428), HIF1A(0.428), LCN2(0.428), SLC1A5(0.428), IRF9(0.428), BCL6(0.428), MAPK1(0.428), LGMN(0.428), PTGS2(0.428)"
Artemisinin,0.42130306363105774,154,0.4253620765711132,50,1.0,"CTSB(0.428), SOCS1(0.428), HIF1A(0.428), LCN2(0.428), SLC1A5(0.428), BCL6(0.427), IRF9(0.427), MAPK1(0.427), TXNIP(0.427), NR1D1(0.427)"
Schisandrin B,0.420650452375412,158,0.4251554404434405,50,1.0,"CTSB(0.428), SOCS1(0.427), HIF1A(0.427), LCN2(0.427), IRF9(0.427), SLC1A5(0.427), BCL6(0.427), MAPK1(0.427), LGMN(0.427), PTGS2(0.427)"
RSL3,0.42029520869255066,156,0.42453066675286544,50,1.0,"CTSB(0.427), SOCS1(0.427), HIF1A(0.427), LCN2(0.427), SLC1A5(0.427), IRF9(0.427), BCL6(0.427), MAPK1(0.427), PTGS2(0.427), LGMN(0.427)"
Schisandrin,0.4200555384159088,155,0.42433756150697405,50,1.0,"CTSB(0.427), SOCS1(0.427), HIF1A(0.426), LCN2(0.426), IRF9(0.426), SLC1A5(0.426), BCL6(0.426), MAPK1(0.426), LGMN(0.426), PTGS2(0.426)"
