compound,gene,binding_probability
Kaempferol,TLR4,0.454446017742157
Galangin,RUNX3,0.45444247126579285
Daidzein,PDE4B,0.45444196462631226
Kaempferol,IL6,0.454437255859375
Scutellarein,SOCS1,0.4544280767440796
Daidzein,PPP2R2B,0.4544275104999542
Luteolin,FOSL1,0.4544239640235901
Kaempferol,SOCS2,0.4544229805469513
Scutellarein,IRF9,0.45442211627960205
Kaempferol,EPHA2,0.454420804977417
Kaempferol,LIFR,0.45441341400146484
Kaempferol,IGFBP7,0.4544111490249634
Chrysin,DPEP1,0.4544108510017395
Scutellarein,BCL6,0.4544087052345276
Kaempferol,SOD1,0.45440682768821716
Luteolin,NOX4,0.4544025957584381
Chrysin,ICA1,0.454387903213501
Scutellarein,SP1,0.4543793499469757
Apigenin,SPATA2,0.454374223947525
Luteolin,IRF7,0.45437222719192505
Kaempferol,MPO,0.45437103509902954
Kaempferol,EDN1,0.4543638825416565
Daidzein,SMARCB1,0.45436370372772217
Kaempferol,SMURF2,0.4543609917163849
Galangin,SOCS1,0.4543571174144745
Scutellarein,CXCL10,0.4543558359146118
Baicalein,LCN2,0.4543516933917999
Galangin,IRF9,0.4543510973453522
Luteolin,MEN1,0.4543488919734955
Chrysin,SNCA,0.4543403685092926
Quercetin,LCN2,0.4543377459049225
Galangin,BCL6,0.4543377161026001
Chrysin,MCU,0.454334557056427
Daidzein,ATF3,0.45433181524276733
Luteolin,PDE4B,0.4543299376964569
Luteolin,PPP2R2B,0.45432963967323303
Kaempferol,EGR1,0.4543290436267853
Chrysin,ERN1,0.45432186126708984
Genistein,SPATA2,0.4543169438838959
Baicalein,NR1D1,0.4543168544769287
Apigenin,ABCC1,0.4543161988258362
Daidzein,LPCAT3,0.454315185546875
Daidzein,WWTR1,0.4543137848377228
Chrysin,HERPUD1,0.4543136954307556
Baicalein,HIF1A,0.4543125629425049
Galangin,SP1,0.4543083906173706
Scutellarein,PTGS2,0.4543028175830841
Quercetin,NR1D1,0.45429909229278564
Quercetin,HIF1A,0.45429858565330505
Baicalein,IRF1,0.4542984962463379
Scutellarein,MAP3K14,0.4542892873287201
Daidzein,WNT5A,0.454289048910141
Galangin,CXCL10,0.45428475737571716
Quercetin,IRF1,0.45428457856178284
Kaempferol,TNFAIP3,0.4542809724807739
Kaempferol,E2F1,0.4542730450630188
Scutellarein,HMOX1,0.4542693495750427
Luteolin,SMARCB1,0.45426586270332336
Genistein,ABCC1,0.45426511764526367
Daidzein,BRD7,0.45426174998283386
Kaempferol,MAPK14,0.4542566239833832
Chrysin,PADI4,0.4542534351348877
Scutellarein,IL1B,0.4542529881000519
Scutellarein,IFNG,0.45424145460128784
Daidzein,EPHA4,0.45423585176467896
Luteolin,ATF3,0.4542340040206909
Galangin,PTGS2,0.4542318284511566
Kaempferol,PRKD1,0.45423123240470886
Apigenin,SAT1,0.4542306363582611
Chrysin,ACVR1B,0.45422258973121643
Galangin,MAP3K14,0.4542182981967926
Luteolin,WWTR1,0.45421597361564636
Scutellarein,S100A8,0.45420899987220764
Fisetin,CD74,0.45420345664024353
Scutellarein,MAPK1,0.4542003571987152
Galangin,HMOX1,0.4541983902454376
Luteolin,LPCAT3,0.45419302582740784
Scutellarein,YAP1,0.45419177412986755
Daidzein,PTBP1,0.4541909992694855
Scutellarein,ALOX15,0.45418962836265564
Galangin,IL1B,0.4541819393634796
Luteolin,WNT5A,0.45417457818984985
Genistein,SAT1,0.45417338609695435
Galangin,IFNG,0.45417049527168274
Scutellarein,TXNIP,0.454169899225235
Scutellarein,TNFAIP1,0.4541691541671753
Scutellarein,HMGB1,0.45416542887687683
Luteolin,BRD7,0.45416393876075745
Baicalein,ZEB1,0.45416370034217834
Scutellarein,KEAP1,0.45416194200515747
Kaempferol,KDM6B,0.45416128635406494
Apigenin,COX7A1,0.454161137342453
Scutellarein,TFRC,0.4541608989238739
Scutellarein,FBXO31,0.4541589319705963
Daidzein,E2F3,0.4541587233543396
Kaempferol,NLRP3,0.45415574312210083
Scutellarein,TLR4,0.4541524350643158
Quercetin,ZEB1,0.45414969325065613
Scutellarein,IL6,0.4541436433792114
Baicalein,ATG3,0.45413821935653687
Galangin,S100A8,0.45413804054260254
Baicalein,RUNX3,0.4541330635547638
Kaempferol,FOSL1,0.4541293680667877
Galangin,MAPK1,0.45412933826446533
Scutellarein,SOCS2,0.45412933826446533
Genistein,COX7A1,0.45412933826446533
Scutellarein,EPHA2,0.45412716269493103
Quercetin,ATG3,0.4541242718696594
Galangin,YAP1,0.45412078499794006
Scutellarein,LIFR,0.45411983132362366
Quercetin,RUNX3,0.45411911606788635
Galangin,ALOX15,0.45411860942840576
Scutellarein,IGFBP7,0.4541175365447998
Scutellarein,SOD1,0.454113245010376
Kaempferol,NOX4,0.45410799980163574
Luteolin,EPHA4,0.45410504937171936
Galangin,TXNIP,0.4540989100933075
Galangin,TNFAIP1,0.4540981650352478
Galangin,HMGB1,0.45409440994262695
Galangin,KEAP1,0.4540908932685852
Galangin,TFRC,0.4540899097919464
Galangin,FBXO31,0.4540879428386688
Chrysin,SPATA2,0.4540843069553375
Galangin,TLR4,0.45408138632774353
Kaempferol,IRF7,0.45407766103744507
Scutellarein,MPO,0.45407742261886597
Galangin,IL6,0.45407265424728394
Scutellarein,EDN1,0.4540703296661377
Scutellarein,SMURF2,0.4540673792362213
Luteolin,E2F3,0.4540609121322632
Galangin,SOCS2,0.45405834913253784
Galangin,EPHA2,0.45405617356300354
Kaempferol,MEN1,0.4540543258190155
Fisetin,LGMN,0.45405057072639465
Galangin,LIFR,0.4540488123893738
Baicalein,SOCS1,0.4540477395057678
Galangin,IGFBP7,0.4540465474128723
Galangin,SOD1,0.4540422260761261
Baicalein,IRF9,0.4540417194366455
Scutellarein,EGR1,0.4540354907512665
Kaempferol,PDE4B,0.45403534173965454
Kaempferol,PPP2R2B,0.45403504371643066
Quercetin,SOCS1,0.454033762216568
Chrysin,ABCC1,0.4540309011936188
Baicalein,BCL6,0.4540283679962158
Quercetin,IRF9,0.45402777194976807
Quercetin,BCL6,0.454014390707016
Fisetin,CTSB,0.45400968194007874
Galangin,MPO,0.4540064334869385
Galangin,EDN1,0.4539993703365326
Baicalein,SP1,0.45399898290634155
Galangin,SMURF2,0.4539964199066162
Scutellarein,TNFAIP3,0.45398736000061035
Quercetin,SP1,0.4539850056171417
