gene,embedding_norm,degree,bio_prior,hub_score,rank
PRKAA1,1.0984902,23,0.3,0.5968381485795404,174
GCLC,1.1070064,21,0.3,0.5967535929011277,175
CDK4,1.1269884,17,0.3,0.5966733559306657,176
ALOX5,1.1267354,17,0.3,0.5965883299048936,177
FANCD2,1.1196638,18,0.3,0.5960426581461262,178
CCND1,1.1423802,14,0.3,0.595671811882004,179
EIF2A,1.1083931,20,0.3,0.5956440939478624,180
IRF9,0.75286245,66,0.5,0.5954414820809975,181
SLC7A11,1.1149749,18,0.3,0.5944666815359425,182
SIRT1,1.0968051,21,0.3,0.5933248953150682,183
ATM,1.11681,17,0.3,0.5932523473437822,184
SP1,0.74975115,63,0.5,0.5928443225115128,185
BECN1,1.1129055,17,0.3,0.5919400616820848,186
FTH1,1.1021974,19,0.3,0.5919093438935954,187
CDKN2B,1.1021441,19,0.3,0.5918914326978404,188
STAT1,1.0670896,27,0.3,0.5915049842091182,189
WWTR1,0.75549537,57,0.5,0.5914410249704389,190
GABARAP,1.1161804,16,0.3,0.591104936751855,191
CHEK2,1.1417654,12,0.3,0.5906186611431653,192
CCNA2,1.1329958,13,0.3,0.5901810651795911,193
SMURF2,0.75521064,55,0.5,0.5901568735049875,194
FN1,1.1568741,10,0.3,0.5900390297981144,195
TNFAIP3,0.75302106,56,0.5,0.5900204056570595,196
ACSL3,1.1188216,15,0.3,0.5899394525348867,197
SLC39A8,1.0706493,24,0.3,0.5888632361735535,198
ACSL4,1.1079497,16,0.3,0.588338595780862,199
MAP3K14,0.75387275,52,0.5,0.5878424775946969,200
MAP1LC3A,1.059089,26,0.3,0.5875842683048941,201
YAP1,0.74963933,53,0.5,0.5870526816295414,202
WNT5A,0.75867987,48,0.5,0.5868005113724701,203
ALOX15,0.75183547,51,0.5,0.5865126241850533,204
LIFR,0.7519332,50,0.5,0.5858878536067367,205
MEN1,0.7554737,48,0.5,0.5857229189995758,206
BNIP3L,1.1178768,13,0.3,0.58509953079391,207
ATG5,1.102841,15,0.3,0.5845683289825643,208
